DATE,LREM64TTUSM156N
1960-01-01,59.6350724923562
1960-02-01,60.0563668972585
1960-03-01,59.7101620493433
1960-04-01,61.3669899856376
1960-05-01,62.0835708248983
1960-06-01,62.9983409088678
1960-07-01,62.9647068055637
1960-08-01,62.6875030617744
1960-09-01,62.4383078730905
1960-10-01,62.0539514495661
1960-11-01,61.7322065360754
1960-12-01,60.6002361136858
1961-01-01,59.1684206423449
1961-02-01,59.1819049288232
1961-03-01,59.9025215970114
1961-04-01,60.1665678662015
1961-05-01,60.9401850467471
1961-06-01,62.140536346443
1961-07-01,61.9580595771072
1961-08-01,62.1114704572303
1961-09-01,61.1472364143056
1961-10-01,61.7669245647969
1961-11-01,61.4444304642812
1961-12-01,60.613625148762
1962-01-01,59.3424551564086
1962-02-01,59.8480528142127
1962-03-01,60.2576607724029
1962-04-01,60.9772195638037
1962-05-01,61.8968192397207
1962-06-01,62.702587501332
1962-07-01,62.7294709352936
1962-08-01,62.8557082299321
1962-09-01,62.1429052850499
1962-10-01,62.3160404110313
1962-11-01,61.5499784058736
1962-12-01,61.1023803135421
1963-01-01,59.6943703321188
1963-02-01,59.8764430100545
1963-03-01,60.4879071851435
1963-04-01,61.2713461648295
1963-05-01,61.776780962518
1963-06-01,62.4102169973338
1963-07-01,62.7009311269193
1963-08-01,62.4894774178293
1963-09-01,61.9169492005629
1963-10-01,62.2459852706819
1963-11-01,61.7555390250563
1963-12-01,61.145694243319
1964-01-01,59.793291841505
1964-02-01,60.2820123380398
1964-03-01,60.609947938125
1964-04-01,61.5836325553561
1964-05-01,62.3602902042074
1964-06-01,62.836231411123
1964-07-01,63.1186459613451
1964-08-01,62.9765314092312
1964-09-01,62.1296665954859
1964-10-01,62.284914336572
1964-11-01,61.9842438044454
1964-12-01,61.5963465591835
1965-01-01,60.3470715835141
1965-02-01,60.5848028687051
1965-03-01,61.0820115804881
1965-04-01,61.774979317952
1965-05-01,62.5569141514284
1965-06-01,63.4321175510803
1965-07-01,64.1967050889699
1965-08-01,63.7821715143142
1965-09-01,62.4772646260431
1965-10-01,63.0693232039154
1965-11-01,62.8524772617386
1965-12-01,62.7932624824544
1966-01-01,61.4907511134184
1966-02-01,61.6660600545951
1966-03-01,61.9480129831165
1966-04-01,62.7178839708247
1966-05-01,63.1978221415608
1966-06-01,64.4079937616742
1966-07-01,64.9744537449723
1966-08-01,64.8771923473728
1966-09-01,63.5268692750766
1966-10-01,63.9193791726518
1966-11-01,64.0563934544601
1966-12-01,63.77559303689
1967-01-01,62.3863953666424
1967-02-01,62.6227177424435
1967-03-01,62.635495874454
1967-04-01,63.2620815340833
1967-05-01,63.3272965267442
1967-06-01,64.6842943840742
1967-07-01,65.4112221368178
1967-08-01,65.2640403842209
1967-09-01,63.739992341191
1967-10-01,64.0913901512794
1967-11-01,64.0604321914219
1967-12-01,64.1349275336609
1968-01-01,62.3548481386018
1968-02-01,62.9584416963006
1968-03-01,63.2552796677565
1968-04-01,63.6690996707942
1968-05-01,64.1468016080118
1968-06-01,65.2345435492819
1968-07-01,65.6356360758102
1968-08-01,65.3218582594186
1968-09-01,63.8555167756985
1968-10-01,64.1029234029882
1968-11-01,64.2096892586249
1968-12-01,64.2235212004886
1969-01-01,63.0552942406188
1969-02-01,63.5729385053022
1969-03-01,63.7220658256004
1969-04-01,64.0788914245056
1969-05-01,64.1411997123324
1969-06-01,65.5447206527476
1969-07-01,66.092981864994
1969-08-01,65.9959619665568
1969-09-01,64.4491934371984
1969-10-01,64.9383608193322
1969-11-01,64.8800680172791
1969-12-01,64.9043406706439
1970-01-01,63.5533689839572
1970-02-01,63.5209114434319
1970-03-01,63.7458114134188
1970-04-01,63.9903318326113
1970-05-01,63.859351112621
1970-06-01,64.664988003493
1970-07-01,65.3818815684814
1970-08-01,64.9304910390027
1970-09-01,63.4133594092457
1970-10-01,63.8369833163664
1970-11-01,63.6428517451868
1970-12-01,63.3712403730924
1971-01-01,62.2287085901628
1971-02-01,62.2215542864776
1971-03-01,62.2559273303054
1971-04-01,62.6536484755743
1971-05-01,62.9136819038291
1971-06-01,63.4727860160716
1971-07-01,64.3975853799719
1971-08-01,64.2575319851424
1971-09-01,63.0207861326918
1971-10-01,63.552116567444
1971-11-01,63.6177827393167
1971-12-01,63.5108675170611
1972-01-01,62.2693869579017
1972-02-01,62.3630501344119
1972-03-01,62.8594359277845
1972-04-01,63.1486097174117
1972-05-01,63.5127931769723
1972-06-01,64.530093674927
1972-07-01,65.1046193465315
1972-08-01,65.0679372935968
1972-09-01,63.7322700725242
1972-10-01,64.1823206632755
1972-11-01,64.2147530755571
1972-12-01,64.3003745497816
1973-01-01,62.8665715447219
1973-02-01,63.356306105558
1973-03-01,63.89642964868
1973-04-01,64.1527975907434
1973-05-01,64.438625359957
1973-06-01,65.7592987443734
1973-07-01,66.3234575298403
1973-08-01,65.8829178441266
1973-09-01,64.9349730855369
1973-10-01,65.7254268139593
1973-11-01,65.5490885732862
1973-12-01,65.3439422242717
1974-01-01,64.1324805347953
1974-02-01,64.1745422787811
1974-03-01,64.5163801694071
1974-04-01,64.5995755959923
1974-05-01,64.9984093360336
1974-06-01,65.9597375738751
1974-07-01,66.5581301819082
1974-08-01,66.1348243453011
1974-09-01,64.9439068583986
1974-10-01,65.2973239306501
1974-11-01,64.634436953731
1974-12-01,63.9967761743936
1975-01-01,62.2217283685715
1975-02-01,61.8404842251861
1975-03-01,62.0464895925666
1975-04-01,62.2931180514754
1975-05-01,62.7127294888398
1975-06-01,63.635879650756
1975-07-01,64.4319803272716
