DATE,LNS12000089
1948-01-01,13658
1948-02-01,13638
1948-03-01,13606
1948-04-01,13752
1948-05-01,13700
1948-06-01,13834
1948-07-01,13992
1948-08-01,13796
1948-09-01,13918
1948-10-01,13897
1948-11-01,13903
1948-12-01,13898
1949-01-01,13746
1949-02-01,13788
1949-03-01,13788
1949-04-01,13646
1949-05-01,13688
1949-06-01,13596
1949-07-01,13576
1949-08-01,13621
1949-09-01,13643
1949-10-01,13394
1949-11-01,13645
1949-12-01,13548
1950-01-01,13564
1950-02-01,13560
1950-03-01,13638
1950-04-01,13834
1950-05-01,13900
1950-06-01,14089
1950-07-01,13999
1950-08-01,14133
1950-09-01,14118
1950-10-01,14093
1950-11-01,14055
1950-12-01,13995
1951-01-01,14223
1951-02-01,14126
1951-03-01,14197
1951-04-01,14194
1951-05-01,14201
1951-06-01,14054
1951-07-01,14252
1951-08-01,14226
1951-09-01,14269
1951-10-01,14349
1951-11-01,14286
1951-12-01,14415
1952-01-01,14452
1952-02-01,14495
1952-03-01,14464
1952-04-01,14437
1952-05-01,14526
1952-06-01,14530
1952-07-01,14466
1952-08-01,14492
1952-09-01,14564
1952-10-01,14551
1952-11-01,14559
1952-12-01,14643
1953-01-01,14578
1953-02-01,14543
1953-03-01,14601
1953-04-01,14540
1953-05-01,14340
1953-06-01,14549
1953-07-01,14624
1953-08-01,14426
1953-09-01,14503
1953-10-01,14535
1953-11-01,14573
1953-12-01,14412
1954-01-01,14417
1954-02-01,14443
1954-03-01,14326
1954-04-01,14386
1954-05-01,14224
1954-06-01,14134
1954-07-01,14096
1954-08-01,14039
1954-09-01,14081
1954-10-01,13899
1954-11-01,14113
1954-12-01,14139
1955-01-01,14368
1955-02-01,14326
1955-03-01,14351
1955-04-01,14365
1955-05-01,14530
1955-06-01,14574
1955-07-01,14632
1955-08-01,14593
1955-09-01,14518
1955-10-01,14508
1955-11-01,14449
1955-12-01,14558
1956-01-01,14641
1956-02-01,14493
1956-03-01,14413
1956-04-01,14447
1956-05-01,14386
1956-06-01,14336
1956-07-01,14338
1956-08-01,14400
1956-09-01,14387
1956-10-01,14400
1956-11-01,14362
1956-12-01,14296
1957-01-01,14257
1957-02-01,14332
1957-03-01,14364
1957-04-01,14286
1957-05-01,14256
1957-06-01,14285
1957-07-01,14323
1957-08-01,14239
1957-09-01,14236
1957-10-01,14237
1957-11-01,14156
1957-12-01,14063
1958-01-01,13926
1958-02-01,13754
1958-03-01,13669
1958-04-01,13668
1958-05-01,13610
1958-06-01,13527
1958-07-01,13550
1958-08-01,13633
