DATE,USEHS
1965-08-01,3608
1965-09-01,3622
1965-10-01,3633
1965-11-01,3646
1965-12-01,3665
1966-01-01,3679
1966-02-01,3695
1966-03-01,3711
1966-04-01,3726
1966-05-01,3742
1966-06-01,3763
1966-07-01,3781
1966-08-01,3797
1966-09-01,3809
1966-10-01,3828
1966-11-01,3845
1966-12-01,3863
1967-01-01,3883
1967-02-01,3899
1967-03-01,3919
1967-04-01,3939
1967-05-01,3957
1967-06-01,3975
1967-07-01,3997
1967-08-01,4015
1967-09-01,4036
1967-10-01,4046
1967-11-01,4074
1967-12-01,4090
1968-01-01,4100
1968-02-01,4120
1968-03-01,4126
1968-04-01,4136
1968-05-01,4154
1968-06-01,4179
1968-07-01,4196
1968-08-01,4216
1968-09-01,4221
1968-10-01,4253
1968-11-01,4283
1968-12-01,4305
1969-01-01,4326
1969-02-01,4348
1969-03-01,4373
1969-04-01,4391
1969-05-01,4408
1969-06-01,4422
1969-07-01,4441
1969-08-01,4458
1969-09-01,4463
1969-10-01,4493
1969-11-01,4500
1969-12-01,4517
1970-01-01,4531
1970-02-01,4552
1970-03-01,4556
1970-04-01,4567
1970-05-01,4579
1970-06-01,4574
1970-07-01,4567
1970-08-01,4559
1970-09-01,4593
1970-10-01,4610
1970-11-01,4619
1970-12-01,4623
1971-01-01,4632
1971-02-01,4632
1971-03-01,4642
1971-04-01,4647
1971-05-01,4658
1971-06-01,4671
1971-07-01,4677
1971-08-01,4672
1971-09-01,4695
1971-10-01,4706
1971-11-01,4722
1971-12-01,4736
1972-01-01,4749
1972-02-01,4764
1972-03-01,4781
1972-04-01,4806
1972-05-01,4833
1972-06-01,4884
1972-07-01,4879
1972-08-01,4900
1972-09-01,4894
1972-10-01,4930
1972-11-01,4952
1972-12-01,4975
1973-01-01,5003
1973-02-01,5025
1973-03-01,5042
1973-04-01,5052
1973-05-01,5060
1973-06-01,5069
1973-07-01,5058
1973-08-01,5104
1973-09-01,5139
1973-10-01,5158
1973-11-01,5189
1973-12-01,5201
1974-01-01,5217
1974-02-01,5242
1974-03-01,5259
