DATE,LREM55TTUSM156S
1977-01-01,54.1213165035146
1977-02-01,53.797175940066
1977-03-01,54.0076159217042
1977-04-01,54.2398567911123
1977-05-01,54.3223714110861
1977-06-01,54.0806368538032
1977-07-01,53.903105190035
1977-08-01,53.8296397401534
1977-09-01,54.0681652848379
1977-10-01,54.319915319576
1977-11-01,54.4070553280063
1977-12-01,54.5122877108765
1978-01-01,54.3354068275756
1978-02-01,54.3704097138253
1978-03-01,54.5543520111289
1978-04-01,54.7096212490806
1978-05-01,54.4148778378651
1978-06-01,54.7127658204711
1978-07-01,54.6416682652857
1978-08-01,54.4755572468138
1978-09-01,54.5334567865448
1978-10-01,54.4527783171346
1978-11-01,55.1080081143891
1978-12-01,54.9935775488478
1979-01-01,55.2289801126491
1979-02-01,55.0508518800728
1979-03-01,54.922108397056
1979-04-01,54.3059358300207
1979-05-01,54.3196334693894
1979-06-01,54.3069653259469
1979-07-01,54.2918649636564
1979-08-01,54.4497994323217
1979-09-01,54.7216142765576
1979-10-01,54.9291557652926
1979-11-01,54.4353949979578
1979-12-01,54.438255515986
1980-01-01,54.0950478613867
1980-02-01,54.6390004244458
1980-03-01,54.1506400832428
1980-04-01,54.1407552423326
1980-05-01,53.8060362133776
1980-06-01,53.8646744584601
1980-07-01,53.945497495593
1980-08-01,53.9832250554114
1980-09-01,53.5654316877709
1980-10-01,53.5907989288502
1980-11-01,53.2181404489964
1980-12-01,52.976697374686
1981-01-01,53.2059414767174
1981-02-01,53.3851112087522
1981-03-01,53.4910903531866
1981-04-01,53.542184672026
1981-05-01,53.6746494676363
1981-06-01,53.2687698942723
1981-07-01,53.1509395860648
1981-08-01,52.8653241905923
1981-09-01,52.3150691550282
1981-10-01,52.5232527270777
1981-11-01,52.2165521507678
1981-12-01,51.996536520627
1982-01-01,52.1755813173588
1982-02-01,51.7598600665346
1982-03-01,52.2025606006162
1982-04-01,52.2309015578868
1982-05-01,52.1956643983042
1982-06-01,51.9422622396947
1982-07-01,52.1164340183368
1982-08-01,52.2234428574119
1982-09-01,52.8673047786971
1982-10-01,51.9316942916235
1982-11-01,51.8841612000005
1982-12-01,51.4838928405014
1983-01-01,51.6011020491039
1983-02-01,51.4380805517498
1983-03-01,51.0139379606467
1983-04-01,50.886638785189
1983-05-01,51.1369404133724
1983-06-01,51.27675677784
1983-07-01,51.4553630295943
1983-08-01,51.4016064105777
1983-09-01,51.6409460594579
1983-10-01,51.6262036671522
1983-11-01,51.7335509178826
1983-12-01,51.894154539694
1984-01-01,51.4151558649898
1984-02-01,51.748041664405
1984-03-01,51.549656974084
1984-04-01,51.8796984609033
1984-05-01,51.9863041727732
1984-06-01,51.6674300322676
1984-07-01,51.7342565727615
1984-08-01,51.6868074009959
1984-09-01,51.8030318750423
1984-10-01,51.0265916836557
1984-11-01,51.557653304611
1984-12-01,51.9751144172451
1985-01-01,51.6268487997298
1985-02-01,51.6290208506354
1985-03-01,52.2270744934218
1985-04-01,51.860301028971
1985-05-01,51.8926137323418
1985-06-01,51.7812211737672
1985-07-01,51.672993455157
1985-08-01,52.0667687698639
1985-09-01,51.6832702574995
1985-10-01,51.9722592358507
1985-11-01,51.8355433847286
1985-12-01,51.5858404542599
1986-01-01,51.4860882039682
1986-02-01,50.7659223620036
1986-03-01,51.1243168907997
1986-04-01,51.2984891220219
1986-05-01,52.0256097785494
1986-06-01,52.4182402758145
1986-07-01,52.3415896176277
1986-08-01,52.5152241710127
1986-09-01,51.7578420112942
1986-10-01,51.8546121748126
1986-11-01,52.1240369990222
1986-12-01,52.021700004209
1987-01-01,52.4257281287867
1987-02-01,51.92824765526
1987-03-01,51.9789581908134
1987-04-01,52.080803942352
1987-05-01,52.5744682440169
1987-06-01,52.5492850119454
1987-07-01,52.4532008042523
1987-08-01,52.371988616641
1987-09-01,52.3790066656398
1987-10-01,53.0901104328005
1987-11-01,53.0981377676916
1987-12-01,53.1357360559465
1988-01-01,52.6539620166609
1988-02-01,52.5975915958856
1988-03-01,52.4115651425447
1988-04-01,52.8484034642811
1988-05-01,52.4187073341052
1988-06-01,52.5064501668159
1988-07-01,52.5598506741497
1988-08-01,52.9640885019179
1988-09-01,52.943224109139
1988-10-01,53.2681477063745
1988-11-01,53.3101989625709
1988-12-01,53.5102069593492
1989-01-01,53.7097546665348
1989-02-01,53.2478775453121
1989-03-01,53.6711293176815
1989-04-01,53.6620088917288
1989-05-01,53.6163709752167
1989-06-01,53.8824752683484
1989-07-01,53.8468517361849
1989-08-01,53.4441529251893
1989-09-01,53.7196872394374
1989-10-01,53.8465142249312
1989-11-01,54.1545834063778
1989-12-01,54.2347852278043
1990-01-01,53.79682854511
1990-02-01,53.6333455617462
1990-03-01,53.6024222648617
1990-04-01,53.4219116725797
1990-05-01,53.9955510991119
1990-06-01,53.9800486304536
1990-07-01,54.1840556949257
1990-08-01,54.4258105528669
1990-09-01,54.2572842096761
1990-10-01,54.1719753439546
1990-11-01,54.0078927993359
1990-12-01,54.522601093884
1991-01-01,53.5255512113695
1991-02-01,53.017741428117
1991-03-01,53.0381377279035
1991-04-01,53.1030813405835
1991-05-01,52.6886919647561
1991-06-01,53.4474631322471
1991-07-01,53.6800359459201
1991-08-01,53.1351321715002
1991-09-01,53.7706194741763
1991-10-01,53.1657799453896
1991-11-01,52.9584506754171
1991-12-01,52.9327795586261
1992-01-01,53.2657143173689
1992-02-01,53.2340088175531
1992-03-01,53.6050138961395
1992-04-01,53.6862191346447
1992-05-01,53.6144214740141
1992-06-01,53.8111295153606
1992-07-01,54.0770412858397
