DATE,LREM64TTUSM156S
1977-01-01,64.5222188370069
1977-02-01,64.6615129706377
1977-03-01,64.8833049649158
1977-04-01,65.1528711644431
1977-05-01,65.2280672555746
1977-06-01,65.4567624178431
1977-07-01,65.3665879674194
1977-08-01,65.5706642618993
1977-09-01,65.6523667561091
1977-10-01,65.8091925372349
1977-11-01,66.1259325891779
1977-12-01,66.3935855740442
1978-01-01,66.3988359963423
1978-02-01,66.4099494156342
1978-03-01,66.5585092872635
1978-04-01,66.8736081599018
1978-05-01,66.9611856089559
1978-06-01,67.2874186674061
1978-07-01,67.0366242518944
1978-08-01,67.2940713177112
1978-09-01,67.3932723085607
1978-10-01,67.6397411786334
1978-11-01,67.6846249668976
1978-12-01,67.7027728271279
1979-01-01,67.7819299959699
1979-02-01,67.8768766350832
1979-03-01,67.9231538647168
1979-04-01,67.7128698771629
1979-05-01,67.6549246868345
1979-06-01,67.804656740014
1979-07-01,67.9824511735486
1979-08-01,67.7830386179666
1979-09-01,68.1644107344188
1979-10-01,68.0678305109886
1979-11-01,67.9818146013513
1979-12-01,68.2142369618642
1980-01-01,67.9804333475084
1980-02-01,67.9308372767753
1980-03-01,67.6969686729807
1980-04-01,67.3613491148616
1980-05-01,66.9523563971047
1980-06-01,66.8262456764193
1980-07-01,66.7985531770672
1980-08-01,66.6465287042103
1980-09-01,66.9077940031764
1980-10-01,66.949559471041
1980-11-01,66.9727160594838
1980-12-01,67.0462207273305
1981-01-01,67.2117530015374
1981-02-01,67.2309646198708
1981-03-01,67.3781649010858
1981-04-01,67.6322787691366
1981-05-01,67.4778997928019
1981-06-01,67.0103603211628
1981-07-01,67.230132447304
1981-08-01,67.1643497211747
1981-09-01,66.8134015873759
1981-10-01,66.8337052320849
1981-11-01,66.6260077185358
1981-12-01,66.2296159196954
1982-01-01,66.2785306107684
1982-02-01,66.2437246478469
1982-03-01,66.1045389489204
1982-04-01,65.9314987553766
1982-05-01,66.0390019536609
1982-06-01,65.7466749538416
1982-07-01,65.718590905961
1982-08-01,65.7798124460622
1982-09-01,65.5961646460575
1982-10-01,65.2778534176766
1982-11-01,65.1636494872566
1982-12-01,65.0962282286926
1983-01-01,65.302261612777
1983-02-01,65.1887122621418
1983-03-01,65.1690847864521
1983-04-01,65.2512388451718
1983-05-01,65.2023771787828
1983-06-01,65.9379633510404
1983-07-01,66.2721261468363
1983-08-01,66.4610847191884
1983-09-01,66.637553053139
1983-10-01,66.5470049796689
1983-11-01,66.9801585866783
1983-12-01,67.1442123673367
1984-01-01,67.1897591107343
1984-02-01,67.5375475245612
1984-03-01,67.6280783396523
1984-04-01,67.8368977987826
1984-05-01,68.2968229052472
1984-06-01,68.5837360199605
1984-07-01,68.4393459379046
1984-08-01,68.2343235782193
1984-09-01,68.347486663513
1984-10-01,68.3660617831447
1984-11-01,68.5238243809311
1984-12-01,68.6171823407486
1985-01-01,68.7064007295753
1985-02-01,68.789138940251
1985-03-01,68.9836452293445
1985-04-01,68.9543510939176
1985-05-01,68.9353543960235
1985-06-01,68.6572649143663
1985-07-01,68.8339001383397
1985-08-01,68.967907614751
1985-09-01,69.2274818951457
1985-10-01,69.2534549133603
1985-11-01,69.2994993193175
1985-12-01,69.352112333471
