DATE,LNS12024230
1974-07-01,13822
1974-08-01,13812
1974-09-01,13774
1974-10-01,13752
1974-11-01,13566
1974-12-01,13648
1975-01-01,13669
1975-02-01,13677
1975-03-01,13646
1975-04-01,13656
1975-05-01,13670
1975-06-01,13607
1975-07-01,13714
1975-08-01,13614
1975-09-01,13613
1975-10-01,13577
1975-11-01,13537
1975-12-01,13540
1976-01-01,13652
1976-02-01,13641
1976-03-01,13575
1976-04-01,13539
1976-05-01,13555
1976-06-01,13584
1976-07-01,13607
1976-08-01,13728
1976-09-01,13760
1976-10-01,13726
1976-11-01,13730
1976-12-01,13809
1977-01-01,13702
1977-02-01,13715
1977-03-01,13749
1977-04-01,13877
1977-05-01,13956
1977-06-01,13861
1977-07-01,13839
1977-08-01,13846
1977-09-01,13994
1977-10-01,14064
1977-11-01,14145
1977-12-01,14186
1978-01-01,14191
1978-02-01,14170
1978-03-01,14197
1978-04-01,14326
1978-05-01,14311
1978-06-01,14456
1978-07-01,14382
1978-08-01,14317
1978-09-01,14351
1978-10-01,14326
1978-11-01,14535
1978-12-01,14567
1979-01-01,14661
1979-02-01,14634
1979-03-01,14600
1979-04-01,14478
1979-05-01,14515
1979-06-01,14537
1979-07-01,14488
1979-08-01,14570
1979-09-01,14612
1979-10-01,14646
1979-11-01,14633
1979-12-01,14629
1980-01-01,14632
1980-02-01,14742
1980-03-01,14590
1980-04-01,14574
1980-05-01,14531
1980-06-01,14536
1980-07-01,14541
1980-08-01,14634
1980-09-01,14479
1980-10-01,14477
1980-11-01,14442
1980-12-01,14378
1981-01-01,14450
1981-02-01,14508
1981-03-01,14574
1981-04-01,14640
1981-05-01,14627
1981-06-01,14571
1981-07-01,14516
1981-08-01,14457
1981-09-01,14299
1981-10-01,14365
1981-11-01,14317
1981-12-01,14304
1982-01-01,14319
1982-02-01,14205
1982-03-01,14339
1982-04-01,14351
1982-05-01,14425
1982-06-01,14422
1982-07-01,14364
1982-08-01,14319
1982-09-01,14518
1982-10-01,14251
1982-11-01,14286
1982-12-01,14217
1983-01-01,14232
1983-02-01,14198
1983-03-01,14162
1983-04-01,14112
1983-05-01,14116
1983-06-01,14175
1983-07-01,14224
1983-08-01,14226
1983-09-01,14376
1983-10-01,14345
1983-11-01,14365
1983-12-01,14338
1984-01-01,14253
1984-02-01,14315
1984-03-01,14228
1984-04-01,14276
1984-05-01,14251
1984-06-01,14156
1984-07-01,14208
1984-08-01,14189
1984-09-01,14299
1984-10-01,14118
1984-11-01,14178
1984-12-01,14272
1985-01-01,14218
1985-02-01,14296
1985-03-01,14474
1985-04-01,14332
1985-05-01,14260
1985-06-01,14242
1985-07-01,14172
1985-08-01,14288
1985-09-01,14279
1985-10-01,14350
1985-11-01,14280
1985-12-01,14254
1986-01-01,14326
1986-02-01,14123
1986-03-01,14211
1986-04-01,14259
1986-05-01,14371
1986-06-01,14485
1986-07-01,14487
1986-08-01,14453
1986-09-01,14317
1986-10-01,14217
1986-11-01,14329
1986-12-01,14324
1987-01-01,14430
1987-02-01,14357
1987-03-01,14404
1987-04-01,14335
1987-05-01,14490
1987-06-01,14541
1987-07-01,14533
1987-08-01,14531
1987-09-01,14477
1987-10-01,14646
1987-11-01,14637
