DATE,USLAH
1965-08-01,3969
1965-09-01,3985
1965-10-01,3998
1965-11-01,4015
1965-12-01,4038
1966-01-01,4049
1966-02-01,4060
1966-03-01,4076
1966-04-01,4091
1966-05-01,4110
1966-06-01,4129
1966-07-01,4143
1966-08-01,4156
1966-09-01,4163
1966-10-01,4173
1966-11-01,4181
1966-12-01,4195
1967-01-01,4201
1967-02-01,4209
1967-03-01,4231
1967-04-01,4209
1967-05-01,4245
1967-06-01,4259
1967-07-01,4274
1967-08-01,4283
1967-09-01,4306
1967-10-01,4310
1967-11-01,4339
1967-12-01,4361
1968-01-01,4343
1968-02-01,4378
1968-03-01,4388
1968-04-01,4412
1968-05-01,4424
1968-06-01,4439
1968-07-01,4457
1968-08-01,4482
1968-09-01,4497
1968-10-01,4520
1968-11-01,4539
1968-12-01,4554
1969-01-01,4571
1969-02-01,4591
1969-03-01,4613
1969-04-01,4626
1969-05-01,4652
1969-06-01,4671
1969-07-01,4685
1969-08-01,4701
1969-09-01,4703
1969-10-01,4729
1969-11-01,4744
1969-12-01,4749
1970-01-01,4756
1970-02-01,4773
1970-03-01,4791
1970-04-01,4780
1970-05-01,4785
1970-06-01,4782
1970-07-01,4785
1970-08-01,4783
1970-09-01,4797
1970-10-01,4812
1970-11-01,4804
1970-12-01,4825
1971-01-01,4849
1971-02-01,4850
1971-03-01,4866
1971-04-01,4881
1971-05-01,4894
1971-06-01,4904
1971-07-01,4922
1971-08-01,4935
1971-09-01,4947
1971-10-01,4955
1971-11-01,4966
1971-12-01,4992
1972-01-01,5017
1972-02-01,5040
1972-03-01,5057
1972-04-01,5074
1972-05-01,5088
1972-06-01,5114
1972-07-01,5123
1972-08-01,5145
1972-09-01,5144
1972-10-01,5182
1972-11-01,5216
1972-12-01,5240
1973-01-01,5263
1973-02-01,5282
1973-03-01,5303
1973-04-01,5313
1973-05-01,5326
1973-06-01,5334
1973-07-01,5331
1973-08-01,5347
1973-09-01,5363
1973-10-01,5388
1973-11-01,5419
1973-12-01,5410
1974-01-01,5410
1974-02-01,5415
1974-03-01,5426
1974-04-01,5442
1974-05-01,5465
1974-06-01,5473
1974-07-01,5492
1974-08-01,5494
1974-09-01,5506
1974-10-01,5530
1974-11-01,5514
1974-12-01,5483
1975-01-01,5476
1975-02-01,5484
1975-03-01,5488
1975-04-01,5472
1975-05-01,5502
1975-06-01,5524
1975-07-01,5552
1975-08-01,5585
1975-09-01,5580
1975-10-01,5602
1975-11-01,5614
1975-12-01,5641
1976-01-01,5681
1976-02-01,5718
1976-03-01,5736
1976-04-01,5767
1976-05-01,5781
1976-06-01,5787
1976-07-01,5804
1976-08-01,5827
1976-09-01,5839
1976-10-01,5849
1976-11-01,5860
1976-12-01,5879
1977-01-01,5911
1977-02-01,5930
1977-03-01,5969
1977-04-01,5992
1977-05-01,6020
1977-06-01,6050
1977-07-01,6073
1977-08-01,6103
1977-09-01,6136
1977-10-01,6164
1977-11-01,6198
1977-12-01,6231
1978-01-01,6251
1978-02-01,6272
1978-03-01,6308
1978-04-01,6340
1978-05-01,6376
1978-06-01,6413
1978-07-01,6438
1978-08-01,6459
1978-09-01,6477
1978-10-01,6502
1978-11-01,6532
1978-12-01,6551
1979-01-01,6571
1979-02-01,6592
1979-03-01,6620
1979-04-01,6614
1979-05-01,6621
1979-06-01,6623
1979-07-01,6608
1979-08-01,6617
1979-09-01,6639
1979-10-01,6674
1979-11-01,6693
1979-12-01,6702
1980-01-01,6713
1980-02-01,6731
1980-03-01,6743
1980-04-01,6708
1980-05-01,6700
1980-06-01,6693
1980-07-01,6693
1980-08-01,6704
1980-09-01,6717
1980-10-01,6730
1980-11-01,6745
1980-12-01,6765
1981-01-01,6780
1981-02-01,6801
1981-03-01,6811
1981-04-01,6833
1981-05-01,6842
1981-06-01,6852
1981-07-01,6857
1981-08-01,6867
1981-09-01,6870
1981-10-01,6867
1981-11-01,6852
1981-12-01,6843
1982-01-01,6839
1982-02-01,6852
1982-03-01,6856
1982-04-01,6859
1982-05-01,6877
1982-06-01,6882
1982-07-01,6887
1982-08-01,6888
1982-09-01,6885
1982-10-01,6882
1982-11-01,6882
1982-12-01,6895
1983-01-01,6920
1983-02-01,6927
1983-03-01,6959
1983-04-01,6986
1983-05-01,7011
1983-06-01,7048
1983-07-01,7092
1983-08-01,7126
1983-09-01,7164
1983-10-01,7192
1983-11-01,7226
1983-12-01,7265
1984-01-01,7309
1984-02-01,7349
1984-03-01,7372
1984-04-01,7406
1984-05-01,7428
1984-06-01,7465
1984-07-01,7496
1984-08-01,7508
1984-09-01,7559
1984-10-01,7606
1984-11-01,7674
1984-12-01,7682
1985-01-01,7708
1985-02-01,7740
1985-03-01,7784
1985-04-01,7812
1985-05-01,7852
1985-06-01,7874
1985-07-01,7884
1985-08-01,7889
1985-09-01,7935
1985-10-01,7954
1985-11-01,7981
1985-12-01,8005
1986-01-01,8026
1986-02-01,8048
1986-03-01,8070
1986-04-01,8093
1986-05-01,8122
1986-06-01,8138
1986-07-01,8167
1986-08-01,8143
1986-09-01,8231
1986-10-01,8252
1986-11-01,8273
1986-12-01,8295
1987-01-01,8319
1987-02-01,8353
1987-03-01,8369
1987-04-01,8399
1987-05-01,8411
1987-06-01,8426
1987-07-01,8446
1987-08-01,8374
1987-09-01,8489
1987-10-01,8547
1987-11-01,8581
1987-12-01,8619
1988-01-01,8664
1988-02-01,8734
1988-03-01,8727
1988-04-01,8735
1988-05-01,8732
1988-06-01,8728
1988-07-01,8740
1988-08-01,8663
1988-09-01,8804
1988-10-01,8869
1988-11-01,8928
1988-12-01,8998
1989-01-01,9072
1989-02-01,9096
1989-03-01,9096
1989-04-01,9076
1989-05-01,9024
1989-06-01,8955
1989-07-01,8936
1989-08-01,8853
1989-09-01,9004
1989-10-01,9126
1989-11-01,9230
1989-12-01,9273
1990-01-01,9290
1990-02-01,9297
1990-03-01,9325
1990-04-01,9289
1990-05-01,9242
1990-06-01,9265
1990-07-01,9294
1990-08-01,9292
1990-09-01,9296
1990-10-01,9256
1990-11-01,9298
1990-12-01,9302
1991-01-01,9294
1991-02-01,9264
1991-03-01,9267
1991-04-01,9228
1991-05-01,9218
1991-06-01,9252
1991-07-01,9220
1991-08-01,9223
1991-09-01,9259
1991-10-01,9263
1991-11-01,9283
1991-12-01,9301
1992-01-01,9361
1992-02-01,9346
1992-03-01,9338
1992-04-01,9362
1992-05-01,9402
1992-06-01,9408
1992-07-01,9438
1992-08-01,9461
1992-09-01,9496
1992-10-01,9545
1992-11-01,9554
1992-12-01,9555
1993-01-01,9582
1993-02-01,9614
1993-03-01,9559
1993-04-01,9668
1993-05-01,9700
1993-06-01,9712
1993-07-01,9739
1993-08-01,9775
1993-09-01,9807
1993-10-01,9844
1993-11-01,9872
1993-12-01,9925
1994-01-01,9959
1994-02-01,9964
1994-03-01,10007
1994-04-01,10052
