DATE,LNS12000060
1948-01-01,37073
1948-02-01,37155
1948-03-01,37085
1948-04-01,37316
1948-05-01,37126
1948-06-01,37559
1948-07-01,37944
1948-08-01,37535
1948-09-01,37819
1948-10-01,37670
1948-11-01,37647
1948-12-01,37724
1949-01-01,37514
1949-02-01,37473
1949-03-01,37461
1949-04-01,37347
1949-05-01,37379
1949-06-01,37316
1949-07-01,37297
1949-08-01,37399
1949-09-01,37420
1949-10-01,37079
1949-11-01,37525
1949-12-01,37375
1950-01-01,37352
1950-02-01,37399
1950-03-01,37529
1950-04-01,37997
1950-05-01,38145
1950-06-01,38601
1950-07-01,38459
1950-08-01,38911
1950-09-01,38779
1950-10-01,38876
1950-11-01,38886
1950-12-01,38689
1951-01-01,39027
1951-02-01,38967
1951-03-01,39290
1951-04-01,39218
1951-05-01,39386
1951-06-01,39014
1951-07-01,39599
1951-08-01,39457
1951-09-01,39375
1951-10-01,39749
1951-11-01,39683
1951-12-01,40013
1952-01-01,40064
1952-02-01,40191
1952-03-01,40204
1952-04-01,40108
1952-05-01,40212
1952-06-01,40180
1952-07-01,40088
1952-08-01,39992
1952-09-01,40521
1952-10-01,40234
1952-11-01,40540
1952-12-01,40767
1953-01-01,41315
1953-02-01,41388
1953-03-01,41578
1953-04-01,41268
1953-05-01,40926
1953-06-01,41263
1953-07-01,41342
1953-08-01,41238
1953-09-01,41179
1953-10-01,41258
1953-11-01,41416
1953-12-01,40983
1954-01-01,40769
1954-02-01,41072
1954-03-01,40736
1954-04-01,40725
1954-05-01,40574
1954-06-01,40556
1954-07-01,40462
1954-08-01,40439
1954-09-01,40640
1954-10-01,40626
1954-11-01,40941
1954-12-01,40938
1955-01-01,41310
1955-02-01,41254
1955-03-01,41299
1955-04-01,41541
1955-05-01,41732
1955-06-01,41947
1955-07-01,42247
1955-08-01,42332
1955-09-01,42286
1955-10-01,42249
1955-11-01,42286
1955-12-01,42500
1956-01-01,42692
1956-02-01,42422
1956-03-01,42378
1956-04-01,42521
1956-05-01,42581
1956-06-01,42589
1956-07-01,42540
1956-08-01,42690
1956-09-01,42760
1956-10-01,42746
1956-11-01,42680
1956-12-01,42646
1957-01-01,42572
1957-02-01,42922
1957-03-01,43068
1957-04-01,42950
1957-05-01,42931
1957-06-01,42942
1957-07-01,43187
1957-08-01,42949
1957-09-01,42955
1957-10-01,42987
1957-11-01,42833
1957-12-01,42751
1958-01-01,42484
1958-02-01,42081
1958-03-01,42061
1958-04-01,41992
1958-05-01,42066
1958-06-01,42036
1958-07-01,42159
1958-08-01,42341
1958-09-01,42372
1958-10-01,42531
1958-11-01,42577
1958-12-01,42662
1959-01-01,42786
1959-02-01,42681
1959-03-01,43058
1959-04-01,43251
1959-05-01,43257
1959-06-01,43360
1959-07-01,43307
1959-08-01,43118
1959-09-01,42958
1959-10-01,43051
1959-11-01,42817
1959-12-01,43264
1960-01-01,43367
1960-02-01,43465
1960-03-01,43083
1960-04-01,43578
1960-05-01,43652
1960-06-01,43651
1960-07-01,43579
1960-08-01,43611
1960-09-01,43743
1960-10-01,43268
1960-11-01,43456
1960-12-01,43155
1961-01-01,43174
1961-02-01,42988
1961-03-01,43295
1961-04-01,43260
1961-05-01,43234
1961-06-01,43512
1961-07-01,43280
1961-08-01,43274
1961-09-01,43292
1961-10-01,43525
1961-11-01,43389
1961-12-01,43392
1962-01-01,43538
1962-02-01,43706
1962-03-01,43647
1962-04-01,43400
1962-05-01,43599
1962-06-01,43524
1962-07-01,43593
1962-08-01,43882
1962-09-01,43970
1962-10-01,43932
1962-11-01,43839
1962-12-01,43816
1963-01-01,43827
1963-02-01,43844
1963-03-01,44043
1963-04-01,44179
1963-05-01,44157
1963-06-01,44199
1963-07-01,44245
1963-08-01,44183
1963-09-01,44278
1963-10-01,44398
1963-11-01,44418
1963-12-01,44413
1964-01-01,44398
1964-02-01,44528
1964-03-01,44520
1964-04-01,44755
1964-05-01,44960
1964-06-01,44799
1964-07-01,44759
1964-08-01,44797
1964-09-01,44710
1964-10-01,44666
1964-11-01,44749
1964-12-01,44849
1965-01-01,45035
1965-02-01,44934
1965-03-01,45076
1965-04-01,45144
1965-05-01,45261
1965-06-01,45503
1965-07-01,45437
1965-08-01,45499
1965-09-01,45347
1965-10-01,45451
1965-11-01,45518
1965-12-01,45596
1966-01-01,45660
1966-02-01,45629
1966-03-01,45651
1966-04-01,45746
1966-05-01,45879
1966-06-01,45845
1966-07-01,45846
1966-08-01,45963
1966-09-01,46218
1966-10-01,46241
1966-11-01,46352
1966-12-01,46290
1967-01-01,46256
1967-02-01,46210
1967-03-01,46180
1967-04-01,46363
1967-05-01,46343
1967-06-01,46404
1967-07-01,46677
1967-08-01,46920
1967-09-01,47002
1967-10-01,47108
1967-11-01,47093
1967-12-01,47262
1968-01-01,46977
1968-02-01,47218
1968-03-01,47369
1968-04-01,47419
1968-05-01,47710
1968-06-01,47762
1968-07-01,47608
1968-08-01,47582
1968-09-01,47708
1968-10-01,47678
1968-11-01,47832
1968-12-01,47953
1969-01-01,48016
1969-02-01,48219
1969-03-01,48133
1969-04-01,48092
1969-05-01,48211
1969-06-01,48299
1969-07-01,48381
1969-08-01,48547
1969-09-01,48554
1969-10-01,48667
1969-11-01,48605
1969-12-01,48833
1970-01-01,48846
1970-02-01,48749
1970-03-01,48784
1970-04-01,48910
1970-05-01,48650
1970-06-01,48745
1970-07-01,48759
1970-08-01,48704
1970-09-01,48534
1970-10-01,48658
1970-11-01,48653
