DATE,LNS12000091
1948-01-01,12908
1948-02-01,13007
1948-03-01,13013
1948-04-01,12965
1948-05-01,12927
1948-06-01,13076
1948-07-01,13125
1948-08-01,13095
1948-09-01,13165
1948-10-01,13068
1948-11-01,13077
1948-12-01,13153
1949-01-01,13150
1949-02-01,13103
1949-03-01,13062
1949-04-01,13102
1949-05-01,13097
1949-06-01,13147
1949-07-01,13098
1949-08-01,13139
1949-09-01,13091
1949-10-01,13040
1949-11-01,13131
1949-12-01,13116
1950-01-01,13114
1950-02-01,13174
1950-03-01,13128
1950-04-01,13292
1950-05-01,13308
1950-06-01,13455
1950-07-01,13493
1950-08-01,13719
1950-09-01,13586
1950-10-01,13615
1950-11-01,13662
1950-12-01,13521
1951-01-01,13558
1951-02-01,13588
1951-03-01,13779
1951-04-01,13711
1951-05-01,13776
1951-06-01,13678
1951-07-01,13766
1951-08-01,13685
1951-09-01,13692
1951-10-01,13933
1951-11-01,13815
1951-12-01,13962
1952-01-01,13970
1952-02-01,14002
1952-03-01,14005
1952-04-01,14027
1952-05-01,14070
1952-06-01,14030
1952-07-01,14002
1952-08-01,13965
1952-09-01,14182
1952-10-01,13964
1952-11-01,14199
1952-12-01,14257
1953-01-01,14838
1953-02-01,14739
1953-03-01,14910
1953-04-01,14689
1953-05-01,14809
1953-06-01,14777
1953-07-01,14617
1953-08-01,14811
1953-09-01,14705
1953-10-01,14710
1953-11-01,14931
1953-12-01,14747
1954-01-01,14494
1954-02-01,14623
1954-03-01,14561
1954-04-01,14500
1954-05-01,14404
1954-06-01,14466
1954-07-01,14464
1954-08-01,14537
1954-09-01,14500
1954-10-01,14611
1954-11-01,14664
1954-12-01,14653
1955-01-01,14634
1955-02-01,14584
1955-03-01,14586
1955-04-01,14767
1955-05-01,14763
1955-06-01,14855
1955-07-01,14988
1955-08-01,15052
1955-09-01,15054
1955-10-01,15023
1955-11-01,15104
1955-12-01,15138
1956-01-01,15197
1956-02-01,15142
1956-03-01,15126
1956-04-01,15190
1956-05-01,15271
1956-06-01,15245
1956-07-01,15237
1956-08-01,15184
1956-09-01,15292
1956-10-01,15271
1956-11-01,15230
1956-12-01,15235
1957-01-01,15242
1957-02-01,15410
1957-03-01,15361
1957-04-01,15335
1957-05-01,15353
1957-06-01,15345
1957-07-01,15395
1957-08-01,15405
1957-09-01,15347
1957-10-01,15362
1957-11-01,15328
1957-12-01,15301
1958-01-01,15183
1958-02-01,14976
1958-03-01,15070
1958-04-01,15030
1958-05-01,15102
1958-06-01,15132
1958-07-01,15160
1958-08-01,15217
1958-09-01,15230
1958-10-01,15247
1958-11-01,15260
1958-12-01,15270
1959-01-01,15344
1959-02-01,15326
1959-03-01,15457
1959-04-01,15491
1959-05-01,15464
1959-06-01,15490
1959-07-01,15491
1959-08-01,15440
1959-09-01,15421
1959-10-01,15528
1959-11-01,15408
1959-12-01,15574
1960-01-01,15589
1960-02-01,15621
1960-03-01,15496
1960-04-01,15684
1960-05-01,15664
1960-06-01,15641
1960-07-01,15592
1960-08-01,15641
1960-09-01,15637
1960-10-01,15487
1960-11-01,15630
1960-12-01,15482
1961-01-01,15560
1961-02-01,15539
1961-03-01,15557
1961-04-01,15580
1961-05-01,15528
1961-06-01,15596
1961-07-01,15581
1961-08-01,15572
1961-09-01,15524
1961-10-01,15543
1961-11-01,15502
1961-12-01,15532
1962-01-01,15571
1962-02-01,15670
1962-03-01,15722
1962-04-01,15872
1962-05-01,15936
1962-06-01,15886
1962-07-01,15929
1962-08-01,15959
1962-09-01,16072
1962-10-01,16071
1962-11-01,16035
1962-12-01,16078
1963-01-01,16107
1963-02-01,16039
1963-03-01,16120
1963-04-01,16087
1963-05-01,16102
1963-06-01,16096
1963-07-01,16139
1963-08-01,16149
1963-09-01,16181
1963-10-01,16164
1963-11-01,16115
1963-12-01,16060
1964-01-01,16096
1964-02-01,16076
1964-03-01,16091
1964-04-01,16138
1964-05-01,16338
1964-06-01,16389
1964-07-01,16246
1964-08-01,16144
1964-09-01,16067
1964-10-01,16115
1964-11-01,16146
1964-12-01,16140
1965-01-01,16199
1965-02-01,16212
1965-03-01,16227
1965-04-01,16291
1965-05-01,16273
1965-06-01,16363
1965-07-01,16300
1965-08-01,16415
1965-09-01,16309
1965-10-01,16317
1965-11-01,16288
1965-12-01,16347
1966-01-01,16314
1966-02-01,16330
1966-03-01,16330
1966-04-01,16309
1966-05-01,16328
1966-06-01,16303
