,State,Year,Population
2448,WV,2016,1828637
2449,WV,2017,1815857
2450,WY,1969,327809
2451,WY,1970,333928
2452,WY,1971,340058
2453,WY,1972,346893
2454,WY,1973,353385
2455,WY,1974,364575
2456,WY,1975,380537
2457,WY,1976,395493
2458,WY,1977,411606
2459,WY,1978,430953
2460,WY,1979,451894
2461,WY,1980,474381
2462,WY,1981,491700
2463,WY,1982,506378
2464,WY,1983,510350
2465,WY,1984,504891
2466,WY,1985,499688
2467,WY,1986,495619
2468,WY,1987,476974
2469,WY,1988,465080
2470,WY,1989,458376
2471,WY,1990,453690
2472,WY,1991,459260
2473,WY,1992,466251
2474,WY,1993,473081
2475,WY,1994,480283
2476,WY,1995,485160
2477,WY,1996,488167
2478,WY,1997,489451
2479,WY,1998,490787
2480,WY,1999,491780
2481,WY,2000,494300
2482,WY,2001,494657
2483,WY,2002,500017
2484,WY,2003,503453
2485,WY,2004,509106
2486,WY,2005,514157
2487,WY,2006,522667
2488,WY,2007,534876
2489,WY,2008,546043
2490,WY,2009,559851
2491,WY,2010,564376
2492,WY,2011,567602
2493,WY,2012,576608
2494,WY,2013,582341
2495,WY,2014,583334
2496,WY,2015,586102
2497,WY,2016,584910
2498,WY,2017,579315
