UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2012,999,312819943,153853125,158966818,120725648,123175612,19602159,21428629,1933383,1895081,7604673,8366522,356212,344715,3631050,3756259,123932440,126472100,21141146,23070850,3133244,3164134,8933857,9710704,695354,691440,127289981,133078194,97243651,100351744,18407614,20179540,1134108,1166586,7345805,8106866,260379,256110,2898424,3017348,99800198,102995075,19626868,21489362,2007657,2110568,8471654,9245633,528330,531600,26563144,25888624,23481997,22823868,1194545,1249089,799275,728495,258868,259656,95833,88605,732626,738911,24132242,23477025,1514278,1581488,1125587,1053566,462203,465071,167024,159840
R,1,2012,0,3943096,2017502,1925594,1465449,1395053,304126,294958,32706,31543,91584,86337,5853,5542,117784,112161,1573863,1498213,367337,355334,57120,54842,134577,127168,14422,13668,1496860,1425363,1020375,967589,275757,267655,17554,16740,85699,80719,3843,3603,93632,89057,1107030,1049939,326891,316467,33526,31927,121194,114418,10043,9456,520642,500231,445074,427464,28369,27303,15152,14803,5885,5618,2010,1939,24152,23104,466833,448274,40446,38867,23594,22915,13383,12750,4379,4212
R,1,2012,1,4012730,2051015,1961715,1491479,1422762,307931,298514,32050,31159,94234,89677,5914,5506,119407,114097,1601473,1527776,371763,360009,56955,55197,137770,130769,14564,13632,1516427,1446995,1031220,979735,280740,271766,17495,17165,88385,84272,3928,3669,94659,90388,1118845,1063309,332218,321300,33671,32825,124352,118262,10202,9569,534588,514720,460259,443027,27191,26748,14555,13994,5849,5405,1986,1837,24748,23709,482628,464467,39545,38709,23284,22372,13418,12507,4362,4063
R,1,2012,2,3949998,2015835,1934163,1457673,1392404,303558,295259,32808,31754,98223,94621,5986,5810,117587,114315,1565926,1497486,366855,357510,56684,55042,141297,135898,14304,13931,1501105,1437927,1018556,969406,275230,267771,17425,16952,92226,88843,3985,3827,93683,91128,1105288,1053583,326646,318256,32984,32210,127847,123101,10069,9757,514730,496236,439117,422998,28328,27488,15383,14802,5997,5778,2001,1983,23904,23187,460638,443903,40209,39254,23700,22832,13450,12797,4235,4174
R,1,2012,3,4060446,2072931,1987515,1501901,1432823,314887,306276,33310,32031,100029,97052,6126,5994,116678,113339,1609084,1536978,377791,368164,57130,55008,142261,137561,14560,14004,1546426,1482017,1051208,1000332,285940,278638,17707,17217,94032,91319,4084,3983,93455,90528,1137383,1083983,337398,329225,33345,32074,129237,124990,10270,9803,526505,505498,450693,432491,28947,27638,15603,14814,5997,5733,2042,2011,23223,22811,471701,452995,40393,38939,23785,22934,13024,12571,4290,4201
R,1,2012,4,4111821,2099441,2012380,1526506,1456420,315511,307141,34074,33222,102791,99046,6185,5980,114374,110571,1631445,1557796,376872,367244,57862,56157,144322,138680,14511,13883,1566014,1499922,1068755,1016821,287001,279717,17877,17765,96837,93499,4131,3952,91413,88168,1153060,1097970,337092,328686,33437,32682,131343,126394,10280,9736,533427,512458,457751,439599,28510,27424,16197,15457,5954,5547,2054,2028,22961,22403,478385,459826,39780,38558,24425,23475,12979,12286,4231,4147
R,1,2012,5,4110470,2100472,2009998,1533888,1462661,314372,304281,34412,32702,100854,97442,6016,5834,110930,107078,1635645,1560847,373213,361839,57722,55207,141522,135853,14170,13574,1571933,1502030,1079172,1025803,286771,277385,18104,17470,94950,91917,4058,3852,88878,85603,1161082,1104625,334967,324652,33395,32164,128826,123853,10030,9513,528539,507968,454716,436858,27601,26896,16308,15232,5904,5525,1958,1982,22052,21475,474563,456222,38246,37187,24327,23043,12696,12000,4140,4061
R,1,2012,6,4078291,2084881,1993410,1533515,1455988,305595,297712,33679,32817,100508,99125,6013,5880,105571,101888,1630227,1549240,360895,351627,56417,54595,139415,136427,13693,13189,1568073,1499130,1087290,1029467,279197,272140,17989,17693,94967,93939,3994,3977,84636,81914,1165154,1104700,324604,316485,32914,31971,127544,125223,9644,9411,516808,494280,446225,426521,26398,25572,15690,15124,5541,5186,2019,1903,20935,19974,465073,444540,36291,35142,23503,22624,11871,11204,4049,3778
R,1,2012,7,4080942,2083181,1997761,1536498,1464043,303835,294643,33172,32054,102110,102099,5961,5644,101605,99278,1629472,1554763,356429,346481,55464,53841,139854,138425,13407,12884,1578693,1512879,1099418,1044732,278429,270002,18084,17184,96594,96918,4130,3911,82038,80132,1174857,1118217,321746,312828,33012,31754,128309,127524,9658,9300,504488,484882,437080,419311,25406,24641,15088,14870,5516,5181,1831,1733,19567,19146,454615,436546,34683,33653,22452,22087,11545,10901,3749,3584
R,1,2012,8,4070437,2076927,1993510,1539767,1467387,300772,292187,32099,31649,100780,101509,5723,5414,97786,95364,1629165,1554601,350790,341355,54170,53149,137038,136627,13016,12445,1584834,1518381,1112741,1055663,276236,268439,17581,17129,95524,96444,3949,3751,78803,76955,1185073,1126353,317499,309063,32344,31652,125994,125856,9398,8996,492093,475129,427026,411724,24536,23748,14518,14520,5256,5065,1774,1663,18983,18409,444092,428248,33291,32292,21826,21497,11044,10771,3618,3449
