UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2013,999,316057727,155514347,160543380,121489558,123836120,19923458,21745606,1970139,1932653,7954906,8746635,367834,356069,3808452,3926297,124859472,127289450,21558835,23480402,3199362,3230344,9354892,10157506,719515,714693,128175005,133827207,97356040,100308012,18677418,20446373,1148962,1181956,7687233,8477687,268901,264381,3036451,3148798,100039976,103073092,19971247,21827666,2039026,2141695,8872996,9672535,546022,548520,27339342,26716173,24133518,23528108,1246040,1299233,821177,750697,267673,268948,98933,91688,772001,777499,24819496,24216358,1587588,1652736,1160336,1088649,481896,484971,173493,166173
R,7,2013,0,3931258,2009724,1921534,1447619,1380960,304219,295550,32506,31218,99559,93430,6137,5803,119684,114573,1557755,1486300,368153,357477,56792,54546,143940,135338,14911,14036,1496680,1427174,1010938,960410,275194,267485,17381,16626,93545,87513,4115,3815,95507,91325,1099291,1044809,327000,317700,33294,31886,130392,122228,10506,9772,513044,494360,436681,420550,29025,28065,15125,14592,6014,5917,2022,1988,24177,23248,458464,441491,41153,39777,23498,22660,13548,13110,4405,4264
R,7,2013,1,3942696,2015720,1926976,1456529,1388982,304754,295317,33081,31768,97408,92384,5945,5665,118003,112860,1565084,1492771,367915,356107,57370,55013,140808,133568,14518,13854,1498114,1428876,1015289,964052,276084,267809,17373,16769,91485,86718,3931,3734,93952,89794,1102168,1047061,327166,317006,33256,31937,127478,120806,10169,9668,517606,498100,441240,424930,28670,27508,15708,14999,5923,5666,2014,1931,24051,23066,462916,445710,40749,39101,24114,23076,13330,12762,4349,4186
R,7,2013,2,3991745,2042268,1949477,1482647,1411120,306486,297232,32014,30953,96893,92027,5911,5566,118317,112579,1591532,1514638,369589,357671,56617,54529,140314,132978,14593,13725,1510666,1437655,1024961,971249,279156,270348,17641,16818,91112,86513,3920,3656,93876,89071,1111791,1053557,330104,318994,33671,32134,126980,120294,10209,9533,531602,511822,457686,439871,27330,26884,14373,14135,5781,5514,1991,1910,24441,23508,479741,461081,39485,38677,22946,22395,13334,12684,4384,4192
R,7,2013,3,3991019,2037081,1953938,1472307,1406661,305573,296664,32631,31791,101466,97598,5952,5768,119152,115456,1582106,1512827,369481,359196,57074,55759,145041,139311,14470,13936,1511244,1446884,1022615,972955,277250,269346,17221,17058,95500,91963,3967,3818,94691,91744,1110304,1057713,328929,319762,33077,32761,131560,126546,10189,9733,525837,507054,449692,433706,28323,27318,15410,14733,5966,5635,1985,1950,24461,23712,471802,455114,40552,39434,23997,22998,13481,12765,4281,4203
R,7,2013,4,3992496,2036782,1955714,1472588,1407324,308047,300088,32756,31737,101059,98155,6029,5977,116303,112433,1579403,1510735,370629,361262,56636,54404,143407,138658,14283,13978,1517983,1455811,1029201,980259,279635,272452,17377,16932,95004,92452,4008,4003,92758,89713,1114812,1063193,330526,322257,32942,31626,130165,126183,10069,9876,518799,499903,443387,427065,28412,27636,15379,14805,6055,5703,2021,1974,23545,22720,464591,447542,40103,39005,23694,22778,13242,12475,4214,4102
R,7,2013,5,4121876,2103606,2018270,1523434,1454090,317929,310068,34086,32857,105403,102262,6268,6002,116486,112991,1630321,1557763,380514,371839,57924,55982,147800,142679,14792,13924,1566876,1503340,1062950,1013094,288983,282070,18016,17564,99492,96523,4212,3964,93223,90125,1148874,1096134,340160,332428,33622,32532,134815,130091,10452,9787,536730,514930,460484,440996,28946,27998,16070,15293,5911,5739,2056,2038,23263,22866,481447,461629,40354,39411,24302,23450,12985,12588,4340,4137
R,7,2013,6,4141130,2115672,2025458,1538774,1467866,318788,308461,34632,33088,104307,100361,6211,6065,112960,109617,1642447,1568258,379206,367701,58151,55985,145463,139702,14470,14031,1579208,1510004,1078089,1024836,290280,281165,18056,17713,98293,94747,4196,4033,90294,87510,1161374,1105315,339570,329606,33487,32605,132471,127487,10271,9866,536464,515454,460685,443030,28508,27296,16576,15375,6014,5614,2015,2032,22666,22107,481073,462943,39636,38095,24664,23380,12992,12215,4199,4165
R,7,2013,7,4106760,2098705,2008055,1537244,1462352,309825,302539,33889,32675,103220,100469,6093,5822,108434,104198,1636689,1557893,366954,358027,56913,54696,143134,138321,14001,13358,1573545,1503880,1084113,1027694,282798,276141,18044,17561,97455,95152,4102,3903,87033,83429,1164249,1104507,329682,321685,33171,31966,130874,126695,9953,9420,525160,504175,453131,434658,27027,26398,15845,15114,5765,5317,1991,1919,21401,20769,472440,453386,37272,36342,23742,22730,12260,11626,4048,3938
R,7,2013,8,4094521,2090823,2003698,1537211,1463598,306222,297075,33485,32759,104047,103508,6058,5850,103800,100908,1632178,1555749,360198,350103,56154,54598,142524,140399,13627,13152,1576496,1510568,1092451,1037729,280058,271661,17988,17584,98517,98309,4117,4058,83365,81227,1169060,1112172,324336,315323,32915,31950,130812,129353,9712,9510,514327,493130,444760,425869,26164,25414,15497,15175,5530,5199,1941,1792,20435,19681,463118,443577,35862,34780,23239,22648,11712,11046,3915,3642
