UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2017,999,324217542,159661120,164556422,123399461,125554025,20698880,22523257,2056756,2023167,8864149,9727040,394576,383209,4247298,4345724,127173795,129394291,22573425,24488881,3359399,3390430,10436551,11300806,776580,770254,130277896,135776562,97536014,100271980,19326038,21099722,1179741,1215626,8573546,9434764,287764,283647,3374793,3470823,100532970,103335283,20802905,22657411,2110016,2212722,9904883,10766679,587219,588734,29383224,28779860,25863447,25282045,1372842,1423535,877015,807541,290603,292276,106812,99562,872505,874901,26640825,26059008,1770520,1831470,1249383,1177708,531668,534127,189361,181520
R,1,2017,0,3938065,2014473,1923592,1447710,1377666,304318,295562,32168,30977,102151,96215,6351,6051,121775,117121,1559871,1485517,370157,359455,56487,54277,146879,138828,14940,14243,1490308,1420061,1002423,950343,274621,266867,16516,15782,95560,89903,4121,3907,97067,93259,1092297,1036660,327975,318629,32315,30866,132639,125198,10410,9901,524165,503531,445287,427323,29697,28695,15652,15195,6591,6312,2230,2144,24708,23862,467574,448857,42182,40826,24172,23411,14240,13630,4530,4342
R,1,2017,1,3989809,2040779,1949030,1463658,1392726,307854,299160,32447,31290,107286,101394,6445,6192,123089,118268,1576999,1501611,374277,363611,56985,54794,152653,144503,15142,14474,1508847,1438131,1011544,958982,277765,270073,16619,15904,100607,95018,4197,4019,98115,94135,1102356,1046086,331555,322238,32547,31099,138258,130744,10575,10083,531932,510899,452114,433744,30089,29087,15828,15386,6679,6376,2248,2173,24974,24133,474643,455525,42722,41373,24438,23695,14395,13759,4567,4391
R,1,2017,2,4016540,2054123,1962417,1471494,1399748,309370,301402,32613,31856,111545,105675,6358,6153,122743,117583,1584464,1507965,375257,365198,57169,55419,157066,148642,15122,14416,1525931,1454252,1022571,968320,279011,272263,16859,16375,105169,99509,4239,4069,98082,93716,1113293,1054995,332381,323905,32887,31674,143132,135219,10714,10167,528192,508165,448923,431428,30359,29139,15754,15481,6376,6166,2119,2084,24661,23867,471171,452970,42876,41293,24282,23745,13934,13423,4408,4249
R,1,2017,3,3975416,2033741,1941675,1458212,1387484,308233,299442,33141,31711,107377,101689,6107,5845,120671,115504,1569220,1493689,372766,362190,57548,55010,152119,143797,14907,14069,1510503,1439866,1013189,960924,278451,270805,17272,16528,101275,95803,4089,3861,96227,91945,1102164,1045886,330668,321586,33210,31691,138459,130697,10510,9827,523238,501809,445023,426560,29782,28637,15869,15183,6102,5886,2018,1984,24444,23559,467056,447803,42098,40604,24338,23319,13660,13100,4397,4242
R,1,2017,4,4007280,2047573,1959707,1467348,1400555,308885,300272,32830,31556,112107,106197,6215,6022,120188,115105,1577797,1506318,372732,362079,57229,55009,157062,148648,15041,14398,1521440,1451888,1018610,967485,279465,271810,17366,16755,106086,100263,4176,4001,95737,91574,1107011,1052036,330983,321720,33261,32026,143537,135500,10641,10108,526133,507819,448738,433070,29420,28462,15464,14801,6021,5934,2039,2021,24451,23531,470786,454282,41749,40359,23968,22983,13525,13148,4400,4290
R,1,2017,5,4016651,2053990,1962661,1481022,1410942,309187,300350,32909,31747,105983,100750,6001,5754,118888,113118,1590341,1514877,372668,360983,57427,55110,149817,142308,14677,13991,1520841,1449590,1024665,971959,280283,272368,17516,16706,100052,95066,3965,3785,94360,89706,1111865,1054791,331428,321186,33453,31862,136371,129489,10273,9753,533149,513071,456357,438983,28904,27982,15393,15041,5931,5684,2036,1969,24528,23412,478476,460086,41240,39797,23974,23248,13446,12819,4404,4238
R,1,2017,6,4079567,2084004,1995563,1506181,1437950,312893,303846,32257,31341,106262,101855,6050,5696,120361,114875,1616965,1543590,377022,365570,57256,55407,150460,143556,14791,13912,1537535,1468818,1035244,984096,285150,276431,17491,17136,100384,96386,4048,3837,95218,90932,1123281,1068071,336653,325993,33625,32765,136980,130984,10412,9830,546469,526745,470937,453854,27743,27415,14766,14205,5878,5469,2002,1859,25143,23943,493684,475519,40369,39577,23631,22642,13480,12572,4379,4082
R,1,2017,7,4011831,2046494,1965337,1472029,1407037,308207,300292,32988,31927,108650,105076,6148,5990,118472,115015,1581017,1512699,371805,362759,56954,55255,152317,146865,14541,14180,1519903,1457345,1022184,973462,279321,272149,17431,16936,102628,99236,4139,3984,94200,91578,1109302,1057982,330764,322648,32963,32163,138820,134000,10298,9984,526591,507992,449845,433575,28886,28143,15557,14991,6022,5840,2009,2006,24272,23437,471715,454717,41041,40111,23991,23092,13497,12865,4243,4196
R,1,2017,8,4119174,2102133,2017041,1516015,1447451,319410,311158,33481,32172,109520,106048,6295,6159,117412,114053,1623806,1552205,382580,373327,57376,55224,152238,146997,14791,14232,1563701,1499671,1054489,1004298,289900,282850,17706,17217,103509,100270,4244,4136,93853,90900,1140956,1088225,341363,333444,33309,32047,139186,134370,10493,10018,538432,517370,461526,443153,29510,28308,15775,14955,6011,5778,2051,2023,23559,23153,482850,463980,41217,39883,24067,23177,13052,12627,4298,4214
R,1,2017,9,4169641,2128531,2041110,1540926,1471014,320021,311979,34248,33342,111937,107326,6316,6154,115083,111295,1646458,1573005,381645,372412,58103,56365,153929,147357,14708,14113,1582761,1516447,1071976,1020468,290882,283867,17863,17771,105971,101754,4256,4113,91813,88474,1156576,1101837,340987,332840,33397,32654,140930,135020,10471,9950,545770,524663,468950,450546,29139,28112,16385,15571,5966,5572,2060,2041,23270,22821,489882,471168,40658,39572,24706,23711,12999,12337,4237,4163
R,1,2017,10,4168555,2129450,2039105,1548396,1477325,318865,309338,34603,32848,109746,105693,6134,6022,111706,107879,1650798,1576190,378011,367261,58009,55470,150892,144526,14356,13825,1587962,1518327,1082032,1029029,290537,281698,18090,17481,103829,100135,4170,4025,89304,85959,1164256,1108107,338767,328985,33371,32155,138159,132466,10210,9747,541488,520778,466364,448296,28328,27640,16513,15367,5917,5558,1964,1997,22402,21920,486542,468083,39244,38276,24638,23315,12733,12060,4146,4078
R,1,2017,11,4136415,2113338,2023077,1547664,1471098,310068,302734,33876,32965,109264,107491,6144,6085,106322,102704,1645014,1565038,365696,357011,56725,54846,148581,145253,13881,13455,1583313,1515193,1089706,1032287,282845,276459,17971,17696,103697,102266,4106,4163,84988,82322,1167828,1107821,328272,320845,32884,31961,136659,133984,9816,9657,530025,507884,457958,438811,27223,26275,15905,15269,5567,5225,2038,1922,21334,20382,477186,457217,37424,36166,23841,22885,11922,11269,4065,3798
R,1,2017,12,4138934,2111509,2027425,1550486,1479175,308381,299708,33381,32203,110868,110458,6104,5852,102289,100029,1644045,1570541,361290,351903,55781,54086,148962,147174,13600,13143,1593604,1528529,1101515,1047175,282130,274399,18068,17177,105308,105223,4240,4095,82343,80460,1177181,1120907,325465,317251,32983,31725,137358,136187,9818,9535,517905,498896,448971,432000,26251,25309,15313,15026,5560,5235,1864,1757,19946,19569,466864,449634,35825,34652,22798,22361,11604,10987,3782,3608
R,1,2017,13,4128924,2105586,2023338,1553767,1482538,305495,297432,32315,31797,109638,109916,5882,5637,98489,96018,1643765,1570314,355854,346902,54492,53390,146247,145373,13225,12712,1599864,1533721,1114687,1057720,280107,272933,17581,17114,104312,104788,4075,3941,79102,77225,1187238,1128608,321391,313563,32331,31612,135111,134516,9574,9230,505722,489617,439080,424818,25388,24499,14734,14683,5326,5128,1807,1696,19387,18793,456527,441706,34463,33339,22161,21778,11136,10857,3651,3482
R,1,2017,14,4117237,2099135,2018102,1548670,1478842,308728,301420,32719,31616,108876,108585,5890,5698,94252,91941,1634561,1562604,356697,348642,54557,53009,143671,142160,13091,12523,1598107,1532789,1113090,1056644,283608,277348,17806,17244,103587,103697,4132,3972,75884,73884,1182475,1124266,323059,316094,32418,31571,132857,131894,9558,9100,501028,485313,435580,422198,25120,24072,14913,14372,5289,4888,1758,1726,18368,18057,452086,438338,33638,32548,22139,21438,10814,10266,3533,3423
R,1,2017,15,4145998,2115432,2030566,1561947,1490752,316063,307010,32546,31160,106617,105575,5752,5613,92507,90456,1646183,1573127,363260,353517,54568,52913,140283,138052,12728,12401,1617825,1549917,1128738,1072159,291152,283101,17978,17284,101671,100712,4030,3886,74256,72775,1196558,1138706,329864,321406,32787,31968,129952,128012,9306,9008,497607,480649,433209,418593,24911,23909,14568,13876,4946,4863,1722,1727,18251,17681,449625,434421,33396,32111,21781,20945,10331,10040,3422,3393
