UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2014,999,318386421,156697642,161688779,122040572,124332818,20145874,21966998,1994966,1958522,8209836,9022623,374869,363474,3931525,4044344,125523916,127895087,21848150,23766747,3244613,3275945,9658510,10479257,735152,730152,128806619,134404773,97441991,100322874,18864320,20632934,1158643,1192216,7936111,8747300,273849,269703,3131705,3239746,100214102,103172252,20209502,22064088,2059986,2162710,9163053,9980635,557300,559758,27891023,27284006,24598581,24009944,1281554,1334064,836323,766306,273725,275323,101020,93771,799820,804598,25309814,24722835,1638648,1702659,1184627,1113235,495457,498622,177852,170394
R,7,2014,0,3954786,2024510,1930276,1458123,1384908,306973,297975,32787,31546,99315,93651,6119,5817,121193,116379,1569758,1492066,372134,361467,57257,54924,143913,135793,14818,14039,1505784,1433329,1017729,963283,276919,269195,17205,16472,93143,87723,4063,3835,96725,92821,1107319,1049197,329735,320743,33218,31712,130151,122621,10418,9845,518726,496947,440394,421625,30054,28780,15582,15074,6172,5928,2056,1982,24468,23558,462439,442869,42399,40724,24039,23212,13762,13172,4400,4194
R,7,2014,1,3948892,2018513,1930379,1450937,1384224,305162,296544,32504,31256,103819,97714,6179,5873,119912,114768,1561251,1489721,369109,358501,56791,54596,148430,139793,14986,14124,1502823,1433416,1011787,961308,276034,268368,17358,16613,97788,91789,4151,3876,95705,91462,1100290,1045807,327825,318568,33263,31865,134866,126676,10575,9856,515690,496963,439150,422916,29128,28176,15146,14643,6031,5925,2028,1997,24207,23306,460961,443914,41284,39933,23528,22731,13564,13117,4411,4268
R,7,2014,2,3958708,2023750,1934958,1459705,1392162,305869,296413,33107,31805,100866,95839,5959,5696,118244,113043,1568451,1496100,369078,357252,57411,55058,144472,137166,14559,13903,1503859,1434369,1016387,964980,277089,268778,17361,16773,94938,90163,3945,3758,94139,89917,1103409,1048080,328177,317973,33239,31932,131134,124393,10206,9713,519891,500589,443318,427182,28780,27635,15746,15032,5928,5676,2014,1938,24105,23126,465042,448020,40901,39279,24172,23126,13338,12773,4353,4190
R,7,2014,3,4005932,2049251,1956681,1485687,1414232,307465,298333,32048,30982,99628,94784,5918,5593,118505,112757,1594729,1517891,370612,358823,56662,54570,143198,135869,14616,13775,1515369,1442391,1025935,972140,280023,271300,17638,16814,93841,89257,3927,3680,94005,89200,1112860,1054544,330977,319954,33662,32128,129853,123175,10237,9582,533882,514290,459752,442092,27442,27033,14410,14168,5787,5527,1991,1913,24500,23557,481869,463347,39635,38869,23000,22442,13345,12694,4379,4193
R,7,2014,4,4004035,2043528,1960507,1475201,1409624,306514,297750,32690,31817,103821,99896,5978,5818,119324,115602,1585141,1515908,370472,360314,57150,55789,147522,141736,14511,14001,1515389,1451090,1023418,973801,278105,270283,17224,17052,97847,94245,3993,3856,94802,91853,1111189,1058645,329789,320702,33076,32749,134031,128952,10234,9787,528139,509417,451783,435823,28409,27467,15466,14765,5974,5651,1985,1962,24522,23749,473952,457263,40683,39612,24074,23040,13491,12784,4277,4214
R,7,2014,5,4004571,2042786,1961785,1475341,1410103,308949,301125,32805,31754,103163,100206,6065,6009,116463,112588,1582287,1513645,371576,362351,56700,54433,145626,140812,14337,14027,1521744,1459685,1029913,981065,280453,273369,17380,16927,97097,94488,4044,4030,92857,89806,1115597,1064071,331347,323177,32936,31616,132373,128317,10122,9919,521042,502100,445428,429038,28496,27756,15425,14827,6066,5718,2021,1979,23606,22782,466690,449574,40229,39174,23764,22817,13253,12495,4215,4108
R,7,2014,6,4133374,2109357,2024017,1526186,1456830,318766,311020,34112,32883,107312,104144,6305,6025,116676,113115,1633228,1560604,381419,372833,57967,56011,149843,144654,14843,13962,1570374,1506965,1063642,1013893,289724,282918,18017,17576,101401,98389,4245,3984,93345,90205,1149658,1096992,340913,333278,33624,32537,136853,132050,10500,9823,538983,517052,462544,442937,29042,28102,16095,15307,5911,5755,2060,2041,23331,22910,483570,463612,40506,39555,24343,23474,12990,12604,4343,4139
R,7,2014,7,4152671,2121430,2031241,1541615,1470752,319650,309403,34643,33126,106123,102095,6240,6094,113159,109771,1645453,1571271,380137,368701,58172,56039,147419,141534,14524,14075,1582617,1513442,1078753,1025611,291041,281974,18053,17729,100116,96471,4225,4057,90429,87600,1162139,1106158,340348,330424,33477,32618,134430,129303,10326,9903,538813,517799,462862,445141,28609,27429,16590,15397,6007,5624,2015,2037,22730,22171,483314,465113,39789,38277,24695,23421,12989,12231,4198,4172
R,7,2014,8,4118353,2104331,2014022,1540088,1465419,310700,303511,33914,32704,104936,102149,6113,5859,108580,104380,1639654,1561116,367887,359080,56950,54750,144942,140098,14034,13407,1576686,1507291,1084702,1028469,283529,276960,18042,17573,99172,96834,4118,3939,87123,83516,1164906,1105348,330424,322512,33170,31976,132678,128468,9983,9466,527645,506731,455386,436950,27171,26551,15872,15131,5764,5315,1995,1920,21457,20864,474748,455768,37463,36568,23780,22774,12264,11630,4051,3941
