UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4,2010,999,308758105,151788777,156969328,119703376,122242055,19207770,21046680,1889767,1849840,7218565,7941078,342917,331727,3426382,3557948,122720574,125355422,20635471,22581589,3054828,3083794,8468171,9208517,667778,664751,126169176,132110318,97021367,100305067,18071580,19854674,1115817,1147525,6969907,7691732,250709,246524,2739796,2864796,99430232,102806961,19204800,21081805,1969640,2072101,8029010,8766200,508302,512084,25619601,24859010,22682009,21936988,1136190,1192006,773950,702315,248658,249346,92208,85203,686586,693152,23290342,22548461,1430671,1499784,1085188,1011693,439161,442317,159476,152667
R,4,2010,0,3944160,2014278,1929882,1459845,1393180,303482,295225,32676,31799,93601,88424,5898,5683,118776,115571,1569331,1499474,367545,358178,56900,55613,136821,130005,14296,13808,1498803,1432966,1020591,969880,274837,267650,17374,17035,87546,82645,3885,3701,94570,92055,1108233,1054967,326858,318607,33148,32649,123217,117146,10002,9606,515475,496916,439254,423300,28645,27575,15302,14764,6055,5779,2013,1982,24206,23516,461098,444507,40687,39571,23752,22964,13604,12859,4294,4202
R,4,2010,1,3978090,2030861,1947229,1474306,1408405,307827,299571,32861,31717,94373,90015,5979,5869,115515,111652,1580412,1511124,370207,360340,56702,54243,136117,130110,14199,13827,1515528,1451752,1033703,985209,279658,272166,17461,17000,88359,84372,3970,3904,92377,89101,1118944,1067620,330577,321794,33081,31590,123091,117641,10031,9687,515333,495477,440603,423196,28169,27405,15400,14717,6014,5643,2009,1965,23138,22551,461468,443504,39630,38546,23621,22653,13026,12469,4168,4140
R,4,2010,2,4096939,2092202,2004737,1521590,1450443,315541,307516,34019,32986,99537,95955,6098,5900,115417,111937,1627503,1553134,377431,368714,57882,56165,141459,135770,14548,13827,1560237,1495051,1065259,1013719,287039,280125,17914,17713,93666,90322,4029,3852,92330,89320,1150401,1096003,337690,330086,33522,32789,128500,123327,10220,9651,531965,509686,456331,436724,28502,27391,16105,15273,5871,5633,2069,2048,23087,22617,477102,457131,39741,38628,24360,23376,12959,12443,4328,4176
R,4,2010,3,4119051,2104555,2014496,1537345,1465821,316142,305868,34757,33179,98095,95305,6070,5875,112146,108448,1640334,1565245,375927,364343,58166,55986,139054,134131,14298,13693,1573390,1504605,1081168,1027839,288011,278783,18268,17704,92130,89722,4056,3861,89757,86696,1164003,1107683,336891,326762,33666,32620,126144,121971,10067,9566,531165,509891,456177,437982,28131,27085,16489,15475,5965,5583,2014,2014,22389,21752,476331,457562,39036,37581,24500,23366,12910,12160,4231,4127
R,4,2010,4,4063186,2077556,1985630,1528353,1451260,305968,298138,33656,32491,97123,95116,5916,5802,106540,102823,1626003,1545467,362224,352967,56485,54316,136003,132475,13654,13145,1562145,1492454,1083857,1025829,279485,272576,17933,17570,91482,89925,3922,3897,85466,82657,1162513,1101840,325741,317747,32934,31909,123962,121158,9643,9315,515411,493176,444496,425431,26483,25562,15723,14921,5641,5191,1994,1905,21074,20166,463490,443627,36483,35220,23551,22407,12041,11317,4011,3830
R,4,2010,5,4056872,2072102,1984770,1528991,1454779,302478,293106,33283,32226,99106,99323,5978,5642,102266,99694,1622567,1545842,355372,345197,55696,54006,137178,135806,13443,12950,1567985,1501929,1092675,1037748,277078,268340,18076,17324,93601,94139,4091,3896,82464,80482,1168510,1111539,320667,311423,33009,31852,125590,124814,9616,9363,504117,482841,436316,417031,25400,24766,15207,14902,5505,5184,1887,1746,19802,19212,454057,434303,34705,33774,22687,22154,11588,10992,3827,3587
R,4,2010,6,4066412,2075330,1991082,1539844,1467196,300331,291738,32209,31752,98189,98812,5712,5385,99045,96199,1630497,1555304,351146,341513,54466,53324,134849,134083,13022,12393,1583531,1517502,1113304,1057111,275869,268020,17731,17207,92856,93756,3938,3690,79833,77718,1186682,1128593,317789,309186,32635,31769,123604,123404,9374,8860,491799,473580,426540,410085,24462,23718,14478,14545,5333,5056,1774,1695,19212,18481,443815,426711,33357,32327,21831,21555,11245,10679,3648,3533
R,4,2010,7,4030594,2057082,1973512,1528210,1455703,300194,291898,32333,31315,96873,97696,5700,5320,93772,91580,1613687,1539243,348122,338961,53888,52449,131385,131238,12879,12156,1573059,1507175,1107647,1050743,276147,268847,17708,17173,91715,92792,3967,3660,75875,73960,1177113,1118541,315883,307841,32256,31449,120718,120853,9314,8794,484023,466337,420563,404960,24047,23051,14625,14142,5158,4904,1733,1660,17897,17620,436574,420702,32239,31120,21632,21000,10667,10385,3565,3362
R,4,2010,8,4046497,2065459,1981038,1535874,1463846,307344,298003,32270,30949,92931,93180,5507,5330,91533,89730,1619380,1545541,354060,344300,54137,52546,126031,125314,12382,12035,1586220,1519811,1118944,1062935,283754,275209,17873,17191,88005,88387,3794,3626,73850,72463,1186564,1129231,322483,313588,32608,31834,115774,115329,9019,8668,479239,461227,416930,400911,23590,22794,14397,13758,4926,4793,1713,1704,17683,17267,432816,416310,31577,30712,21529,20712,10257,9985,3363,3367
R,4,2010,9,4148369,2119702,2028667,1572824,1496592,318871,308752,32745,31683,98255,97726,5642,5519,91365,88395,1655965,1576967,365186,354039,54841,53134,131632,129395,12671,12289,1636232,1564520,1151527,1092704,295183,285659,18437,17720,93284,93042,3988,3812,73813,71583,1218867,1158047,333505,323232,33551,32536,121360,119648,9260,8922,483470,464147,421297,403888,23688,23093,14308,13963,4971,4684,1654,1707,17552,16812,437098,418920,31681,30807,21290,20598,10272,9747,3411,3367
R,4,2010,10,4172559,2136007,2036552,1588692,1506461,324995,313033,33243,31820,93547,92530,5729,5330,89801,87378,1670455,1585696,370542,358104,55837,53634,125391,123190,12511,12023,1656562,1578003,1170741,1107217,301386,290346,18940,18069,88656,87859,4021,3730,72818,70782,1237302,1171613,339287,327943,34524,33147,115469,113526,9148,8765,479445,458549,417951,399244,23609,22687,14303,13751,4891,4671,1708,1600,16983,16596,433153,414083,31255,30161,21313,20487,9922,9664,3363,3258
R,4,2010,11,4114443,2103284,2011159,1571180,1493248,317483,307697,32320,31320,90033,89483,5564,5186,86704,84225,1649840,1569650,360953,350706,54419,53179,120839,118824,12526,11663,1639470,1564960,1166727,1104617,294624,285559,18572,17904,85199,84800,3934,3669,70414,68411,1230874,1166893,330887,321473,33979,33278,111091,109320,9246,8612,463814,446199,404453,388631,22859,22138,13748,13416,4834,4683,1630,1517,16290,15814,418966,402757,30066,29233,20440,19901,9748,9504,3280,3051
R,4,2010,12,4106261,2100156,2006105,1566451,1488379,319612,308725,32002,31179,93000,91031,5525,5231,83566,81560,1642181,1562245,361297,349803,53844,52670,122507,119563,12058,11425,1642108,1567194,1165905,1105547,297599,287042,18270,17970,88304,86449,3953,3735,68077,66451,1227803,1165917,332547,321453,33661,33223,113094,110437,8946,8458,458048,438911,400546,382832,22013,21683,13732,13209,4696,4582,1572,1496,15489,15109,414378,396328,28750,28350,20183,19447,9413,9126,3112,2967
R,4,2010,13,4118055,2104932,2013123,1575935,1496801,317410,308261,32053,31084,93435,92331,5513,5026,80586,79620,1648965,1568757,356832,347876,53949,52728,121973,120043,11888,11378,1649967,1578252,1178387,1117371,295336,287175,18356,17864,88795,87748,3887,3544,65206,64550,1237746,1175851,328062,320213,33654,33108,112772,111014,8734,8407,454965,434871,397548,379430,22074,21086,13697,13220,4640,4583,1626,1482,15380,15070,411219,392906,28770,27663,20295,19620,9201,9029,3154,2971
R,4,2010,14,4166059,2135596,2030463,1599636,1512303,324290,313002,32256,30609,94822,92276,5579,5414,79013,76859,1671054,1581637,362303,350739,54278,52172,122948,119191,11915,11720,1679508,1596090,1200354,1132618,302296,291934,18636,17624,90211,87713,3954,3777,64057,62424,1258436,1189147,334007,323297,34167,32975,113837,110317,8835,8685,456088,434373,399282,379685,21994,21068,13620,12985,4611,4563,1625,1637,14956,14435,412618,392490,28296,27442,20111,19197,9111,8874,3080,3035
R,4,2010,15,4242946,2177104,2065842,1623911,1532332,341504,329062,33103,31498,95681,91479,5650,5500,77255,75971,1693283,1600335,378156,366100,55487,53387,123085,118160,12280,11796,1718878,1630194,1222722,1151785,319175,307602,19290,18160,91001,87018,4011,3884,62679,61745,1279118,1207218,349668,338400,35304,33931,114114,109436,9125,8775,458226,435648,401189,380547,22329,21460,13813,13338,4680,4461,1639,1616,14576,14226,414165,393117,28488,27700,20183,19456,8971,8724,3155,3021
R,4,2010,16,4316311,2216153,2100158,1647642,1551793,357353,344145,33998,32658,96937,91686,5739,5669,74484,74207,1714184,1617885,392036,379675,56304,54975,123598,117530,12218,12132,1753134,1663480,1241765,1170387,334725,322362,20005,19301,92303,87203,4075,4096,60261,60131,1295699,1224040,363413,351866,36035,35421,114711,108896,9067,9073,463019,436678,405877,381406,22628,21783,13993,13357,4634,4483,1664,1573,14223,14076,418485,393845,28623,27809,20269,19554,8887,8634,3151,3059
R,4,2010,17,4395475,2263294,2132181,1680728,1575606,370252,352224,35224,33213,99166,93830,6020,5662,71904,71646,1744708,1639379,402691,385324,57491,55456,125250,119327,12397,11915,1793493,1695059,1268714,1193180,347013,330699,20799,19785,94521,89219,4250,4024,58196,58152,1320593,1245071,373729,357991,36806,35948,116675,110810,9279,8904,469801,437122,412014,382426,23239,21525,14425,13428,4645,4611,1770,1638,13708,13494,424115,394308,28962,27333,20685,19508,8575,8517,3118,3011
R,4,2010,18,4501114,2305664,2195450,1713007,1621213,373380,362463,36934,33724,106096,100552,6437,5973,69810,71525,1774564,1684112,403492,395020,59289,55977,132151,126934,12983,12611,1828366,1754606,1295562,1237582,349600,339261,21540,20174,101238,95700,4513,4225,55913,57664,1344878,1288380,374017,365809,37453,36143,123284,118004,9656,9374,477298,440844,417445,383631,23780,23202,15394,13550,4858,4852,1924,1748,13897,13861,429686,395732,29475,29211,21836,19834,8867,8930,3327,3237
R,4,2010,19,4585701,2342296,2243405,1743610,1657162,374048,368865,36258,33140,114620,108701,6958,6330,66802,69207,1802061,1717656,401998,399796,57691,54825,140499,134787,13717,13049,1864422,1807592,1326348,1279095,349614,344911,20844,19907,109395,103576,4952,4580,53269,55523,1372858,1327596,371999,370009,36040,35440,131367,125551,10280,9883,477874,435813,417262,378067,24434,23954,15414,13233,5225,5125,2006,1750,13533,13684,429203,390060,29999,29787,21651,19385,9132,9236,3437,3166
R,4,2010,20,4519556,2308579,2210977,1726263,1635077,361517,360803,35639,32345,115917,111573,7163,6518,62080,64661,1780490,1691561,387027,389289,55970,52748,139991,136096,13425,12795,1836083,1788309,1313231,1268446,337604,337207,20342,19562,110767,106593,5057,4746,49082,51755,1356074,1313642,357832,360050,34641,34035,131109,127456,9944,9686,472496,422668,413032,366631,23913,23596,15297,12783,5150,4980,2106,1772,12998,12906,424416,377919,29195,29239,21329,18713,8882,8640,3481,3109
R,4,2010,21,4354603,2223396,2131207,1671995,1581529,334482,338050,34056,30409,118250,114777,6962,6255,57651,60187,1722187,1634017,357433,364108,53209,49558,140934,137889,12921,12118,1767304,1729159,1272647,1232137,311847,315735,19024,18322,113425,109954,4949,4622,45412,48389,1312126,1274278,329780,336685,32413,32127,132652,129681,9638,9268,456092,402048,399348,349392,22635,22315,15032,12087,4825,4823,2013,1633,12239,11798,410061,359739,27653,27423,20796,17431,8282,8208,3283,2850
R,4,2010,22,4264946,2178023,2086923,1654555,1561911,313929,319982,33272,29797,115102,111471,6943,6208,54222,57554,1701597,1612108,335295,344452,51407,48200,136533,133888,12682,11986,1720093,1688020,1252048,1214833,292432,298140,18221,17673,110439,106959,4862,4555,42091,45860,1288431,1254842,308874,317465,30558,30735,128531,126059,9367,9140,457930,398903,402507,347078,21497,21842,15051,12124,4663,4512,2081,1653,12131,11694,413166,357266,26421,26987,20849,17465,8002,7829,3315,2846
R,4,2010,23,4198859,2141015,2057844,1637663,1546042,299034,309321,32597,28950,113680,112204,6889,6097,51152,55230,1682230,1594164,318673,332650,50088,47312,133964,133388,12238,11524,1686943,1661785,1237775,1200907,278105,287921,17652,16990,109116,107863,4784,4435,39511,43669,1272124,1238876,292942,306282,29535,29944,126282,125859,8977,8718,454072,396059,399888,345135,20929,21400,14945,11960,4564,4341,2105,1662,11641,11561,410106,355288,25731,26368,20553,17368,7682,7529,3261,2806
