UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2018,999,326218096,160655688,165562408,123813117,125954867,20892775,22724125,2078696,2046811,9102199,9984594,401683,390615,4367218,4461396,127698262,129902077,22833796,24754260,3400584,3432705,10721266,11602990,791762,785360,130705766,136209640,97470510,100186868,19484479,21265546,1186570,1223848,8805241,9685866,292597,288823,3466369,3558689,100552404,103331756,21011624,22871859,2126951,2230514,10175912,11055166,597998,599517,29949922,29352768,26342607,25767999,1408296,1458579,892126,822963,296958,298728,109086,101792,900849,902707,27145858,26570321,1822172,1882401,1273633,1202191,545354,547824,193764,185843
R,1,2018,0,3847910,1968333,1879577,1414560,1346122,297341,288798,31427,30262,99823,94045,6208,5912,118974,114438,1524143,1451499,361668,351226,55182,53023,143521,135688,14599,13915,1456121,1387538,979420,928552,268322,260753,16135,15419,93388,87879,4028,3819,94828,91116,1067225,1012884,320443,311325,31569,30149,129611,122368,10172,9672,512212,492039,435140,417570,29019,28045,15292,14843,6435,6166,2180,2093,24146,23322,456918,438615,41225,39901,23613,22874,13910,13320,4427,4243
R,1,2018,1,3956752,2023856,1932896,1451574,1381247,305373,296635,32178,31017,106286,100534,6390,6152,122055,117311,1563959,1489256,371251,360558,56519,54336,151260,143299,15013,14365,1496457,1426253,1003336,951142,275524,267786,16487,15772,99665,94205,4161,3993,97284,93355,1093378,1037529,328867,319512,32281,30839,136994,129646,10485,10006,527399,506643,448238,430105,29849,28849,15691,15245,6621,6329,2229,2159,24771,23956,470581,451727,42384,41046,24238,23497,14266,13653,4528,4359
R,1,2018,2,4007289,2049722,1957567,1467495,1396256,309105,300371,32514,31332,110750,104900,6466,6236,123392,118472,1581077,1505317,375607,364899,57079,54852,156357,148144,15194,14536,1514777,1443730,1012677,959889,278863,271153,16611,15907,104047,98505,4222,4048,98357,94228,1103669,1047059,332687,323307,32540,31086,141941,134360,10636,10130,534945,513837,454818,436367,30242,29218,15903,15425,6703,6395,2244,2188,25035,24244,477408,458258,42920,41592,24539,23766,14416,13784,4558,4406
R,1,2018,3,4032035,2061899,1970136,1475161,1403320,310468,302589,32673,31896,114247,108358,6372,6185,122978,117788,1588320,1511700,376421,366458,57247,55478,159942,151466,15160,14474,1530715,1459030,1023562,969245,279970,273300,16847,16370,107854,102182,4249,4097,98233,93836,1114397,1056005,333349,324944,32866,31668,145983,138024,10745,10221,531184,511106,451599,434075,30498,29289,15826,15526,6393,6176,2123,2088,24745,23952,473923,455695,43072,41514,24381,23810,13959,13442,4415,4253
R,1,2018,4,3989542,2040809,1948733,1461603,1390951,309319,300648,33222,31761,109643,103810,6130,5895,120892,115668,1572800,1497292,373931,363439,57655,55069,154520,146046,14946,14138,1514680,1444070,1014009,961829,279430,271841,17275,16519,103526,97915,4104,3905,96336,92061,1103068,1046881,331647,322629,33201,31677,140836,132933,10539,9890,526129,504663,447594,429122,29889,28807,15947,15242,6117,5895,2026,1990,24556,23607,469732,450411,42284,40810,24454,23392,13684,13113,4407,4248
R,1,2018,5,4020516,2054250,1966266,1470624,1403807,309996,301401,32905,31603,114086,108119,6251,6057,120388,115279,1581241,1509719,373926,363280,57332,55074,159149,150678,15097,14449,1525299,1455748,1019396,968354,280451,272790,17371,16743,108060,102164,4205,4029,95816,91668,1107852,1052977,331970,322709,33253,32004,145603,137506,10686,10148,528951,510518,451228,435453,29545,28611,15534,14860,6026,5955,2046,2028,24572,23611,473389,456742,41956,40571,24079,23070,13546,13172,4411,4301
R,1,2018,6,4029308,2060429,1968879,1484383,1414101,310223,301465,32943,31791,107723,102489,6037,5774,119120,113259,1593895,1518154,373807,362154,57492,55164,151679,144137,14735,14025,1524303,1453150,1025391,972739,281142,273342,17515,16703,101789,96786,3995,3803,94471,89777,1112669,1055622,332296,322163,33450,31852,138221,131290,10324,9782,536126,515729,458992,441362,29081,28123,15428,15088,5934,5703,2042,1971,24649,23482,481226,462532,41511,39991,24042,23312,13458,12847,4411,4243
R,1,2018,7,4091942,2090300,2001642,1509557,1441260,313870,304889,32274,31399,107962,103354,6081,5716,120556,115024,1620508,1547018,378093,366671,57300,55487,152256,145147,14839,13947,1540822,1472116,1035890,984895,285974,277325,17491,17147,102086,97878,4075,3857,95306,91014,1123994,1068923,337483,326896,33623,32773,138776,132564,10453,9865,549478,529526,473667,456365,27896,27564,14783,14252,5876,5476,2006,1859,25250,24010,496514,478095,40610,39775,23677,22714,13480,12583,4386,4082
R,1,2018,8,4024119,2052741,1971378,1475449,1410387,309237,301326,33029,31962,110277,106458,6165,6026,118584,115219,1584526,1516224,372891,363899,57008,55327,153999,148335,14571,14230,1523033,1460453,1022789,974219,280176,273005,17426,16943,104257,100621,4152,4017,94233,91648,1109925,1058790,331610,323510,32948,32163,140504,135461,10325,10030,529708,510925,452660,436168,29061,28321,15603,15019,6020,5837,2013,2009,24351,23571,474601,457434,41281,40389,24060,23164,13495,12874,4246,4200
