UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2011,999,310552701,152695340,157857361,120165965,122677059,19379244,21211833,1908097,1869265,7379002,8118774,348523,337141,3514509,3643289,123264795,125869373,20855011,22792970,3088150,3118593,8662819,9418809,679543,675980,126666333,132546693,97134523,100348488,18219177,19996157,1123640,1156013,7126087,7865125,254855,250563,2808051,2930347,99606840,102911220,19389618,21258945,1985956,2089142,8213863,8966853,516908,520348,26029007,25310668,23031442,22328571,1160067,1215676,784457,713252,252915,253649,93668,86578,706458,712942,23657955,22958153,1465393,1534025,1102194,1029451,448956,451956,162635,155632
R,1,2011,0,3998014,2044200,1953814,1488875,1419851,307334,297829,32006,31108,90953,85701,5848,5440,119184,113885,1598684,1524689,371133,359277,56893,55131,134303,126628,14473,13549,1512031,1441508,1030765,978955,280247,271190,17525,17183,85111,80310,3880,3615,94503,90255,1118269,1062424,331748,320740,33705,32852,120887,114136,10126,9497,532169,512306,458110,440896,27087,26639,14481,13925,5842,5391,1968,1825,24681,23630,480415,462265,39385,38537,23188,22279,13416,12492,4347,4052
R,1,2011,1,3937118,2009706,1927412,1455313,1389948,302766,294491,32774,31730,95470,91325,5949,5766,117434,114152,1563445,1494901,366031,356698,56645,55013,138413,132476,14247,13865,1496832,1433091,1017864,968680,274540,267090,17427,16964,89482,85558,3950,3786,93569,91013,1104515,1052776,325959,317577,32992,32230,124969,119685,10014,9693,512874,494321,437449,421268,28226,27401,15347,14766,5988,5767,1999,1980,23865,23139,458930,442125,40072,39121,23653,22783,13444,12791,4233,4172
R,1,2011,2,4049454,2067706,1981748,1499784,1430467,314182,305532,33309,32012,97776,94566,6074,5945,116581,113226,1606892,1534535,377059,367395,57142,54979,139913,134984,14494,13939,1542845,1478125,1050603,999664,285324,277998,17715,17226,91790,88841,4032,3938,93381,90458,1136726,1083269,336787,328593,33363,32090,126898,122418,10203,9742,524861,503623,449181,430803,28858,27534,15594,14786,5986,5725,2042,2007,23200,22768,470166,451266,40272,38802,23779,22889,13015,12566,4291,4197
R,1,2011,3,4101939,2094724,2007215,1524507,1454071,314843,306396,34063,33209,100896,97141,6134,5932,114281,110466,1629377,1555367,376169,366460,57854,56127,142350,136709,14449,13822,1562950,1496679,1068269,1016213,286416,279076,17876,17769,94947,91599,4080,3909,91362,88113,1152543,1097331,336514,328045,33447,32688,129375,124427,10220,9679,531774,510536,456238,437858,28427,27320,16187,15440,5949,5542,2054,2023,22919,22353,476834,458036,39655,38415,24407,23439,12975,12282,4229,4143
R,1,2011,4,4100974,2095736,2005238,1531797,1460401,313648,303485,34402,32682,99072,95888,5972,5803,110845,106979,1633493,1558501,372472,361001,57721,55178,139654,134241,14112,13535,1568919,1499200,1078682,1025281,286139,276696,18107,17470,93175,90362,4012,3825,88804,85566,1160541,1104075,334335,323969,33407,32176,126960,122242,9969,9478,526817,506038,453115,435120,27509,26789,16295,15212,5897,5526,1960,1978,22041,21413,472952,454426,38137,37032,24314,23002,12694,11999,4143,4057
R,1,2011,5,4068503,2079982,1988521,1531290,1453671,304859,296866,33670,32777,98747,97587,5974,5845,105442,101775,1627897,1546828,360125,350738,56414,54547,137546,134816,13637,13143,1565066,1496301,1086820,1028990,278561,271422,17997,17690,93206,92407,3953,3944,84529,81848,1164604,1104171,323955,315766,32930,31975,125671,123617,9586,9366,514916,492220,444470,424681,26298,25444,15673,15087,5541,5180,2021,1901,20913,19927,463293,442657,36170,34972,23484,22572,11875,11199,4051,3777
R,1,2011,6,4071163,2078494,1992669,1534442,1461632,303100,293780,33149,32016,100368,100505,5940,5587,101495,99149,1627321,1552243,355666,345575,55432,53790,138027,136740,13380,12818,1575856,1509940,1099030,1044252,277803,269256,18089,17186,94858,95331,4109,3864,81967,80051,1174411,1117673,321120,312079,33023,31761,126488,125846,9631,9244,502638,482729,435412,417380,25297,24524,15060,14830,5510,5174,1831,1723,19528,19098,452910,434570,34546,33496,22409,22029,11539,10894,3749,3574
R,1,2011,7,4060642,2072302,1988340,1537848,1464935,300015,291332,32059,31621,98991,99892,5709,5362,97680,95198,1627159,1552010,349995,340435,54125,53095,135173,134910,12993,12382,1582061,1515517,1112427,1055284,275623,267698,17590,17130,93740,94838,3935,3703,78746,76864,1184717,1125906,316889,308311,32365,31653,124136,124155,9373,8937,490241,472823,425421,409651,24392,23634,14469,14491,5251,5054,1774,1659,18934,18334,442442,426104,33106,32124,21760,21442,11037,10755,3620,3445
R,1,2011,8,4046694,2064500,1982194,1532287,1461018,302848,295037,32504,31434,97785,98168,5688,5425,93388,91112,1617432,1544060,350425,341857,54205,52698,132137,131344,12829,12197,1579540,1514379,1110816,1054491,278819,271965,17822,17259,92594,93365,3967,3733,75522,73566,1179929,1121877,318264,310696,32455,31613,121449,121200,9336,8809,484960,467815,421471,406527,24029,23072,14682,14175,5191,4803,1721,1692,17866,17546,437503,422183,32161,31161,21750,21085,10688,10144,3493,3388
R,1,2011,9,4070901,2078368,1992533,1544451,1472121,309759,300240,32353,30933,94694,94251,5540,5369,91571,89619,1627884,1553783,356521,346348,54228,52536,127884,126328,12453,12104,1598028,1530040,1126459,1069701,286018,277443,17994,17298,89844,89460,3847,3677,73866,72461,1193990,1136025,324717,315740,32827,31995,117681,116399,9061,8747,480340,462493,417992,402420,23741,22797,14359,13635,4850,4791,1693,1692,17705,17158,433894,417758,31804,30608,21401,20541,10203,9929,3392,3357
R,1,2011,10,4197538,2145859,2051679,1589480,1510500,325548,314897,33213,32064,100026,99513,5758,5575,91834,89130,1673095,1591448,371988,360679,55696,53852,133415,131389,12711,12349,1658142,1583810,1164337,1103540,301690,291612,18760,17916,95009,94729,4077,3868,74269,72145,1232138,1169330,340174,329558,34112,32970,123136,121469,9343,8949,487717,467869,425143,406960,23858,23285,14453,14148,5017,4784,1681,1707,17565,16985,440957,422118,31814,31121,21584,20882,10279,9920,3368,3400
R,1,2011,11,4131737,2113734,2018003,1574119,1495231,320178,308622,32618,31473,93018,91809,5666,5272,88135,85596,1654274,1572806,364991,352682,54867,53028,124100,121784,12509,11906,1641215,1563984,1162028,1099725,296897,286044,18640,17998,88206,87198,3971,3712,71473,69307,1227292,1162717,334205,322790,34045,32945,114361,112272,9130,8730,472519,454019,412091,395506,23281,22578,13978,13475,4812,4611,1695,1560,16662,16289,426982,410089,30786,29892,20822,20083,9739,9512,3379,3176
R,1,2011,12,4135523,2113501,2022022,1576445,1499308,320996,310894,32315,31429,91697,91090,5551,5227,86497,84074,1654911,1575629,364293,353722,54431,53327,122326,120256,12467,11632,1647731,1573439,1170137,1108449,297995,288657,18496,17900,86873,86437,3943,3684,70287,68312,1234157,1170688,334140,324410,33932,33311,112617,110848,9223,8585,465770,448583,406308,390859,23001,22237,13819,13529,4824,4653,1608,1543,16210,15762,420754,404941,30153,29312,20499,20016,9709,9408,3244,3047
R,1,2011,13,4098504,2095883,2002621,1562812,1485475,318426,308083,31972,30984,94702,92227,5522,5125,82449,80727,1637546,1558569,359307,348601,53779,52461,123897,120455,11941,11294,1639578,1564622,1164241,1103263,296288,286505,18263,17894,89963,87644,3916,3639,66907,65677,1225110,1162886,330354,320409,33629,33130,114428,111349,8805,8336,456305,437999,398571,382212,22138,21578,13709,13090,4739,4583,1606,1486,15542,15050,412436,395683,28953,28192,20150,19331,9469,9106,3136,2958
R,1,2011,14,4141820,2117936,2023884,1585928,1504497,318518,310062,32154,30960,95122,93852,5585,5181,80629,79332,1658997,1576116,357741,349328,54027,52575,123801,121691,11985,11578,1661079,1587844,1186203,1123841,296494,288957,18494,17778,90536,89284,3948,3664,65404,64320,1245715,1182082,329118,321667,33770,33020,114751,112662,8846,8585,456857,436040,399725,380656,22024,21105,13660,13182,4586,4568,1637,1517,15225,15012,413282,394034,28623,27661,20257,19555,9050,9029,3139,2993
R,1,2011,15,4191767,2149387,2042380,1606459,1518626,329372,316771,32463,30863,96705,93889,5629,5439,78759,76792,1677472,1587690,367144,354556,54720,52543,124743,120718,12034,11814,1689996,1604366,1204457,1135817,307017,295452,18732,17682,92058,89299,4005,3818,63727,62298,1262056,1192072,338428,326791,34483,33100,115614,111826,8948,8773,459391,438014,402002,382809,22355,21319,13731,13181,4647,4590,1624,1621,15032,14494,415416,395618,28716,27765,20237,19443,9129,8892,3086,3041
R,1,2011,16,4269503,2190334,2079169,1630995,1539383,346276,333900,33268,31877,97489,92684,5729,5624,76577,75701,1699733,1607082,382369,370614,55690,54005,124669,119187,12318,11907,1728255,1641447,1226339,1157053,323602,312242,19444,18446,92799,88252,4111,4015,61960,61439,1282071,1212083,353502,342742,35448,34367,115719,110563,9193,8885,462079,437722,404656,382330,22674,21658,13824,13431,4690,4432,1618,1609,14617,14262,417662,394999,28867,27872,20242,19638,8950,8624,3125,3022
R,1,2011,17,4340316,2231410,2108906,1656944,1556200,360668,346147,34245,32772,100074,94603,5879,5676,73600,73508,1722558,1621669,394752,381124,56306,55006,126614,120319,12334,12042,1764100,1671119,1247130,1173394,337656,324572,20121,19431,95440,90063,4148,4078,59605,59581,1300386,1226592,365883,353498,35956,35540,117776,111707,9147,9027,467310,437787,409814,382806,23012,21575,14124,13341,4634,4540,1731,1598,13995,13927,422172,395077,28869,27626,20350,19466,8838,8612,3187,3015
