UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2019,999,328231337,161659886,166571451,124230854,126359958,21088441,22920886,2100744,2070285,9338948,10241690,408848,398041,4492051,4580591,128231576,130417574,23099836,25017975,3442104,3474884,11005954,11905848,807198,800704,131136437,136645177,97403546,100105635,19644447,21427317,1193362,1231923,9035593,9936542,297541,294014,3561948,3649746,100574301,103335249,21225172,23084517,2143854,2248240,10446556,11344227,608987,610466,30523449,29926274,26827308,26254323,1443994,1493569,907382,838362,303355,305148,111307,104027,930103,930845,27657275,27082325,1874664,1933458,1298250,1226644,559398,561621,198211,190238
R,1,2019,0,3848486,1968648,1879838,1407351,1343453,299048,285647,31569,30188,100459,96192,6190,5954,124031,118404,1521809,1452712,367283,350802,55627,53170,145432,139110,14791,14160,1450314,1385009,967554,923628,269662,257590,16080,15390,93987,90024,4008,3867,99023,94510,1059430,1011309,325115,310531,31633,30239,131255,125583,10279,9850,518334,494829,439797,419825,29386,28057,15489,14798,6472,6168,2182,2087,25008,23894,462379,441403,42168,40271,23994,22931,14177,13527,4512,4310
R,1,2019,1,3866697,1977776,1888921,1418450,1349720,298414,289890,31438,30302,103966,98364,6246,6013,119262,114632,1528266,1455258,362782,352354,55220,53084,147914,140156,14671,14039,1462332,1393780,980366,929368,269244,261691,16106,15412,97497,92183,4067,3904,95052,91222,1068344,1013778,321359,312235,31537,30131,133972,126817,10245,9780,515444,495141,438084,420352,29170,28199,15332,14890,6469,6181,2179,2109,24210,23410,459922,441480,41423,40119,23683,22953,13942,13339,4426,4259
R,1,2019,2,3974187,2032794,1941393,1455417,1384764,306626,297852,32239,31050,109745,104032,6410,6191,122357,117504,1568047,1492933,372574,361845,56601,54381,154961,146929,15065,14424,1502379,1431855,1004475,952048,276627,268871,16475,15775,103100,97687,4184,4022,97518,93452,1094695,1038502,329994,320593,32265,30829,140667,133255,10540,10054,530415,509538,450942,432716,29999,28981,15764,15275,6645,6345,2226,2169,24839,24052,473352,454431,42580,41252,24336,23552,14294,13674,4525,4370
R,1,2019,3,4022753,2057494,1965259,1471160,1399827,310199,301558,32572,31368,113446,107580,6476,6263,123641,118663,1584947,1509041,376769,366157,57158,54907,159231,150956,15230,14583,1519569,1448498,1013669,960818,279822,272192,16597,15900,106729,101174,4229,4074,98523,94340,1104785,1048069,333657,324350,32522,31074,144797,137160,10669,10176,537925,516761,457491,439009,30377,29366,15975,15468,6717,6406,2247,2189,25118,24323,480162,460972,43112,41807,24636,23833,14434,13796,4561,4407
R,1,2019,4,4046138,2068946,1977192,1478539,1406783,311554,303807,32747,31947,116501,110473,6392,6234,123213,117948,1591896,1515296,377594,367718,57356,55532,162335,153711,15199,14539,1534883,1463225,1024371,970146,280947,274347,16850,16361,110094,104285,4265,4141,98356,93945,1115296,1056989,334330,325992,32865,31648,148358,140254,10783,10284,534063,513967,454168,436637,30607,29460,15897,15586,6407,6188,2127,2093,24857,24003,476600,458307,43264,41726,24491,23884,13977,13457,4416,4255
R,1,2019,5,4002753,2047462,1955291,1464855,1394213,310427,301791,33295,31806,111612,105722,6170,5927,121103,115832,1576228,1500686,375136,364649,57766,55128,156594,148063,15005,14184,1518543,1447941,1014786,962700,280420,272835,17281,16510,105490,99811,4137,3930,96429,92155,1103910,1047821,332646,323630,33203,31662,142903,134931,10594,9927,528919,507350,450069,431513,30007,28956,16014,15296,6122,5911,2033,1997,24674,23677,472318,452865,42490,41019,24563,23466,13691,13132,4411,4257
R,1,2019,6,4033118,2060667,1972451,1473998,1406946,311024,302513,32933,31648,115814,109847,6287,6076,120611,115421,1584805,1512974,375050,364450,57391,55132,160998,152492,15148,14480,1528750,1459307,1020122,969126,281308,273768,17369,16745,109787,103878,4240,4049,95924,91741,1108659,1053800,332839,323689,33250,32000,147443,139305,10737,10181,531917,513144,453876,437820,29716,28745,15564,14903,6027,5969,2047,2027,24687,23680,476146,459174,42211,40761,24141,23132,13555,13187,4411,4299
R,1,2019,7,4041680,2066747,1974933,1487764,1417418,311201,302502,32961,31841,109415,103977,6068,5798,119338,113397,1597464,1521581,374901,363248,57544,55235,153476,145712,14780,14058,1527589,1456425,1026038,973533,281960,274233,17511,16713,103484,98268,4023,3823,94573,89855,1113392,1056469,333134,323062,33445,31862,140018,132859,10369,9814,539158,518508,461726,443885,29241,28269,15450,15128,5931,5709,2045,1975,24765,23542,484072,465112,41767,40186,24099,23373,13458,12853,4411,4244
R,1,2019,8,4104152,2096510,2007642,1512955,1444595,314885,305926,32318,31426,109582,104728,6100,5752,120670,115215,1623999,1550521,379166,367812,57362,55548,153933,146599,14868,13996,1543933,1475203,1036485,985649,286830,278186,17485,17149,103706,99252,4089,3889,95338,91078,1124604,1069728,338331,327758,33607,32769,140450,134009,10479,9907,552577,532439,476470,458946,28055,27740,14833,14277,5876,5476,2011,1863,25332,24137,499395,480793,40835,40054,23755,22779,13483,12590,4389,4089
