UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2018,999,327167434,161128679,166038755,124001596,126137500,20986075,22818244,2089298,2058223,9219006,10111594,405161,394257,4427543,4518937,127942583,130137989,22961129,24880722,3420571,3453161,10861263,11752072,799270,792824,130894494,136401194,97418608,100127799,19560023,21342200,1189703,1227668,8918924,9809751,294994,291352,3512242,3602424,100543145,103313367,21112784,22972881,2134870,2238966,10309073,11197624,603339,604847,30234185,29637561,26582988,26009701,1426052,1476044,899595,830555,300082,301843,110167,102905,915301,916513,27399438,26824622,1848345,1907841,1285701,1214195,552190,554448,195931,187977
R,7,2018,0,3848208,1968505,1879703,1411708,1345441,298273,287359,31493,30226,99970,94923,6199,5930,120862,115824,1523107,1452180,364080,350718,55368,53068,144129,137024,14668,14012,1453828,1386803,974706,927156,269097,259333,16114,15411,93516,88759,4017,3839,96378,92305,1064013,1012667,322469,310710,31591,30188,130112,123635,10204,9742,514677,492900,437002,418285,29176,28026,15379,14815,6454,6164,2182,2091,24484,23519,459094,439513,41611,40008,23777,22880,14017,13389,4464,4270
R,7,2018,1,3912900,2001387,1911513,1435463,1365947,301957,293348,31815,30659,105141,99462,6322,6085,120689,116012,1546596,1472754,367099,356572,55875,53716,149612,141753,14842,14205,1479813,1410462,992170,940571,272439,264815,16300,15595,98596,93210,4116,3949,96192,92322,1081202,1025998,325185,315974,31917,30497,135504,128260,10365,9892,521574,501051,443293,425376,29518,28533,15515,15064,6545,6252,2206,2136,24497,23690,465394,446756,41914,40598,23958,23219,14108,13493,4477,4313
R,7,2018,2,3991437,2040071,1951366,1460898,1391116,308077,300326,32403,31386,109533,104291,6430,6238,122730,118009,1573846,1499724,374286,364672,56864,54877,154845,147266,15108,14511,1504093,1435921,1004912,953082,278064,271313,16439,15863,102802,97885,4178,4049,97698,93729,1095277,1039767,331622,323271,32250,30992,140389,133466,10541,10102,535978,515445,455986,438034,30013,29013,15964,15523,6731,6406,2252,2189,25032,24280,478569,459957,42664,41401,24614,23885,14456,13800,4567,4409
R,7,2018,3,4036562,2064235,1972327,1474119,1404189,311958,303068,32608,31596,115344,108733,6463,6242,123743,118499,1587981,1513242,378623,367428,57256,55172,161107,152150,15233,14515,1528919,1456961,1018984,966417,281310,273542,16782,16126,108820,102445,4275,4089,98748,94342,1110280,1053655,335243,325552,32813,31376,146962,138530,10750,10185,535316,515366,455135,437772,30648,29526,15826,15470,6524,6288,2188,2153,24995,24157,477701,459587,43380,41876,24443,23796,14145,13620,4483,4330
R,7,2018,4,4021168,2058004,1963164,1473066,1399142,311333,302705,32984,31732,112152,106443,6220,6015,122249,117127,1585559,1506909,376737,366411,57539,55172,157582,149140,15037,14318,1527147,1454355,1021691,966839,280768,273326,17149,16462,105890,100456,4160,4002,97489,93270,1111855,1053081,333615,324856,33143,31675,143726,135894,10633,10092,530857,508809,451375,432303,30565,29379,15835,15270,6262,5987,2060,2013,24760,23857,473704,453828,43122,41555,24396,23497,13856,13246,4404,4226
R,7,2018,5,4010118,2049511,1960607,1465320,1398079,309676,301321,32751,31430,114602,108249,6274,6035,120888,115493,1576442,1504172,373915,363521,57137,54825,159893,150838,15177,14357,1522105,1452287,1015668,964962,280042,272567,17337,16596,108506,102255,4235,4014,96317,91893,1104634,1049776,331869,322779,33216,31813,146243,137640,10754,10063,527406,508320,449652,433117,29634,28754,15414,14834,6096,5994,2039,2021,24571,23600,471808,454396,42046,40742,23921,23012,13650,13198,4423,4294
R,7,2018,6,4015259,2052229,1963030,1473483,1405693,310183,301069,33322,31994,109983,104707,6077,5841,119181,113726,1583010,1510189,373735,362146,57751,55305,154165,146512,14768,14116,1520778,1451342,1019827,968537,280867,272854,17354,16753,104021,98967,4046,3884,94663,90347,1107236,1051955,332004,322084,33213,31895,140768,133667,10398,9906,531451,511688,453656,437156,29316,28215,15968,15241,5962,5740,2031,1957,24518,23379,475774,458234,41731,40062,24538,23410,13397,12845,4370,4210
R,7,2018,7,4059363,2076156,1983207,1499110,1427535,311636,302860,32210,31185,107761,102521,6052,5730,119387,113376,1608898,1531697,375151,363565,56950,54812,151821,144038,14824,13980,1530736,1458013,1029037,975624,283646,275245,17631,16812,101951,96938,4044,3801,94427,89593,1116278,1058315,334627,323930,33625,32101,138421,131283,10420,9770,545420,525194,470073,451911,27990,27615,14579,14373,5810,5583,2008,1929,24960,23783,492620,473382,40524,39635,23325,22711,13400,12755,4404,4210
R,7,2018,8,4055624,2069621,1986003,1488665,1422800,310606,302122,32845,31999,111333,106886,6103,5938,120069,116258,1599229,1529637,374880,364964,57404,56039,155454,149113,14699,14180,1529757,1465611,1026330,977149,281597,274054,17222,17052,105355,101201,4098,3961,95155,92194,1114353,1062249,333304,324499,33052,32719,141930,136283,10397,9948,539864,520392,462335,445651,29009,28068,15623,14947,5978,5685,2005,1977,24914,24064,484876,467388,41576,40465,24352,23320,13524,12830,4302,4232
