UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2016,999,323071342,159088102,163983240,123136592,125302775,20591123,22412143,2044692,2010323,8740855,9593923,390778,379284,4184062,4284792,126852541,129086804,22430861,24344087,3337004,3367494,10288533,11144199,768505,762202,129998813,135499755,97521804,100272139,19236512,21006706,1175665,1210927,8453612,9305038,285101,280886,3326119,3424059,100473643,103292125,20686756,22538660,2100367,2202571,9764130,10617202,581396,582922,29089289,28483485,25614788,25030636,1354611,1405437,869027,799396,287243,288885,105677,98398,857943,860733,26378898,25794679,1744105,1805427,1236637,1164923,524403,526997,187109,179280
R,7,2016,0,3955192,2021693,1933499,1453169,1383975,305779,298049,32326,31307,101919,96462,6377,6093,122123,117613,1565627,1492253,371871,362281,56733,54757,146737,139157,14983,14328,1491979,1424099,1002843,951362,276069,269318,16477,15871,95249,90089,4120,3933,97221,93526,1092842,1037903,329601,321313,32288,31023,132342,125397,10409,9944,529714,509400,450326,432613,29710,28731,15849,15436,6670,6373,2257,2160,24902,24087,472785,454350,42270,40968,24445,23734,14395,13760,4574,4384
R,7,2016,1,4003594,2047521,1956073,1466616,1397055,309617,300659,32486,31524,109178,102544,6433,6171,123191,118120,1580030,1505796,376150,364878,57086,55080,154518,145698,15138,14406,1518208,1446584,1016864,964579,279255,271418,16806,16131,102694,96284,4245,4031,98344,94141,1107858,1051674,333156,323435,32843,31405,140416,132119,10657,10091,529313,509489,449752,432476,30362,29241,15680,15393,6484,6260,2188,2140,24847,23979,472172,454122,42994,41443,24243,23675,14102,13579,4481,4315
R,7,2016,2,3991543,2043165,1948378,1466011,1392087,309169,300289,32850,31641,107185,101635,6185,5943,121765,116783,1578107,1499577,374410,363884,57349,55052,152295,144080,14954,14212,1518173,1445367,1019884,965005,278841,271233,17160,16471,100950,95670,4133,3936,97205,93052,1109841,1051090,331669,322755,33168,31690,138473,130861,10558,9993,524992,503011,446127,427082,30328,29056,15690,15170,6235,5965,2052,2007,24560,23731,468266,448487,42741,41129,24181,23362,13822,13219,4396,4219
R,7,2016,3,3982719,2035766,1946953,1458631,1391363,307482,298970,32612,31335,110361,104188,6218,5950,120462,115147,1569389,1497172,371553,361045,56938,54702,155405,146544,15092,14235,1514073,1444192,1014063,963202,278082,270531,17331,16610,104287,98226,4188,3941,96122,91682,1102884,1047862,329907,320727,33226,31842,141795,133380,10681,9952,521693,502761,444568,428161,29400,28439,15281,14725,6074,5962,2030,2009,24340,23465,466505,449310,41646,40318,23712,22860,13610,13164,4411,4283
R,7,2016,4,3989317,2039084,1950233,1466827,1399276,308038,298813,33219,31901,106264,101043,5999,5788,118737,113412,1575980,1503515,371388,359761,57577,55184,150221,142644,14646,14035,1513426,1443895,1018307,966900,279025,270884,17349,16763,100305,95340,3979,3840,94461,90168,1105569,1050190,330138,320097,33220,31911,136845,129841,10290,9834,525658,506338,448520,432376,29013,27929,15870,15138,5959,5703,2020,1948,24276,23244,470411,453325,41250,39664,24357,23273,13376,12803,4356,4201
R,7,2016,5,4034325,2063414,1970911,1492373,1421053,309630,300697,32165,31089,104319,99281,5985,5688,118942,113103,1601780,1524990,372935,361294,56842,54697,148151,140629,14722,13903,1523993,1451133,1027669,974042,281967,273362,17641,16801,98509,93723,3985,3765,94222,89440,1114757,1056624,332930,322036,33643,32102,134766,127897,10325,9700,539421,519778,464704,447011,27663,27335,14524,14288,5810,5558,2000,1923,24720,23663,487023,468366,40005,39258,23199,22595,13385,12732,4397,4203
R,7,2016,6,4030894,2057031,1973863,1481843,1416112,308605,300031,32785,31917,107996,104004,6054,5882,119748,115917,1592135,1522655,372721,362706,57298,55899,151954,146067,14627,14103,1523329,1459216,1025073,975586,279924,272300,17230,17041,102015,98324,4057,3910,95030,92055,1113010,1060579,331629,322733,33071,32719,138440,133252,10333,9878,533702,514647,456770,440526,28681,27731,15555,14876,5981,5680,1997,1972,24718,23862,479125,462076,41092,39973,24227,23180,13514,12815,4294,4225
R,7,2016,7,4030394,2055836,1974558,1482037,1416592,310919,303298,32853,31860,107019,103859,6127,6056,116881,112893,1589340,1520379,373712,364632,56793,54577,149735,144663,14432,14102,1529129,1467141,1031470,982758,282132,275273,17373,16938,100955,98114,4102,4071,93097,89987,1117345,1065893,333050,325094,32923,31624,136476,132137,10211,9989,526707,507417,450567,433834,28787,28025,15480,14922,6064,5745,2025,1985,23784,22906,471995,454486,40662,39538,23870,22953,13259,12526,4221,4113
R,7,2016,8,4158761,2122190,2036571,1532882,1463517,320768,313130,34175,32971,111011,107419,6352,6089,117002,113445,1640199,1567576,383556,375081,58067,56142,153736,148116,14920,14052,1577453,1513923,1065119,1015573,291437,284700,18005,17587,105099,101657,4286,4040,93507,90366,1151251,1098797,342634,335068,33596,32538,140738,135496,10572,9903,544737,522648,467763,447944,29331,28430,16170,15384,5912,5762,2066,2049,23495,23079,488948,468779,40922,40013,24471,23604,12998,12620,4348,4149
