UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2017,999,325147121,160125630,165021491,123580457,125724375,20791507,22618860,2067255,2034520,8982801,9855213,398048,386823,4305562,4401700,127408591,129616393,22698234,24615691,3379255,3410722,10577945,11450668,784040,777605,130471549,135968115,97488232,100210561,19401697,21178571,1183000,1219531,8689096,9559824,290138,286169,3419386,3513459,100526492,103313468,20902971,22759863,2118228,2221203,10039635,10909932,592547,593984,29654081,29053376,26092225,25513814,1389810,1440289,884255,814989,293705,295389,107910,100654,886176,888241,26882099,26302925,1795263,1855828,1261027,1189519,538310,540736,191493,183621
R,7,2017,0,3893945,1991849,1902096,1431488,1362287,300877,292255,31804,30624,101002,95145,6283,5980,120395,115805,1542382,1468924,365971,355431,55845,53658,145225,137282,14772,14079,1473589,1404199,991218,939744,271516,263878,16331,15603,94490,88906,4077,3861,95957,92207,1080072,1025089,324259,315057,31947,30510,131146,123804,10290,9783,518260,497897,440270,422543,29361,28377,15473,15021,6512,6239,2206,2119,24438,23598,462310,443835,41712,40374,23898,23148,14079,13478,4482,4296
R,7,2017,1,3973803,2031036,1942767,1456964,1387510,306825,299113,32338,31347,106074,100789,6414,6196,122421,117812,1569661,1495954,372964,363385,56770,54819,151144,143637,15055,14451,1498179,1430323,1003777,952164,276969,270236,16449,15862,99367,94399,4159,4021,97458,93641,1093958,1038787,330503,322209,32259,31006,136713,129857,10484,10056,532857,512444,453187,435346,29856,28877,15889,15485,6707,6390,2255,2175,24963,24171,475703,457167,42461,41176,24511,23813,14431,13780,4571,4395
R,7,2017,2,4020825,2056328,1964497,1470347,1400513,310855,301866,32541,31556,112647,106054,6451,6211,123487,118297,1583999,1509398,377445,366146,57166,55117,158228,149335,15192,14468,1524117,1452192,1017990,965491,280350,272497,16794,16130,106138,99781,4264,4060,98581,94233,1109164,1052653,334270,324503,32834,31387,144101,135739,10714,10139,532211,512305,452357,435022,30505,29369,15747,15426,6509,6273,2187,2151,24906,24064,474835,456745,43175,41643,24332,23730,14127,13596,4478,4329
R,7,2017,3,4006802,2050824,1955978,1469571,1395559,310246,301476,32905,31679,109901,104331,6197,5970,122004,116963,1581861,1503192,375553,365131,57421,55105,155188,146907,14994,14256,1522988,1450151,1020881,965933,279793,272275,17148,16468,103651,98353,4142,3963,97373,93159,1110963,1052092,332636,323800,33147,31681,141352,133669,10596,10037,527836,505827,448690,429626,30453,29201,15757,15211,6250,5978,2055,2007,24631,23804,470898,451100,42917,41331,24274,23424,13836,13238,4398,4219
R,7,2017,4,3996592,2042707,1953885,1461914,1394696,308559,300174,32673,31381,112629,106327,6239,5999,120693,115308,1572867,1500636,372712,362298,57033,54759,157813,148805,15132,14301,1518257,1448395,1014883,964090,279052,271577,17331,16603,106542,100354,4205,3983,96244,91788,1103792,1048829,330882,321780,33223,31825,144186,135630,10720,10010,524450,505490,447031,430606,29507,28597,15342,14778,6087,5973,2034,2016,24449,23520,469075,451807,41830,40518,23810,22934,13627,13175,4412,4291
R,7,2017,5,4002285,2045608,1956677,1469957,1402404,309137,299951,33288,31944,108258,102983,6038,5821,118930,113574,1579271,1506774,372567,360957,57676,55237,152319,144698,14704,14085,1517321,1447787,1019099,967761,280009,271877,17357,16753,102293,97263,4010,3868,94553,90265,1106424,1051120,331131,321094,33224,31896,138934,131872,10342,9878,528287,508890,450858,434643,29128,28074,15931,15191,5965,5720,2028,1953,24377,23309,472847,455654,41436,39863,24452,23341,13385,12826,4362,4207
R,7,2017,6,4046625,2069663,1976962,1495575,1424051,310645,301802,32194,31138,106070,101024,6022,5707,119157,113240,1605168,1528097,374042,362448,56902,54756,150020,142462,14776,13942,1527472,1454717,1028395,974811,282825,274347,17638,16805,100261,95451,4019,3782,94334,89521,1115572,1057446,333800,323025,33635,32102,136629,129716,10376,9737,542191,522245,467180,449240,27820,27455,14556,14333,5809,5573,2003,1925,24823,23719,489596,470651,40242,39423,23267,22654,13391,12746,4400,4205
R,7,2017,7,4042957,2063187,1979770,1485068,1419280,309571,301064,32798,31966,109706,105513,6083,5906,119961,116041,1595537,1525929,373785,363785,57342,55960,153777,147654,14675,14139,1526638,1462517,1025727,976394,280743,273191,17224,17048,103728,99829,4083,3930,95133,92125,1113736,1061441,332460,323626,33068,32719,140260,134836,10380,9910,536549,517253,459341,442886,28828,27873,15574,14918,5978,5684,2000,1976,24828,23916,481801,464488,41325,40159,24274,23241,13517,12818,4295,4229
R,7,2017,8,4042250,2061858,1980392,1485246,1419761,311923,304321,32894,31885,108667,105262,6144,6090,116984,113073,1592638,1523707,374766,365747,56843,54630,151443,146149,14454,14146,1532265,1470246,1032064,983505,282982,276129,17368,16940,102600,99515,4117,4103,93134,90054,1117962,1066691,333899,325955,32909,31621,138178,133614,10233,10029,529593,510146,453182,436256,28941,28192,15526,14945,6067,5747,2027,1987,23850,23019,474676,457016,40867,39792,23934,23009,13265,12535,4221,4117
R,7,2017,9,4170820,2128306,2042514,1536165,1466595,321759,314252,34241,32993,112650,108912,6360,6134,117131,113628,1643592,1570815,384614,376304,58159,56198,155429,149679,14937,14111,1580488,1516988,1065678,1016113,292235,285640,18002,17585,106734,103145,4293,4084,93546,90421,1151836,1099376,343432,336006,33588,32531,142420,137049,10587,9959,547818,525526,470487,450482,29524,28612,16239,15408,5916,5767,2067,2050,23585,23207,491756,471439,41182,40298,24571,23667,13009,12630,4350,4152
R,7,2017,10,4190254,2140293,2049961,1551586,1480576,322627,312676,34800,33210,111413,106920,6288,6222,113579,110357,1655785,1581602,383330,372264,58399,56229,152898,146627,14600,14242,1592324,1523290,1080553,1027531,293481,284748,18041,17715,105394,101279,4268,4173,90587,87844,1164051,1108258,342798,333229,33453,32605,139887,134355,10397,10059,547969,526671,471033,453045,29146,27928,16759,15495,6019,5641,2020,2049,22992,22513,491734,473344,40532,39035,24946,23624,13011,12272,4203,4183
R,7,2017,11,4155802,2123122,2032680,1549855,1475207,313696,306713,34078,32801,110265,107076,6183,5980,109045,104903,1649821,1571356,371107,362542,57203,54923,150491,145279,14131,13564,1586129,1516835,1086229,1030050,285917,279705,18036,17560,104479,101733,4174,4049,87294,83738,1166556,1107094,332816,325278,33162,31949,138183,133603,10065,9611,536993,515845,463626,445157,27779,27008,16042,15241,5786,5343,2009,1931,21751,21165,483265,464262,38291,37264,24041,22974,12308,11676,4066,3953
R,7,2017,12,4143257,2115126,2028131,1549586,1476353,310171,301239,33687,32869,111145,110155,6168,6011,104369,101504,1645044,1569012,364427,354562,56444,54778,149890,147356,13776,13354,1588838,1523140,1094234,1039733,283263,275247,17974,17566,105578,104921,4203,4195,83586,81478,1171002,1114357,327554,318933,32881,31906,138125,136250,9837,9688,526288,504991,455352,436620,26908,25992,15713,15303,5567,5234,1965,1816,20783,20026,474042,454655,36873,35629,23563,22872,11765,11106,3939,3666
R,7,2017,13,4152283,2118067,2034216,1559358,1487457,307911,299646,32882,32138,111151,111059,5968,5758,100797,98158,1651556,1577220,359611,350613,55179,53872,148766,147193,13411,12962,1604538,1537724,1113728,1056922,282087,274648,17895,17285,105712,105942,4147,3991,80969,78936,1188103,1129341,324413,316478,32716,31863,137353,136338,9709,9320,513529,496492,445630,430535,25824,24998,14987,14853,5439,5117,1821,1767,19828,19222,463453,447879,35198,34135,22463,22009,11413,10855,3702,3642
R,7,2017,14,4124198,2102906,2021292,1551152,1480854,306208,298478,32598,31487,110893,110959,5944,5757,96111,93757,1638785,1566513,355304,346425,54528,53011,146495,145568,13244,12605,1598494,1532541,1112905,1056051,280875,274267,17621,16990,105602,105855,4124,4028,77367,75350,1183709,1125175,321156,313572,32289,31420,135622,134941,9586,9210,504412,488751,438247,424803,25333,24211,14977,14497,5291,5104,1820,1729,18744,18407,455076,441338,34148,32853,22239,21591,10873,10627,3658,3395
R,7,2017,15,4111285,2096690,2014595,1546889,1476382,311928,303641,32487,31220,107224,106869,5787,5606,92375,90877,1631114,1559020,358951,350570,54170,52866,141102,139582,12756,12392,1597491,1532238,1112397,1056775,286928,279416,17797,17119,102140,102006,4063,3895,74166,73027,1180262,1123486,325547,317931,32236,31669,130569,129447,9338,9019,499199,482357,434492,419607,25000,24225,14690,14101,5084,4863,1724,1711,18209,17850,450852,435534,33404,32639,21934,21197,10533,10135,3418,3373
R,7,2017,16,4218086,2152936,2065150,1585605,1512172,323704,314490,32701,31752,112171,111058,5793,5722,92962,89956,1670102,1594048,370893,360547,55022,53289,146202,143547,12862,12600,1648732,1579182,1146194,1088659,298512,290358,18208,17588,107098,106288,4124,3949,74596,72340,1214154,1154732,337131,328233,33303,32176,135756,133644,9437,9141,504204,485968,439411,423513,25192,24132,14493,14164,5073,4770,1669,1773,18366,17616,455948,439316,33762,32314,21719,21113,10446,9903,3425,3459
