UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2014,9,4102075,2093045,2009030,1541126,1469526,305368,296601,33231,32113,105482,105458,5998,5737,101840,99595,1634286,1560516,358058,348585,55543,53938,143377,141957,13470,13003,1584257,1519215,1100226,1045780,279671,271720,18073,17194,99957,100253,4160,4000,82170,80268,1175754,1119365,322993,314551,32992,31752,131823,131015,9714,9415,508788,489815,440900,423746,25697,24881,15158,14919,5525,5205,1838,1737,19670,19327,458532,441151,35065,34034,22551,22186,11554,10942,3756,3588
R,1,2014,10,4091540,2086846,2004694,1544309,1472877,302327,294187,32169,31702,104285,104807,5764,5501,97992,95620,1633883,1560310,352442,343476,54260,53228,140656,140067,13074,12549,1590392,1524347,1113488,1056428,277457,270188,17576,17129,99008,99709,3977,3833,78886,77060,1185880,1127196,318715,310815,32326,31633,129585,129253,9442,9095,496454,480347,430821,416449,24870,23999,14593,14573,5277,5098,1787,1668,19106,18560,448003,433114,33727,32661,21934,21595,11071,10814,3632,3454
R,1,2014,11,4077583,2079170,1998413,1538504,1468959,305368,297915,32565,31523,103231,102970,5768,5550,93734,91496,1623945,1552328,353098,344911,54300,52839,137788,136353,12931,12347,1588149,1522689,1111851,1055305,280797,274418,17801,17258,98000,98116,4027,3854,75673,73738,1181078,1122819,320232,313159,32412,31602,127051,126146,9419,8955,491021,475724,426653,413654,24571,23497,14764,14265,5231,4854,1741,1696,18061,17758,442867,429509,32866,31752,21888,21237,10737,10207,3512,3392
R,1,2014,12,4102418,2093303,2009115,1550656,1480262,312437,303307,32378,31048,100260,99058,5624,5496,91948,89944,1634402,1562202,359370,349556,54291,52698,133674,131311,12564,12252,1606974,1538514,1127491,1070576,288162,280003,17980,17304,95373,94228,3915,3798,74053,72605,1195160,1137007,326869,318304,32800,31993,123426,121334,9156,8889,486329,470601,423165,409686,24275,23304,14398,13744,4887,4830,1709,1698,17895,17339,439242,425195,32501,31252,21491,20705,10248,9977,3408,3363
R,1,2014,13,4229763,2161106,2068657,1595736,1518585,328405,318144,33264,32179,105673,104539,5842,5702,92186,89508,1679651,1599862,375029,364095,55796,54019,139234,136609,12814,12504,1667262,1592695,1165338,1104459,303992,294292,18753,17911,100621,99733,4154,3986,74404,72314,1233233,1170376,342478,332249,34092,32953,128915,126659,9440,9095,493844,475962,430398,414126,24413,23852,14511,14268,5052,4806,1688,1716,17782,17194,446418,429486,32551,31846,21704,21066,10319,9950,3374,3409
R,1,2014,14,4165214,2129949,2035265,1580958,1503343,323247,311830,32686,31584,98820,97094,5766,5424,88472,85990,1661410,1581256,368251,356091,54988,53214,130038,127244,12628,12081,1650660,1573144,1163049,1100659,299381,288745,18627,17988,93984,92455,4063,3857,71556,69440,1228369,1163743,336674,325493,34008,32920,120265,117690,9240,8899,479289,462121,417909,402684,23866,23085,14059,13596,4836,4639,1703,1567,16916,16550,433041,417513,31577,30598,20980,20294,9773,9554,3388,3182
R,1,2014,15,4171580,2131313,2040267,1584187,1507678,324415,314217,32386,31536,97782,96962,5647,5379,86896,84495,1662991,1584361,367897,357246,54560,53510,128617,126330,12592,11810,1657670,1583543,1171115,1109545,300690,291536,18473,17900,92921,92271,4033,3828,70438,68463,1235241,1171891,336825,327286,33890,33308,118858,116857,9342,8755,473643,456724,413072,398133,23725,22681,13913,13636,4861,4691,1614,1551,16458,16032,427750,412470,31072,29960,20670,20202,9759,9473,3250,3055
R,1,2014,16,4139638,2116545,2023093,1572098,1494764,322146,311746,32084,31097,101572,98949,5628,5231,83017,81306,1647322,1568368,363265,352533,53971,52677,131070,127446,12094,11434,1650708,1576469,1165313,1104905,299191,289679,18238,17903,96779,94326,4016,3739,67171,65917,1226384,1164715,333274,323602,33591,33134,121526,118276,8948,8470,465837,446624,406785,389859,22955,22067,13846,13194,4793,4623,1612,1492,15846,15389,420938,403653,29991,28931,20380,19543,9544,9170,3146,2964
R,1,2014,17,4191936,2143698,2048238,1597648,1515291,322413,314098,32334,31087,104067,102459,5709,5269,81527,80034,1671493,1587514,362000,353653,54358,52819,133225,130676,12176,11721,1675264,1602798,1187868,1126220,299586,292519,18467,17783,99409,97854,4069,3739,65865,64683,1247740,1184744,332261,325270,33752,33025,124073,121590,9029,8714,468434,445440,409780,389071,22827,21579,13867,13304,4658,4605,1640,1530,15662,15351,423753,402770,29739,28383,20606,19794,9152,9086,3147,3007
R,1,2014,18,4254639,2182442,2072197,1621310,1530979,333530,321301,32712,31018,108980,105756,5816,5580,80094,77563,1693473,1600699,371828,359372,55203,52813,137734,133039,12320,12022,1709057,1623604,1207105,1138675,310371,299466,18718,17677,104237,101092,4177,3946,64449,62748,1265274,1195282,341886,330859,34492,33102,128466,124051,9212,8966,473385,448593,414205,392304,23159,21835,13994,13341,4743,4664,1639,1634,15645,14815,428199,405417,29942,28513,20711,19711,9268,8988,3108,3056
