UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2011,999,311580009,153211825,158368184,120401838,122895821,19478505,21311488,1919832,1881658,7488576,8240525,352278,340818,3570796,3697874,123552666,126138551,20984961,22921982,3109152,3140445,8794699,9562035,687199,683487,126925749,132773185,97153104,100323218,18302159,20079686,1128252,1160925,7232834,7983922,257590,253231,2851810,2972203,99665999,102924806,19496382,21364970,1995774,2099168,8339428,9103619,522492,525772,26286076,25594999,23248734,22572603,1176346,1231802,791580,720733,255742,256603,94688,87587,718986,725671,23886667,23213745,1488579,1557012,1113378,1041277,455271,458416,164707,157715
R,7,2011,0,3963092,2028430,1934662,1477627,1405629,304831,295508,31960,30898,90270,84967,5831,5478,117911,112182,1586188,1508829,367881,355858,56549,54445,133321,125593,14462,13595,1500921,1427196,1023644,969660,277680,268845,17674,16844,84503,79476,3862,3577,93558,88794,1110239,1051766,328640,317503,33718,32166,119999,112930,10095,9410,527509,507466,453983,435969,27151,26663,14286,14054,5767,5491,1969,1901,24353,23388,475949,457063,39241,38355,22831,22279,13322,12663,4367,4185
R,7,2011,1,3966225,2025272,1940953,1467809,1401586,303892,294955,32570,31751,96230,91800,5899,5678,118872,115183,1577383,1507534,367752,357427,57008,55722,139556,133270,14382,13820,1502888,1437801,1021219,971398,275749,267860,17224,17074,90281,86183,3917,3736,94498,91550,1108767,1056013,327446,318280,33104,32800,126094,120528,10106,9625,522384,503152,446590,430188,28143,27095,15346,14677,5949,5617,1982,1942,24374,23633,468616,451521,40306,39147,23904,22922,13462,12742,4276,4195
R,7,2011,2,3970654,2026391,1944263,1468415,1402426,306496,298484,32700,31709,96776,93549,5945,5886,116059,112209,1575033,1505653,369015,359602,56566,54371,138931,133870,14176,13865,1510882,1448183,1028008,978794,278226,271087,17372,16949,90735,87865,3924,3915,92617,89573,1113521,1061625,329131,320904,32957,31664,125709,121412,9960,9763,515509,496080,440407,423632,28270,27397,15328,14760,6041,5684,2021,1971,23442,22636,461512,444028,39884,38698,23609,22707,13222,12458,4216,4102
R,7,2011,3,4101644,2093789,2007855,1519317,1449283,316411,308471,34030,32835,101550,98568,6178,5916,116303,112782,1626058,1552787,378953,370154,57872,55942,143787,138857,14678,13819,1560412,1496711,1061896,1011687,287619,280682,18013,17578,95655,92839,4122,3885,93107,90040,1147738,1094675,338813,331049,33642,32569,130814,126283,10338,9688,533377,511144,457421,437596,28792,27789,16017,15257,5895,5729,2056,2031,23196,22742,478320,458112,40140,39105,24230,23373,12973,12574,4340,4131
R,7,2011,4,4121488,2105836,2015652,1534496,1463272,317271,306796,34600,33058,100636,97079,6129,6003,112704,109444,1637971,1563521,377622,365957,58111,55951,141578,136309,14357,13952,1572880,1503910,1077034,1023590,288941,279710,18056,17716,94634,91471,4113,3976,90102,87447,1160180,1104032,338226,328166,33495,32631,128595,124102,10156,9791,532956,511742,457462,439682,28330,27086,16544,15342,6002,5608,2016,2027,22602,21997,477791,459489,39396,37791,24616,23320,12983,12207,4201,4161
R,7,2011,5,4087054,2089022,1998032,1532950,1457700,308341,300764,33855,32619,99722,97224,6014,5750,108140,103975,1632156,1553058,365381,356178,56864,54622,139409,134914,13893,13267,1567546,1497829,1083180,1026609,281504,274608,18054,17552,93963,91927,4023,3838,86822,83295,1163156,1103325,328367,320149,33191,31968,127159,123310,9845,9335,521476,500203,449770,431091,26837,26156,15801,15067,5759,5297,1991,1912,21318,20680,469000,449733,37014,36029,23673,22654,12250,11604,4048,3932
R,7,2011,6,4074533,2081475,1993058,1533005,1458561,304757,295264,33456,32684,100729,100209,6000,5756,103528,100584,1627745,1550440,358634,348165,56102,54493,139023,136896,13542,13027,1570940,1504369,1091651,1036688,278822,270083,18005,17563,95198,95030,4064,3969,83200,81036,1168134,1110985,323095,313728,32938,31933,127313,125878,9631,9391,510535,488689,441354,421873,25935,25181,15451,15121,5531,5179,1936,1787,20328,19548,459611,439455,35539,34437,23164,22560,11710,11018,3911,3636
R,7,2011,7,4082824,2084121,1998703,1542769,1469493,302352,293449,32614,31963,100648,101002,5783,5488,99955,97308,1634245,1558530,353657,344015,54781,53572,137832,136695,13171,12642,1586706,1519186,1111395,1054271,277534,269312,17893,17301,95277,95956,3999,3764,80608,78582,1185502,1126428,319839,311120,32729,31910,126515,125946,9506,9043,497415,479517,431374,415222,24818,24137,14721,14662,5371,5046,1784,1724,19347,18726,448743,432102,33818,32895,22052,21662,11317,10749,3665,3599
R,7,2011,8,4052777,2067752,1985025,1534113,1462755,300352,292047,32361,31302,99951,100540,5741,5482,95234,92899,1620996,1547673,349020,339584,54161,52691,135115,134726,12980,12273,1580074,1513851,1110637,1053727,276086,268815,17630,17000,94759,95511,3959,3794,77003,75004,1181177,1122598,316341,308104,32322,31453,124372,124204,9359,8919,487678,471174,423476,409028,24266,23232,14731,14302,5192,5029,1782,1688,18231,17895,439819,425075,32679,31480,21839,21238,10743,10522,3621,3354
R,7,2011,9,4035330,2058993,1976337,1528699,1457623,305570,296836,32268,30999,95457,95517,5564,5347,91435,90015,1612105,1539523,352163,343336,53785,52498,128881,127825,12470,12084,1577784,1512329,1110091,1054335,281746,273731,17809,17137,90474,90735,3876,3678,73788,72713,1177671,1120822,320354,312229,32266,31711,118479,117813,9091,8752,481209,464008,418608,403288,23824,23105,14459,13862,4983,4782,1688,1669,17647,17302,434434,418701,31809,31107,21519,20787,10402,10012,3379,3332
R,7,2011,10,4135289,2111581,2023708,1565541,1492290,316819,307152,32424,31481,99242,98290,5582,5499,91973,88996,1649182,1573345,363526,352762,54569,52857,132815,130307,12591,12306,1627147,1556917,1143573,1085788,292888,284222,18228,17607,94289,93596,3935,3764,74234,71940,1211267,1151566,331501,322074,33350,32206,122523,120522,9190,8886,484434,466791,421968,406502,23931,22930,14196,13874,4953,4694,1647,1735,17739,17056,437915,421779,32025,30688,21219,20651,10292,9785,3401,3420
R,7,2011,11,4197147,2146791,2050356,1593202,1512844,326820,315679,33384,32021,97232,96265,5800,5413,90353,88134,1675488,1592713,372563,361140,55984,53948,129470,127411,12660,12137,1661637,1584937,1170220,1107666,302933,292521,18966,18058,92284,91563,4082,3806,73152,71323,1237060,1172529,340878,330234,34462,33201,119491,117684,9288,8874,485154,465419,422982,405178,23887,23158,14418,13963,4948,4702,1718,1607,17201,16811,438428,420184,31685,30906,21522,20747,9979,9727,3372,3263
R,7,2011,12,4125764,2109471,2016293,1572116,1495001,318783,308296,32279,31344,93048,91564,5663,5215,87582,84873,1651694,1571943,362828,351642,54472,53148,124234,121277,12656,11754,1641717,1565288,1164236,1102227,295663,285856,18504,17844,88188,86872,3963,3683,71163,68806,1229139,1164802,332385,322062,34027,33099,114410,111663,9280,8651,467754,451005,407880,392774,23120,22440,13775,13500,4860,4692,1700,1532,16419,16067,422555,407141,30443,29580,20445,20049,9824,9614,3376,3103
