UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2016,999,321982863,158529750,163453113,122895586,125092531,20484590,22306832,2032418,1998027,8610003,9454178,386582,375282,4120571,4226263,126553280,128822680,22290509,24206541,3312804,3345388,10133144,10981726,759692,754235,129733185,135261319,97528131,100309916,19148064,20918930,1171460,1206600,8326167,9168605,282101,278022,3277262,3379246,100434965,103288538,20572523,22426422,2089230,2192964,9616047,10461614,575011,577120,28796565,28191794,25367455,24782615,1336526,1387902,860958,791427,283836,285573,104481,97260,843309,847017,26118315,25534142,1717986,1780119,1223574,1152424,517097,520112,184681,177115
R,1,2016,0,3970670,2031163,1939507,1459704,1389031,306778,298045,32441,31238,103043,97010,6403,6096,122794,118087,1572805,1497773,373161,362460,56958,54732,148151,139974,15068,14355,1502512,1431775,1010598,958137,276836,269114,16655,15910,96396,90649,4156,3935,97871,94030,1101220,1045172,330624,321304,32578,31118,133786,126234,10499,9975,528651,507732,449106,430894,29942,28931,15786,15328,6647,6361,2247,2161,24923,24057,471585,452601,42537,41156,24380,23614,14365,13740,4569,4380
R,1,2016,1,3998816,2045044,1953772,1467616,1396183,308123,300161,32554,31816,107970,102085,6340,6117,122441,117410,1580343,1504258,373946,363900,57091,55367,153243,144929,15068,14362,1519846,1448520,1021402,967387,277903,271157,16874,16369,101615,95938,4217,4040,97835,93629,1111940,1054004,331249,322813,32905,31680,139325,131525,10655,10122,525198,505252,446214,428796,30220,29004,15680,15447,6355,6147,2123,2077,24606,23781,468403,450254,42697,41087,24186,23687,13918,13404,4413,4240
R,1,2016,2,3959578,2025761,1933817,1454486,1383904,307120,298221,33087,31673,104553,98903,6095,5812,120420,115304,1565287,1489949,371587,360899,57468,54959,149110,140867,14869,14014,1505492,1434938,1012148,959988,277469,269727,17284,16532,98460,93032,4078,3831,96053,91828,1100994,1044866,329672,320507,33225,31705,135458,127787,10474,9774,520269,498879,442338,423916,29651,28494,15803,15141,6093,5871,2017,1981,24367,23476,464293,445083,41915,40392,24243,23254,13652,13080,4395,4240
R,1,2016,3,3992875,2040364,1952511,1463945,1397105,307791,299039,32764,31508,109723,103957,6186,5972,119955,114930,1574200,1502732,371550,360799,57133,54951,154535,146269,14990,14330,1517080,1447494,1017756,966556,278475,270736,17362,16764,103716,98035,4155,3955,95616,91448,1106070,1051015,329988,320639,33266,32037,141025,133133,10595,10042,523284,505017,446189,430549,29316,28303,15402,14744,6007,5922,2031,2017,24339,23482,468130,451717,41562,40160,23867,22914,13510,13136,4395,4288
R,1,2016,4,4003163,2047223,1955940,1477775,1407677,308070,299193,32846,31696,103884,98705,5958,5715,118690,112954,1586924,1511484,371472,359770,57330,55043,147606,140156,14620,13930,1516802,1445494,1023847,971050,279285,271348,17512,16709,97959,93038,3927,3751,94272,89598,1110984,1053807,330427,320158,33456,31869,134170,127345,10219,9695,530421,510446,453928,436627,28785,27845,15334,14987,5925,5667,2031,1964,24418,23356,475940,457677,41045,39612,23874,23174,13436,12811,4401,4235
R,1,2016,5,4066716,2077483,1989233,1502831,1434810,311860,302706,32237,31292,104413,100021,6017,5675,120125,114729,1613414,1540329,375890,364372,57204,55351,148474,141624,14744,13875,1533884,1465056,1034457,983278,284279,275419,17499,17134,98535,94565,4015,3818,95099,90842,1122406,1067186,335765,324973,33637,32768,135010,129064,10362,9793,543599,524177,468374,451532,27581,27287,14738,14158,5878,5456,2002,1857,25026,23887,491008,473143,40125,39399,23567,22583,13464,12560,4382,4082
R,1,2016,6,3999312,2040109,1959203,1468696,1403765,307218,299235,32968,31882,106855,103481,6117,5959,118255,114881,1577501,1509316,370724,361651,56901,55197,150401,145187,14495,14133,1516421,1453909,1021485,972635,278475,271231,17433,16934,100831,97647,4110,3958,94087,91504,1108522,1057098,329901,321727,32966,32166,136910,132333,10255,9945,523688,505294,447211,431130,28743,28004,15535,14948,6024,5834,2007,2001,24168,23377,468979,452218,40823,39924,23935,23031,13491,12854,4240,4188
R,1,2016,7,4106865,2095918,2010947,1512699,1444156,318391,310091,33433,32152,107803,104568,6279,6120,117313,113860,1620409,1548746,381518,372162,57313,55168,150464,145431,14771,14179,1560425,1496408,1053854,1003517,289029,281958,17707,17217,101790,98796,4229,4099,93816,90821,1140298,1087387,340496,332543,33317,32046,137415,132816,10473,9969,535493,514539,458845,440639,29362,28133,15726,14935,6013,5772,2050,2021,23497,23039,480111,461359,41022,39619,23996,23122,13049,12615,4298,4210
R,1,2016,8,4157130,2122195,2034935,1537518,1467805,319003,310833,34185,33320,110221,105758,6307,6108,114961,111111,1642943,1569637,380562,371169,58025,56317,152158,145704,14691,14055,1579563,1513230,1071366,1019878,290051,282909,17872,17778,104257,100190,4247,4066,91770,88409,1155938,1101202,340153,331880,33411,32665,139164,133380,10456,9892,542632,521705,466152,447927,28952,27924,16313,15542,5964,5568,2060,2042,23191,22702,487005,468435,40409,39289,24614,23652,12994,12324,4235,4163
R,1,2016,9,4155867,2123156,2032711,1545081,1473980,317872,308228,34553,32821,107994,104020,6113,5979,111543,107683,1647344,1572680,376931,366058,57930,55405,149075,142761,14318,13766,1584876,1515089,1081543,1028521,289753,280743,18093,17490,102083,98472,4153,3986,89251,85877,1163727,1107543,337979,328020,33379,32166,136357,130719,10178,9693,538280,517622,463538,445459,28119,27485,16460,15331,5911,5548,1960,1993,22292,21806,483617,465137,38952,38038,24551,23239,12718,12042,4140,4073
R,1,2016,10,4124133,2107104,2017029,1544523,1467859,309011,301732,33822,32938,107491,105894,6101,6051,106156,102555,1641736,1561681,364560,355935,56638,54791,146726,143579,13827,13409,1580233,1512229,1089321,1031868,282020,275594,17969,17703,101935,100683,4075,4136,84913,82245,1167394,1107353,327432,319965,32881,31961,134820,132326,9770,9618,526871,504800,455202,435991,26991,26138,15853,15235,5556,5211,2026,1915,21243,20310,474342,454328,37128,35970,23757,22830,11906,11253,4057,3791
R,1,2016,11,4126651,2105232,2021419,1547314,1476017,307251,298633,33323,32176,109152,108869,6062,5802,102130,99922,1640734,1567294,360091,350773,55687,54046,147169,145535,13546,13085,1590485,1525579,1101173,1046782,281171,273496,18066,17185,103610,103643,4206,4058,82259,80415,1176771,1120482,324495,316345,32974,31737,135583,134560,9772,9489,514747,495840,446141,429235,26080,25137,15257,14991,5542,5226,1856,1744,19871,19507,463963,446812,35596,34428,22713,22309,11586,10975,3774,3596
R,1,2016,12,4115799,2099031,2016768,1550388,1479183,304333,296182,32260,31772,107900,108163,5848,5574,98302,95894,1640223,1566846,354594,345591,54397,53336,144426,143569,13181,12645,1596666,1530420,1114305,1057278,279118,271893,17577,17123,102594,103041,4042,3894,79030,77191,1186802,1128140,320394,312530,32326,31624,133317,132725,9529,9178,502365,486348,436083,421905,25215,24289,14683,14649,5306,5122,1806,1680,19272,18703,453421,438706,34200,33061,22071,21712,11109,10844,3652,3467
R,1,2016,13,4102858,2091804,2011054,1544875,1475348,307519,300167,32674,31580,106831,106541,5843,5654,94062,91764,1630599,1558945,355404,347301,54470,52931,141539,140046,13030,12471,1594578,1529137,1112692,1056141,282617,276305,17807,17250,101562,101666,4092,3938,75808,73837,1182016,1123725,322064,315057,32419,31579,130754,129805,9505,9060,497226,481917,432183,419207,24902,23862,14867,14330,5269,4875,1751,1716,18254,17927,448583,435220,33340,32244,22051,21352,10785,10241,3525,3411
R,1,2016,14,4129311,2106863,2022448,1557508,1486875,314697,305678,32476,31105,104180,102968,5701,5579,92301,90243,1641563,1569068,361801,352085,54455,52816,137755,135343,12660,12352,1613740,1545444,1128296,1071506,290031,281977,17988,17291,99254,98119,3988,3864,74183,72687,1196060,1137991,328742,320274,32805,31972,127455,125329,9249,8972,493123,477004,429212,415369,24666,23701,14488,13814,4926,4849,1713,1715,18118,17556,445503,431077,33059,31811,21650,20844,10300,10014,3411,3380
R,1,2016,15,4260309,2176664,2083645,1603673,1525829,330882,320593,33367,32274,110249,109301,5936,5771,92557,89877,1687908,1607427,377676,366730,55975,54188,143979,141527,12933,12595,1674931,1600821,1166216,1105608,306044,296368,18742,17902,105156,104468,4234,4035,74539,72440,1234210,1171622,344533,334330,34076,32937,133601,131530,9543,9165,501733,482824,437457,420221,24838,24225,14625,14372,5093,4833,1702,1736,18018,17437,453698,435805,33143,32400,21899,21251,10378,9997,3390,3430
R,1,2016,16,4200671,2148199,2052472,1590376,1511462,326030,314615,32849,31715,104200,102771,5845,5489,88899,86420,1671204,1589747,371222,359059,55239,53420,135616,133142,12732,12176,1659748,1582877,1164294,1102137,301670,291120,18612,17981,99307,98092,4134,3904,71731,69643,1229749,1165377,338976,327889,33991,32918,125772,123528,9334,8975,488451,469595,426082,409325,24360,23495,14237,13734,4893,4679,1711,1585,17168,16777,441455,424370,32246,31170,21248,20502,9844,9614,3398,3201
R,1,2016,17,4214229,2153533,2060696,1595429,1517001,327495,317381,32619,31707,104787,104163,5707,5423,87496,85021,1674758,1594134,371200,360614,54897,53756,135944,133831,12699,11898,1669405,1595845,1173054,1111591,303208,294290,18461,17911,99853,99428,4088,3858,70741,68767,1237419,1174176,339367,330084,33878,33322,126095,124298,9436,8830,484128,464851,422375,405410,24287,23091,14158,13796,4934,4735,1619,1565,16755,16254,437339,419958,31833,30530,21019,20434,9849,9533,3263,3068
