UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2015,999,319691411,157371369,162320042,122372139,124617352,20268451,22087056,2008383,1972446,8346669,9169301,378978,367483,3996749,4106404,125915542,128236792,22006246,23920809,3269234,3300361,9820766,10650014,743767,738364,129170532,134726838,97510479,100344155,18968013,20734643,1163582,1197508,8069557,8890528,276767,272543,3182134,3287461,100329185,103237613,20340454,22191810,2071236,2173725,9317962,10144163,563546,565721,28200837,27593204,24861660,24273197,1300438,1352413,844801,774938,277112,278773,102211,94940,814615,818943,25586357,24999179,1665792,1728999,1197998,1126636,502804,505851,180221,172643
R,1,2015,0,3979862,2035500,1944362,1463648,1392553,307126,299085,32541,31765,103727,97716,6298,6023,122160,117220,1576150,1500469,372918,362794,57061,55295,148745,140408,14987,14250,1513559,1442254,1020440,966581,277039,270229,16904,16376,97409,91584,4176,3961,97591,93523,1110791,1053117,330380,321910,32934,31699,134858,127025,10570,10026,521941,502108,443208,425972,30087,28856,15637,15389,6318,6132,2122,2062,24569,23697,465359,447352,42538,40884,24127,23596,13887,13383,4417,4224
R,1,2015,1,3941751,2016619,1925132,1450566,1380340,305923,296998,33038,31626,100915,95273,6071,5779,120106,115116,1561116,1486229,370327,359628,57398,54893,145211,137102,14805,13958,1499352,1429142,1010943,959038,276415,268632,17297,16527,94849,89420,4051,3805,95797,91720,1099592,1043840,328599,319419,33237,31711,131587,124039,10404,9726,517267,495990,439623,421302,29508,28366,15741,15099,6066,5853,2020,1974,24309,23396,461524,442389,41728,40209,24161,23182,13624,13063,4401,4232
R,1,2015,2,3976888,2032317,1944571,1460229,1393500,306696,297834,32712,31463,106809,101101,6173,5935,119698,114738,1570274,1498968,370390,359540,57054,54892,151435,143275,14943,14268,1511991,1442484,1016714,965602,277511,269669,17375,16767,100814,95192,4143,3922,95434,91332,1104889,1049978,329004,319574,33287,32050,137940,130158,10552,9984,520326,502087,443515,427898,29185,28165,15337,14696,5995,5909,2030,2013,24264,23406,465385,448990,41386,39966,23767,22842,13495,13117,4391,4284
R,1,2015,3,3988512,2039929,1948583,1474364,1404177,307002,297978,32786,31644,101397,96353,5933,5659,118447,112772,1583314,1507832,370320,358509,57237,54982,144966,137664,14571,13851,1512328,1440974,1022966,970102,278322,270290,17512,16716,95486,90699,3903,3701,94139,89466,1110004,1052756,329455,319093,33470,31883,131555,124871,10176,9623,527601,507609,451398,434075,28680,27688,15274,14928,5911,5654,2030,1958,24308,23306,473310,455076,40865,39416,23767,23099,13411,12793,4395,4228
R,1,2015,4,4052938,2070605,1982333,1499555,1431474,310777,301551,32172,31243,102198,97862,5975,5633,119928,114570,1609974,1536858,374731,363159,57106,55299,146148,139355,14688,13819,1529737,1460813,1033623,982324,283314,274404,17490,17141,96326,92422,3979,3783,95005,90739,1121504,1066150,334795,323949,33637,32784,132693,126814,10315,9744,540868,521520,465932,449150,27463,27147,14682,14102,5872,5440,1996,1850,24923,23831,488470,470708,39936,39210,23469,22515,13455,12541,4373,4075
R,1,2015,5,3986241,2033507,1952734,1465338,1400598,306225,298108,32936,31829,104888,101527,6081,5938,118039,114734,1573964,1506025,369648,360472,56853,55132,148293,143134,14439,14100,1512652,1450029,1020677,971801,277640,270233,17434,16935,98867,95711,4079,3939,93955,91410,1107615,1056195,329052,320722,32968,32170,134811,130295,10205,9911,520855,502705,444661,428797,28585,27875,15502,14894,6021,5816,2002,1999,24084,23324,466349,449830,40596,39750,23885,22962,13482,12839,4234,4189
R,1,2015,6,4094093,2089460,2004633,1509363,1440826,317412,309040,33419,32088,105912,102867,6246,6094,117108,113718,1616897,1545300,380451,371061,57279,55090,148450,143635,14722,14137,1556815,1492833,1053101,1002664,288193,281051,17715,17207,99902,97099,4200,4077,93704,90735,1139460,1086471,339647,331632,33328,32038,135407,131023,10428,9934,532645,511800,456262,438162,29219,27989,15704,14881,6010,5768,2046,2017,23404,22983,477437,458829,40804,39429,23951,23052,13043,12612,4294,4203
R,1,2015,7,4144486,2115804,2028682,1534149,1464455,317971,309780,34144,33291,108410,104182,6285,6068,114845,110906,1639472,1566109,379486,370019,57974,56247,150274,144033,14658,14002,1576093,1509840,1070646,1019066,289173,282025,17879,17775,102448,98616,4229,4033,91718,88325,1155178,1100324,339283,330987,33427,32663,137282,131718,10426,9847,539711,518842,463503,445389,28798,27755,16265,15516,5962,5566,2056,2035,23127,22581,484294,465785,40203,39032,24547,23584,12992,12315,4232,4155
R,1,2015,8,4143083,2116717,2026366,1541649,1470713,316871,307091,34488,32787,106189,102354,6106,5933,111414,107488,1643794,1569241,375873,364827,57840,55334,147200,141007,14309,13710,1581560,1511715,1080895,1027884,288938,279780,18093,17491,100286,96810,4146,3942,89202,85808,1163041,1106852,337165,327057,33381,32169,134499,128980,10168,9639,535157,514651,460754,442829,27933,27311,16395,15296,5903,5544,1960,1991,22212,21680,480753,462389,38708,37770,24459,23165,12701,12027,4141,4071
