DATE,LNU02000089
1948-01-01,13420
1948-02-01,13436
1948-03-01,13473
1948-04-01,13671
1948-05-01,13757
1948-06-01,13975
1948-07-01,13957
1948-08-01,13832
1948-09-01,14032
1948-10-01,14080
1948-11-01,14023
1948-12-01,13964
1949-01-01,13504
1949-02-01,13584
1949-03-01,13652
1949-04-01,13558
1949-05-01,13754
1949-06-01,13738
1949-07-01,13541
1949-08-01,13646
1949-09-01,13749
1949-10-01,13570
1949-11-01,13758
1949-12-01,13608
1950-01-01,13339
1950-02-01,13360
1950-03-01,13511
1950-04-01,13751
1950-05-01,13970
1950-06-01,14226
1950-07-01,13963
1950-08-01,14173
1950-09-01,14209
1950-10-01,14280
1950-11-01,14180
1950-12-01,14045
1951-01-01,13992
1951-02-01,13924
1951-03-01,14073
1951-04-01,14103
1951-05-01,14274
1951-06-01,14174
1951-07-01,14218
1951-08-01,14260
1951-09-01,14364
1951-10-01,14544
1951-11-01,14420
1951-12-01,14448
1952-01-01,14220
1952-02-01,14302
1952-03-01,14332
1952-04-01,14344
1952-05-01,14614
1952-06-01,14638
1952-07-01,14443
1952-08-01,14526
1952-09-01,14652
1952-10-01,14754
1952-11-01,14694
1952-12-01,14663
1953-01-01,14361
1953-02-01,14348
1953-03-01,14457
1953-04-01,14456
1953-05-01,14427
1953-06-01,14639
1953-07-01,14613
1953-08-01,14464
1953-09-01,14585
1953-10-01,14754
1953-11-01,14707
1953-12-01,14417
1954-01-01,14183
1954-02-01,14257
1954-03-01,14193
1954-04-01,14298
1954-05-01,14302
1954-06-01,14218
1954-07-01,14099
1954-08-01,14054
1954-09-01,14174
1954-10-01,14125
1954-11-01,14251
1954-12-01,14134
1955-01-01,14118
1955-02-01,14137
1955-03-01,14203
1955-04-01,14279
1955-05-01,14613
1955-06-01,14641
1955-07-01,14629
1955-08-01,14614
1955-09-01,14621
1955-10-01,14758
1955-11-01,14604
1955-12-01,14550
1956-01-01,14369
1956-02-01,14283
1956-03-01,14264
1956-04-01,14383
1956-05-01,14467
1956-06-01,14394
1956-07-01,14345
1956-08-01,14417
1956-09-01,14496
1956-10-01,14678
1956-11-01,14524
1956-12-01,14271
1957-01-01,13980
1957-02-01,14115
1957-03-01,14197
1957-04-01,14237
1957-05-01,14346
1957-06-01,14347
1957-07-01,14330
1957-08-01,14248
1957-09-01,14362
1957-10-01,14519
1957-11-01,14304
1957-12-01,14051
1958-01-01,13641
1958-02-01,13524
1958-03-01,13511
1958-04-01,13629
1958-05-01,13705
1958-06-01,13589
1958-07-01,13549
1958-08-01,13641
1958-09-01,13774
1958-10-01,13960
1958-11-01,13885
1958-12-01,13696
1959-01-01,13439
1959-02-01,13425
1959-03-01,13618
1959-04-01,13797
1959-05-01,13940
1959-06-01,13854
1959-07-01,13775
1959-08-01,13730
1959-09-01,13792
1959-10-01,13912
1959-11-01,13644
1959-12-01,13582
1960-01-01,13387
1960-02-01,13477
1960-03-01,13402
1960-04-01,13646
1960-05-01,13852
1960-06-01,13782
1960-07-01,13672
1960-08-01,13602
1960-09-01,13822
1960-10-01,13815
1960-11-01,13639
1960-12-01,13464
1961-01-01,13174
1961-02-01,13111
1961-03-01,13334
1961-04-01,13449
1961-05-01,13536
1961-06-01,13621
1961-07-01,13364
1961-08-01,13343
1961-09-01,13549
1961-10-01,13723
1961-11-01,13581
1961-12-01,13365
1962-01-01,13126
1962-02-01,13309
1962-03-01,13308
1962-04-01,13205
1962-05-01,13346
1962-06-01,13312
1962-07-01,13207
1962-08-01,13318
1962-09-01,13492
1962-10-01,13486
1962-11-01,13431
1962-12-01,13194
1963-01-01,12922
1963-02-01,12985
1963-03-01,13130
1963-04-01,13380
1963-05-01,13513
1963-06-01,13435
1963-07-01,13345
1963-08-01,13237
1963-09-01,13435
1963-10-01,13565
1963-11-01,13518
1963-12-01,13349
1964-01-01,13068
1964-02-01,13242
1964-03-01,13303
1964-04-01,13538
1964-05-01,13592
1964-06-01,13472
1964-07-01,13369
1964-08-01,13465
1964-09-01,13519
1964-10-01,13625
1964-11-01,13663
1964-12-01,13522
1965-01-01,13371
1965-02-01,13431
1965-03-01,13597
1965-04-01,13636
1965-05-01,13785
1965-06-01,13779
1965-07-01,13596
1965-08-01,13625
1965-09-01,13775
1965-10-01,13957
1965-11-01,13976
1965-12-01,13911
1966-01-01,13679
1966-02-01,13711
1966-03-01,13768
1966-04-01,13970
1966-05-01,14074
1966-06-01,13960
1966-07-01,13787
1966-08-01,13869
1966-09-01,14193
1966-10-01,14394
1966-11-01,14402
1966-12-01,14387
1967-01-01,14152
1967-02-01,14188
1967-03-01,14337
1967-04-01,14426
1967-05-01,14448
1967-06-01,14389
1967-07-01,14377
1967-08-01,14550
1967-09-01,14857
1967-10-01,15039
1967-11-01,15048
1967-12-01,15086
1968-01-01,14789
1968-02-01,14956
1968-03-01,15097
1968-04-01,15222
1968-05-01,15383
1968-06-01,15312
1968-07-01,15125
1968-08-01,15119
1968-09-01,15352
1968-10-01,15497
1968-11-01,15683
1968-12-01,15646
1969-01-01,15556
1969-02-01,15697
1969-03-01,15729
1969-04-01,15878
1969-05-01,15909
1969-06-01,15833
1969-07-01,15724
1969-08-01,15781
1969-09-01,15968
1969-10-01,16136
1969-11-01,16102
1969-12-01,16280
1970-01-01,16077
1970-02-01,16186
1970-03-01,16302
1970-04-01,16401
1970-05-01,16326
1970-06-01,16211
1970-07-01,16160
1970-08-01,16160
1970-09-01,16328
1970-10-01,16534
1970-11-01,16619
1970-12-01,16514
1971-01-01,16326
1971-02-01,16436
1971-03-01,16484
1971-04-01,16561
1971-05-01,16704
1971-06-01,16608
1971-07-01,16489
1971-08-01,16596
1971-09-01,17032
1971-10-01,17289
1971-11-01,17382
1971-12-01,17466
1972-01-01,17265
1972-02-01,17534
1972-03-01,17768
1972-04-01,17845
1972-05-01,17964
1972-06-01,17910
1972-07-01,17945
1972-08-01,18018
1972-09-01,18401
1972-10-01,18694
1972-11-01,18778
1972-12-01,18855
1973-01-01,18652
1973-02-01,18939
1973-03-01,19073
1973-04-01,19226
1973-05-01,19321
1973-06-01,19251
1973-07-01,19328
1973-08-01,19394
1973-09-01,19807
1973-10-01,20262
1973-11-01,20410
1973-12-01,20459
1974-01-01,20105
1974-02-01,20204
1974-03-01,20333
1974-04-01,20320
1974-05-01,20629
1974-06-01,20411
1974-07-01,20414
1974-08-01,20573
1974-09-01,20964
1974-10-01,21185
1974-11-01,21221
1974-12-01,20966
1975-01-01,20536
1975-02-01,20440
1975-03-01,20582
1975-04-01,20751
1975-05-01,20863
1975-06-01,20736
1975-07-01,20835
1975-08-01,21087
1975-09-01,21538
1975-10-01,21900
1975-11-01,21932
1975-12-01,21857
1976-01-01,21735
1976-02-01,21759
1976-03-01,22103
1976-04-01,22376
1976-05-01,22481
1976-06-01,22316
1976-07-01,22311
1976-08-01,22484
1976-09-01,22880
1976-10-01,23084
1976-11-01,23179
1976-12-01,23210
1977-01-01,22886
1977-02-01,23101
1977-03-01,23384
1977-04-01,23576
1977-05-01,23829
1977-06-01,23732
1977-07-01,23704
1977-08-01,23887
1977-09-01,24396
1977-10-01,24469
1977-11-01,24595
1977-12-01,24648
1978-01-01,24339
1978-02-01,24651
1978-03-01,24850
1978-04-01,25123
1978-05-01,25202
1978-06-01,25122
1978-07-01,25013
1978-08-01,25067
1978-09-01,25742
1978-10-01,26047
1978-11-01,26088
1978-12-01,26124
1979-01-01,25686
1979-02-01,25875
1979-03-01,26006
1979-04-01,26184
1979-05-01,26443
1979-06-01,26288
1979-07-01,26320
1979-08-01,26419
1979-09-01,27033
1979-10-01,27184
1979-11-01,27172
1979-12-01,27293
1980-01-01,26976
1980-02-01,27087
1980-03-01,27097
1980-04-01,27121
1980-05-01,27066
1980-06-01,26755
1980-07-01,26749
1980-08-01,26939
1980-09-01,27412
1980-10-01,27644
1980-11-01,27830
1980-12-01,27762
1981-01-01,27419
1981-02-01,27632
1981-03-01,28040
1981-04-01,28232
1981-05-01,28300
1981-06-01,28122
1981-07-01,28109
1981-08-01,28205
1981-09-01,28520
1981-10-01,28667
1981-11-01,28631
1981-12-01,28285
1982-01-01,27991
1982-02-01,28089
1982-03-01,28143
1982-04-01,28122
1982-05-01,28249
1982-06-01,27922
1982-07-01,27867
1982-08-01,28140
1982-09-01,28284
1982-10-01,28387
1982-11-01,28353
1982-12-01,28238
1983-01-01,27791
1983-02-01,27823
1983-03-01,27996
1983-04-01,28383
1983-05-01,28678
1983-06-01,28597
1983-07-01,28711
1983-08-01,28903
1983-09-01,29333
1983-10-01,29508
1983-11-01,29712
1983-12-01,29637
1984-01-01,29326
1984-02-01,29491
1984-03-01,29755
1984-04-01,29978
1984-05-01,30382
1984-06-01,30421
1984-07-01,30370
1984-08-01,30648
1984-09-01,30884
1984-10-01,31119
1984-11-01,30938
1984-12-01,30870
1985-01-01,30457
1985-02-01,30546
1985-03-01,30855
1985-04-01,30917
1985-05-01,31131
1985-06-01,31112
1985-07-01,31168
1985-08-01,31222
1985-09-01,31783
1985-10-01,31856
1985-11-01,31718
1985-12-01,31734
1986-01-01,31681
1986-02-01,31457
1986-03-01,31794
1986-04-01,31934
1986-05-01,32113
1986-06-01,32259
1986-07-01,32152
1986-08-01,32329
1986-09-01,32605
1986-10-01,32696
1986-11-01,32751
1986-12-01,32640
1987-01-01,32161
1987-02-01,32425
1987-03-01,32677
1987-04-01,32926
1987-05-01,33160
1987-06-01,33166
1987-07-01,33224
1987-08-01,33281
1987-09-01,33454
1987-10-01,33692
1987-11-01,33641
1987-12-01,33450
1988-01-01,33082
1988-02-01,33211
1988-03-01,33283
1988-04-01,33509
1988-05-01,33646
1988-06-01,33499
1988-07-01,33590
1988-08-01,33536
1988-09-01,33730
1988-10-01,33960
1988-11-01,33911
1988-12-01,33938
1989-01-01,33665
1989-02-01,33663
1989-03-01,33748
1989-04-01,33839
1989-05-01,33940
1989-06-01,34012
1989-07-01,34071
1989-08-01,34061
1989-09-01,34399
1989-10-01,34417
1989-11-01,34540
1989-12-01,34233
1990-01-01,33989
1990-02-01,33898
1990-03-01,33973
1990-04-01,34049
1990-05-01,34220
1990-06-01,34142
1990-07-01,33830
1990-08-01,33870
