DATE,LNU02600000
1994-07-01,21977
1994-08-01,21429
1994-09-01,22936
1994-10-01,23673
1994-11-01,24309
1994-12-01,24148
1995-01-01,23541
1995-02-01,23980
1995-03-01,24024
1995-04-01,23805
1995-05-01,23303
1995-06-01,22173
1995-07-01,22043
1995-08-01,21615
1995-09-01,23280
1995-10-01,23595
1995-11-01,23713
1995-12-01,23571
1996-01-01,23322
1996-02-01,23589
1996-03-01,23934
1996-04-01,23723
1996-05-01,23101
1996-06-01,22381
1996-07-01,22095
1996-08-01,21747
1996-09-01,23039
1996-10-01,23404
1996-11-01,23803
1996-12-01,23904
1997-01-01,23692
1997-02-01,23830
1997-03-01,24145
1997-04-01,23934
1997-05-01,23463
1997-06-01,22073
1997-07-01,21799
1997-08-01,21462
1997-09-01,22751
1997-10-01,23525
1997-11-01,23845
1997-12-01,24167
1998-01-01,23606
1998-02-01,23804
1998-03-01,24172
1998-04-01,23836
1998-05-01,23360
1998-06-01,22556
1998-07-01,21966
1998-08-01,21306
1998-09-01,23074
1998-10-01,23655
1998-11-01,23846
1998-12-01,23952
1999-01-01,23440
1999-02-01,23707
1999-03-01,24003
1999-04-01,23993
1999-05-01,23393
1999-06-01,22081
1999-07-01,22260
1999-08-01,21712
1999-09-01,23035
1999-10-01,23463
1999-11-01,23499
1999-12-01,23642
2000-01-01,23645
2000-02-01,23814
2000-03-01,24030
2000-04-01,23516
2000-05-01,22785
2000-06-01,21902
2000-07-01,21497
2000-08-01,21186
2000-09-01,22604
2000-10-01,23405
2000-11-01,23864
2000-12-01,24284
2001-01-01,23811
2001-02-01,24173
2001-03-01,23966
2001-04-01,23674
2001-05-01,23063
2001-06-01,22093
2001-07-01,21811
2001-08-01,21643
2001-09-01,23413
2001-10-01,24033
2001-11-01,24098
2001-12-01,24553
2002-01-01,23472
2002-02-01,24280
2002-03-01,24283
2002-04-01,24405
2002-05-01,24020
2002-06-01,23173
2002-07-01,22946
2002-08-01,22409
2002-09-01,23644
2002-10-01,23981
2002-11-01,24319
2002-12-01,24491
2003-01-01,24830
2003-02-01,24577
2003-03-01,24847
2003-04-01,24955
2003-05-01,24584
2003-06-01,23941
2003-07-01,23215
2003-08-01,23243
2003-09-01,24163
2003-10-01,24791
2003-11-01,25178
2003-12-01,24614
2004-01-01,24753
2004-02-01,24692
2004-03-01,24935
2004-04-01,25037
2004-05-01,24921
2004-06-01,24135
2004-07-01,24351
2004-08-01,23570
2004-09-01,24396
2004-10-01,25281
2004-11-01,25581
2004-12-01,25161
2005-01-01,24501
2005-02-01,25078
2005-03-01,25328
2005-04-01,25050
2005-05-01,24761
2005-06-01,23695
2005-07-01,23874
2005-08-01,23527
2005-09-01,24798
2005-10-01,25315
2005-11-01,25509
2005-12-01,25127
2006-01-01,25086
2006-02-01,25171
2006-03-01,25079
2006-04-01,24846
2006-05-01,25115
2006-06-01,24146
2006-07-01,23655
2006-08-01,23400
2006-09-01,24230
2006-10-01,24926
2006-11-01,25507
2006-12-01,25710
2007-01-01,25181
2007-02-01,25439
2007-03-01,25684
2007-04-01,25688
2007-05-01,25018
2007-06-01,24808
2007-07-01,24096
2007-08-01,23535
2007-09-01,24720
2007-10-01,24736
2007-11-01,25272
2007-12-01,25291
2008-01-01,25275
2008-02-01,25098
2008-03-01,25233
2008-04-01,25894
2008-05-01,25117
2008-06-01,24804
2008-07-01,24489
2008-08-01,24353
2008-09-01,25097
2008-10-01,25523
2008-11-01,26176
2008-12-01,26927
2009-01-01,26621
2009-02-01,27158
2009-03-01,27617
2009-04-01,27840
2009-05-01,27280
2009-06-01,26811
2009-07-01,26871
2009-08-01,26211
2009-09-01,27088
2009-10-01,27489
2009-11-01,27858
2009-12-01,28078
2010-01-01,28033
2010-02-01,28103
2010-03-01,28106
2010-04-01,27912
2010-05-01,26688
2010-06-01,26026
2010-07-01,26160
2010-08-01,26411
2010-09-01,27330
2010-10-01,27407
2010-11-01,28068
2010-12-01,27953
2011-01-01,27226
2011-02-01,27361
2011-03-01,27776
2011-04-01,27817
2011-05-01,27410
2011-06-01,26875
2011-07-01,26624
2011-08-01,26050
2011-09-01,27522
2011-10-01,27530
2011-11-01,27932
2011-12-01,27630
2012-01-01,28065
2012-02-01,28096
2012-03-01,27497
2012-04-01,27996
2012-05-01,28092
2012-06-01,27178
2012-07-01,26995
2012-08-01,26344
2012-09-01,27655
2012-10-01,27993
2012-11-01,28034
2012-12-01,27980
2013-01-01,27746
2013-02-01,28037
2013-03-01,27902
2013-04-01,28050
2013-05-01,27789
2013-06-01,27442
2013-07-01,27425
2013-08-01,26641
2013-09-01,27343
2013-10-01,27346
2013-11-01,27900
2013-12-01,27762
2014-01-01,27752
2014-02-01,27810
2014-03-01,28106
2014-04-01,27693
2014-05-01,27219
2014-06-01,27631
2014-07-01,27365
2014-08-01,26537
2014-09-01,27150
2014-10-01,27760
2014-11-01,28225
2014-12-01,27796
2015-01-01,27712
2015-02-01,27805
2015-03-01,27655
2015-04-01,28185
2015-05-01,27486
2015-06-01,27378
2015-07-01,26580
2015-08-01,25808
2015-09-01,26677
2015-10-01,27250
2015-11-01,27870
2015-12-01,27689
2016-01-01,27627
2016-02-01,28303
2016-03-01,28216
2016-04-01,28333
2016-05-01,28046
2016-06-01,27087
2016-07-01,26930
2016-08-01,25912
2016-09-01,27250
2016-10-01,27747
2016-11-01,28425
2016-12-01,28228
2017-01-01,27512
2017-02-01,27985
2017-03-01,28062
2017-04-01,27731
2017-05-01,27496
2017-06-01,26749
2017-07-01,26929
2017-08-01,26223
2017-09-01,27259
2017-10-01,27168
2017-11-01,27713
2017-12-01,27616
2018-01-01,27413
2018-02-01,28003
2018-03-01,28453
2018-04-01,28008
2018-05-01,26996
2018-06-01,26528
2018-07-01,26359
2018-08-01,25564
2018-09-01,26726
2018-10-01,27325
2018-11-01,27551
2018-12-01,27338
2019-01-01,26799
2019-02-01,27331
2019-03-01,27622
2019-04-01,27498
2019-05-01,27093
2019-06-01,26287
2019-07-01,26232
