DATE,LREM55TTUSM156N
1960-01-01,56.8768376347599
1960-02-01,57.4076491319671
1960-03-01,56.6121358274132
1960-04-01,58.5373795259182
1960-05-01,58.8694464320562
1960-06-01,58.6045605145196
1960-07-01,57.988971780733
1960-08-01,58.121153223194
1960-09-01,59.384097819758
1960-10-01,59.259498578444
1960-11-01,59.3913211683539
1960-12-01,58.9481138148577
1961-01-01,57.8324869833515
1961-02-01,58.0957883923986
1961-03-01,58.3520359089452
1961-04-01,57.8499167627097
1961-05-01,58.6535387762931
1961-06-01,58.4216575150045
1961-07-01,57.6082106202588
1961-08-01,57.8394550894392
1961-09-01,58.089123386943
1961-10-01,58.5602742334793
1961-11-01,58.8007859542372
1961-12-01,58.0363360131671
1962-01-01,57.0678973321532
1962-02-01,58.3291235160394
1962-03-01,58.7905158279733
1962-04-01,59.5958956169242
1962-05-01,59.8279243373189
1962-06-01,59.2594932709926
1962-07-01,58.4735614798008
1962-08-01,58.6343612334802
1962-09-01,59.5727301288093
1962-10-01,59.2508940335027
1962-11-01,58.8021551184062
1962-12-01,58.8603240132608
1963-01-01,58.4030988379358
1963-02-01,58.5423686509422
1963-03-01,59.3520249221184
1963-04-01,60.0136918098083
1963-05-01,60.3853325046613
1963-06-01,59.3470705064548
1963-07-01,59.1179385530228
1963-08-01,58.7242722047098
1963-09-01,60.1838144584259
1963-10-01,60.2167754649587
1963-11-01,60.1279055466732
1963-12-01,59.0348130410757
1964-01-01,58.3174934085474
1964-02-01,58.5695915743065
1964-03-01,58.9433131535498
1964-04-01,60.5031753786028
1964-05-01,60.8997805413314
1964-06-01,60.1010408424128
1964-07-01,59.1309632330599
1964-08-01,58.9927184466019
1964-09-01,59.8182368979097
1964-10-01,60.6097265908541
1964-11-01,60.1038772798647
1964-12-01,59.4500060306356
1965-01-01,59.102679915688
1965-02-01,59.3781947200674
1965-03-01,59.8114567070974
1965-04-01,60.230271048213
1965-05-01,61.1017964071856
1965-06-01,60.6361353581251
1965-07-01,59.980869253303
1965-08-01,59.0830398185183
1965-09-01,59.8426604684427
1965-10-01,60.3510859863136
1965-11-01,59.9441440370788
1965-12-01,59.9145603417586
1966-01-01,59.3327802796871
1966-02-01,59.4981654633684
1966-03-01,59.9338139699799
1966-04-01,60.5878186968838
1966-05-01,61.2692239703023
1966-06-01,60.9957041134585
1966-07-01,60.618168997532
1966-08-01,60.4060318019128
1966-09-01,61.6452803656179
1966-10-01,61.2518280198888
1966-11-01,61.339875007301
1966-12-01,60.5191017789443
1967-01-01,59.8159687845786
1967-02-01,60.2605863192182
1967-03-01,59.8699111446658
1967-04-01,61.0067269774994
1967-05-01,60.9878973883838
1967-06-01,61.3992483376698
1967-07-01,60.7827291618564
1967-08-01,60.5994236311239
1967-09-01,61.7814603832211
1967-10-01,61.6476130292411
1967-11-01,61.2127818254833
1967-12-01,60.9211204674343
1968-01-01,59.6716059271125
1968-02-01,60.6045023425894
1968-03-01,60.9335768089477
1968-04-01,61.407808492448
1968-05-01,61.8370134304576
1968-06-01,61.8160122734246
1968-07-01,60.7521697203472
1968-08-01,60.5176710466697
1968-09-01,61.2012895198235
1968-10-01,61.0427022141889
1968-11-01,61.2486605380407
1968-12-01,60.9146204100022
1969-01-01,60.2171100736824
1969-02-01,60.9103680809216
1969-03-01,60.8607822232198
1969-04-01,61.4220877458396
1969-05-01,61.4696342690974
1969-06-01,61.1716088680404
1969-07-01,60.707126948775
1969-08-01,60.4614956908535
1969-09-01,61.0228787205686
1969-10-01,61.1708615145803
1969-11-01,60.740781751744
1969-12-01,60.5794216840825
1970-01-01,60.0320318109019
1970-02-01,60.3396933936252
1970-03-01,60.592543642271
1970-04-01,60.7447335130081
1970-05-01,60.3448275862069
1970-06-01,60.4454685099846
1970-07-01,59.9288061336254
1970-08-01,59.4433508311461
1970-09-01,59.8274732474339
1970-10-01,60.1962387571545
1970-11-01,60.0522477413737
1970-12-01,59.6044123240776
1971-01-01,59.4324778905106
1971-02-01,59.2576537523706
1971-03-01,59.7370983446933
1971-04-01,59.5031055900621
1971-05-01,59.367921475569
1971-06-01,59.0069470623082
1971-07-01,58.291214109044
1971-08-01,58.3709192439863
1971-09-01,59.2247064500563
1971-10-01,59.796573875803
1971-11-01,59.8150326098578
1971-12-01,59.0445689885242
1972-01-01,58.4608055893717
1972-02-01,58.0597409463389
1972-03-01,58.3311328228149
1972-04-01,58.3566415114254
1972-05-01,58.4154762532286
1972-06-01,58.1280269530428
1972-07-01,57.5574365175332
1972-08-01,57.6147463501733
1972-09-01,58.4902691076955
1972-10-01,58.2612796730074
1972-11-01,58.0109918869406
1972-12-01,57.5543705562526
1973-01-01,56.9519135383491
1973-02-01,57.2628175037814
1973-03-01,57.4121322572247
1973-04-01,56.9444444444444
