DATE,LNU02000012
1948-01-01,3518
1948-02-01,3575
1948-03-01,3653
1948-04-01,3770
1948-05-01,3757
1948-06-01,4592
1948-07-01,4926
1948-08-01,4839
1948-09-01,4074
1948-10-01,3961
1948-11-01,3810
1948-12-01,3843
1949-01-01,3364
1949-02-01,3432
1949-03-01,3472
1949-04-01,3454
1949-05-01,3588
1949-06-01,3986
1949-07-01,4386
1949-08-01,4412
1949-09-01,3764
1949-10-01,3629
1949-11-01,3639
1949-12-01,3421
1950-01-01,3092
1950-02-01,3148
1950-03-01,3153
1950-04-01,3350
1950-05-01,3406
1950-06-01,4037
1950-07-01,4514
1950-08-01,4666
1950-09-01,3862
1950-10-01,3911
1950-11-01,3742
1950-12-01,3551
1951-01-01,3245
1951-02-01,3252
1951-03-01,3443
1951-04-01,3381
1951-05-01,3625
1951-06-01,4080
1951-07-01,4628
1951-08-01,4698
1951-09-01,3854
1951-10-01,3796
1951-11-01,3574
1951-12-01,3634
1952-01-01,3232
1952-02-01,3274
1952-03-01,3302
1952-04-01,3408
1952-05-01,3544
1952-06-01,4234
1952-07-01,4548
1952-08-01,4488
1952-09-01,3724
1952-10-01,3640
1952-11-01,3666
1952-12-01,3553
1953-01-01,3345
1953-02-01,3459
1953-03-01,3484
1953-04-01,3540
1953-05-01,3485
1953-06-01,4200
1953-07-01,4541
1953-08-01,4578
1953-09-01,3707
1953-10-01,3486
1953-11-01,3497
1953-12-01,3318
1954-01-01,3169
1954-02-01,3135
1954-03-01,3235
1954-04-01,3274
1954-05-01,3257
1954-06-01,3828
1954-07-01,4250
1954-08-01,4214
1954-09-01,3496
1954-10-01,3424
1954-11-01,3306
1954-12-01,3110
1955-01-01,3014
1955-02-01,2947
1955-03-01,3036
1955-04-01,3246
1955-05-01,3338
1955-06-01,3924
1955-07-01,4549
1955-08-01,4550
1955-09-01,3757
1955-10-01,3777
1955-11-01,3777
1955-12-01,3792
1956-01-01,3370
1956-02-01,3277
1956-03-01,3281
1956-04-01,3398
1956-05-01,3599
1956-06-01,4317
1956-07-01,4865
1956-08-01,4759
1956-09-01,3868
1956-10-01,3760
1956-11-01,3613
1956-12-01,3712
1957-01-01,3268
1957-02-01,3296
1957-03-01,3356
1957-04-01,3454
1957-05-01,3511
1957-06-01,4290
1957-07-01,4837
1957-08-01,4576
1957-09-01,3776
1957-10-01,3784
1957-11-01,3596
1957-12-01,3585
1958-01-01,3080
1958-02-01,3121
1958-03-01,3132
1958-04-01,3225
1958-05-01,3396
1958-06-01,3981
1958-07-01,4386
1958-08-01,4447
1958-09-01,3553
1958-10-01,3643
1958-11-01,3474
1958-12-01,3543
1959-01-01,3279
1959-02-01,3295
1959-03-01,3325
1959-04-01,3495
1959-05-01,3544
1959-06-01,4364
1959-07-01,4907
1959-08-01,4758
1959-09-01,3858
1959-10-01,3791
1959-11-01,3674
1959-12-01,3766
1960-01-01,3420
1960-02-01,3538
1960-03-01,3444
1960-04-01,3815
1960-05-01,3941
1960-06-01,4934
1960-07-01,5378
1960-08-01,5161
1960-09-01,4140
1960-10-01,4035
1960-11-01,3941
1960-12-01,3801
1961-01-01,3481
1961-02-01,3451
1961-03-01,3555
1961-04-01,3639
1961-05-01,3813
1961-06-01,4818
1961-07-01,5333
1961-08-01,5365
1961-09-01,3981
1961-10-01,4000
1961-11-01,3953
1961-12-01,3894
1962-01-01,3483
1962-02-01,3531
1962-03-01,3671
1962-04-01,3759
1962-05-01,4035
1962-06-01,4979
1962-07-01,5489
1962-08-01,5398
1962-09-01,4122
1962-10-01,4076
1962-11-01,3826
1962-12-01,3967
1963-01-01,3571
1963-02-01,3535
1963-03-01,3588
1963-04-01,3820
1963-05-01,3999
1963-06-01,4833
1963-07-01,5497
1963-08-01,5551
1963-09-01,4257
1963-10-01,4293
1963-11-01,4043
1963-12-01,4066
1964-01-01,3708
1964-02-01,3858
1964-03-01,3864
1964-04-01,3929
1964-05-01,4228
1964-06-01,5157
1964-07-01,5977
1964-08-01,5793
1964-09-01,4558
1964-10-01,4433
1964-11-01,4329
1964-12-01,4356
1965-01-01,3849
1965-02-01,3964
1965-03-01,4085
1965-04-01,4358
1965-05-01,4658
1965-06-01,5506
1965-07-01,6745
1965-08-01,6605
1965-09-01,5026
1965-10-01,5229
1965-11-01,5117
1965-12-01,5292
1966-01-01,4828
1966-02-01,4805
1966-03-01,4817
1966-04-01,5081
1966-05-01,5141
1966-06-01,6605
1966-07-01,7670
1966-08-01,7584
1966-09-01,5396
1966-10-01,5523
1966-11-01,5572
1966-12-01,5625
1967-01-01,5044
1967-02-01,5046
1967-03-01,5089
1967-04-01,5205
1967-05-01,5243
1967-06-01,6652
1967-07-01,7524
1967-08-01,7309
1967-09-01,5255
1967-10-01,5300
1967-11-01,5198
1967-12-01,5312
1968-01-01,4835
1968-02-01,5034
1968-03-01,5100
1968-04-01,5282
1968-05-01,5425
1968-06-01,6697
1968-07-01,7590
1968-08-01,7513
1968-09-01,5437
1968-10-01,5517
1968-11-01,5438
1968-12-01,5486
1969-01-01,5160
1969-02-01,5235
1969-03-01,5341
1969-04-01,5560
1969-05-01,5546
1969-06-01,7059
1969-07-01,7972
1969-08-01,7761
1969-09-01,5811
1969-10-01,5953
1969-11-01,5980
1969-12-01,6022
1970-01-01,5488
1970-02-01,5563
1970-03-01,5623
1970-04-01,5669
1970-05-01,5866
1970-06-01,6841
1970-07-01,7922
1970-08-01,7640
1970-09-01,5786
1970-10-01,5799
1970-11-01,5726
1970-12-01,5799
1971-01-01,5413
1971-02-01,5500
1971-03-01,5458
1971-04-01,5742
1971-05-01,5884
1971-06-01,6738
1971-07-01,8055
1971-08-01,7814
1971-09-01,5818
1971-10-01,5947
1971-11-01,6016
1971-12-01,6116
1972-01-01,5797
1972-02-01,5780
1972-03-01,5963
1972-04-01,6207
1972-05-01,6470
1972-06-01,7666
1972-07-01,8578
1972-08-01,8367
1972-09-01,6351
1972-10-01,6548
1972-11-01,6555
1972-12-01,6667
1973-01-01,6117
1973-02-01,6297
1973-03-01,6574
1973-04-01,6698
1973-05-01,6863
1973-06-01,8339
1973-07-01,9092
1973-08-01,8714
1973-09-01,6997
1973-10-01,7225
1973-11-01,7143
1973-12-01,7189
1974-01-01,6767
1974-02-01,6757
1974-03-01,6867
1974-04-01,6971
1974-05-01,7141
1974-06-01,8410
1974-07-01,9238
1974-08-01,8869
1974-09-01,7135
1974-10-01,7241
1974-11-01,7027
1974-12-01,6955
1975-01-01,6411
1975-02-01,6331
1975-03-01,6403
1975-04-01,6556
1975-05-01,6844
1975-06-01,7936
1975-07-01,8963
1975-08-01,8498
1975-09-01,6801
1975-10-01,6873
1975-11-01,6791
1975-12-01,6824
1976-01-01,6413
1976-02-01,6442
1976-03-01,6611
1976-04-01,6893
1976-05-01,7166
1976-06-01,8230
1976-07-01,9413
1976-08-01,8845
1976-09-01,6904
1976-10-01,7120
1976-11-01,6995
1976-12-01,7004
1977-01-01,6548
1977-02-01,6677
1977-03-01,6839
1977-04-01,7137
1977-05-01,7333
1977-06-01,8701
1977-07-01,9622
1977-08-01,9336
1977-09-01,7244
1977-10-01,7589
1977-11-01,7568
1977-12-01,7659
1978-01-01,7127
1978-02-01,6991
1978-03-01,7124
1978-04-01,7457
1978-05-01,7830
1978-06-01,9246
1978-07-01,10033
1978-08-01,9779
1978-09-01,7695
1978-10-01,7922
1978-11-01,7800
1978-12-01,7826
1979-01-01,7452
1979-02-01,7341
1979-03-01,7516
1979-04-01,7594
