DATE,LNU02000091
1948-01-01,12786
1948-02-01,12848
1948-03-01,12887
1948-04-01,12910
1948-05-01,12965
1948-06-01,13218
1948-07-01,13072
1948-08-01,13045
1948-09-01,13204
1948-10-01,13219
1948-11-01,13232
1948-12-01,13206
1949-01-01,13026
1949-02-01,12942
1949-03-01,12935
1949-04-01,13049
1949-05-01,13158
1949-06-01,13280
1949-07-01,13029
1949-08-01,13069
1949-09-01,13151
1949-10-01,13202
1949-11-01,13285
1949-12-01,13166
1950-01-01,12994
1950-02-01,13012
1950-03-01,13015
1950-04-01,13228
1950-05-01,13374
1950-06-01,13576
1950-07-01,13406
1950-08-01,13647
1950-09-01,13644
1950-10-01,13790
1950-11-01,13826
1950-12-01,13580
1951-01-01,13424
1951-02-01,13424
1951-03-01,13671
1951-04-01,13635
1951-05-01,13837
1951-06-01,13784
1951-07-01,13668
1951-08-01,13610
1951-09-01,13754
1951-10-01,14134
1951-11-01,13976
1951-12-01,14028
1952-01-01,13822
1952-02-01,13818
1952-03-01,13892
1952-04-01,13960
1952-05-01,14142
1952-06-01,14124
1952-07-01,13900
1952-08-01,13892
1952-09-01,14266
1952-10-01,14174
1952-11-01,14376
1952-12-01,14325
1953-01-01,14676
1953-02-01,14545
1953-03-01,14798
1953-04-01,14609
1953-05-01,14886
1953-06-01,14853
1953-07-01,14512
1953-08-01,14740
1953-09-01,14805
1953-10-01,14946
1953-11-01,15108
1953-12-01,14806
1954-01-01,14311
1954-02-01,14435
1954-03-01,14451
1954-04-01,14416
1954-05-01,14478
1954-06-01,14517
1954-07-01,14375
1954-08-01,14480
1954-09-01,14619
1954-10-01,14863
1954-11-01,14828
1954-12-01,14721
1955-01-01,14431
1955-02-01,14385
1955-03-01,14457
1955-04-01,14679
1955-05-01,14835
1955-06-01,14913
1955-07-01,14907
1955-08-01,15000
1955-09-01,15206
1955-10-01,15277
1955-11-01,15284
1955-12-01,15183
1956-01-01,14967
1956-02-01,14941
1956-03-01,14986
1956-04-01,15114
1956-05-01,15341
1956-06-01,15297
1956-07-01,15166
1956-08-01,15145
1956-09-01,15438
1956-10-01,15538
1956-11-01,15403
1956-12-01,15282
1957-01-01,14981
1957-02-01,15195
1957-03-01,15202
1957-04-01,15288
1957-05-01,15433
1957-06-01,15403
1957-07-01,15344
1957-08-01,15353
1957-09-01,15509
1957-10-01,15644
1957-11-01,15500
1957-12-01,15330
1958-01-01,14917
1958-02-01,14752
1958-03-01,14910
1958-04-01,15009
1958-05-01,15206
1958-06-01,15194
1958-07-01,15129
1958-08-01,15165
1958-09-01,15382
1958-10-01,15527
1958-11-01,15420
1958-12-01,15273
1959-01-01,15070
1959-02-01,15096
1959-03-01,15306
1959-04-01,15490
1959-05-01,15589
1959-06-01,15564
1959-07-01,15455
1959-08-01,15375
1959-09-01,15579
1959-10-01,15813
1959-11-01,15545
1959-12-01,15562
1960-01-01,15306
1960-02-01,15375
1960-03-01,15364
1960-04-01,15719
1960-05-01,15804
1960-06-01,15715
1960-07-01,15554
1960-08-01,15582
1960-09-01,15788
1960-10-01,15761
1960-11-01,15760
1960-12-01,15445
1961-01-01,15281
1961-02-01,15291
1961-03-01,15442
1961-04-01,15631
1961-05-01,15693
1961-06-01,15680
1961-07-01,15543
1961-08-01,15492
1961-09-01,15669
1961-10-01,15804
1961-11-01,15614
1961-12-01,15485
1962-01-01,15314
1962-02-01,15435
1962-03-01,15621
1962-04-01,15944
1962-05-01,16104
1962-06-01,15966
1962-07-01,15874
1962-08-01,15863
1962-09-01,16211
1962-10-01,16315
1962-11-01,16130
1962-12-01,16035
1963-01-01,15855
1963-02-01,15815
1963-03-01,16033
1963-04-01,16161
1963-05-01,16268
1963-06-01,16166
1963-07-01,16059
1963-08-01,16043
1963-09-01,16322
1963-10-01,16385
1963-11-01,16217
1963-12-01,16044
1964-01-01,15872
1964-02-01,15882
1964-03-01,16015
1964-04-01,16206
1964-05-01,16496
1964-06-01,16437
1964-07-01,16170
1964-08-01,16027
1964-09-01,16186
1964-10-01,16319
1964-11-01,16253
1964-12-01,16129
1965-01-01,16000
1965-02-01,16055
1965-03-01,16173
1965-04-01,16351
1965-05-01,16415
1965-06-01,16395
1965-07-01,16201
1965-08-01,16264
1965-09-01,16412
1965-10-01,16491
1965-11-01,16397
1965-12-01,16374
1966-01-01,16135
1966-02-01,16211
1966-03-01,16281
1966-04-01,16358
1966-05-01,16442
1966-06-01,16302
1966-07-01,16139
1966-08-01,16140
1966-09-01,16411
1966-10-01,16444
1966-11-01,16471
1966-12-01,16409
1967-01-01,16224
1967-02-01,16254
1967-03-01,16221
1967-04-01,16280
1967-05-01,16299
1967-06-01,16185
1967-07-01,16137
1967-08-01,16094
1967-09-01,16325
1967-10-01,16402
1967-11-01,16456
1967-12-01,16500
1968-01-01,16135
1968-02-01,16215
1968-03-01,16247
1968-04-01,16250
1968-05-01,16395
1968-06-01,16190
1968-07-01,15967
1968-08-01,15973
1968-09-01,16279
1968-10-01,16318
1968-11-01,16325
1968-12-01,16349
1969-01-01,16104
1969-02-01,16131
1969-03-01,16104
1969-04-01,16029
1969-05-01,16117
